Date,Day,Name,Type
01/01/2010,Friday,New Year's Day,National holiday
02/01/2010,Saturday,New Year's Day (Day 2),National holiday
04/01/2010,Monday,Day off for New Year's Day (Day 2),National holiday
14/02/2010,Sunday,Valentine's Day,Observance
08/03/2010,Monday,Mothers' Day,Observance
14/03/2010,Sunday,Summer Day,National holiday
15/03/2010,Monday,Day off for Summer Day,National holiday
20/03/2010,Saturday,March Equinox,Season
22/03/2010,Monday,Nevruz Day,National holiday
28/03/2010,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
02/04/2010,Friday,Good Friday,Observance
02/04/2010,Friday,Good Friday (Orthodox),"Observance, Orthodox"
03/04/2010,Saturday,Holy Saturday,Observance
03/04/2010,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
04/04/2010,Sunday,Easter Sunday,National holiday
04/04/2010,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
05/04/2010,Monday,Day off for Easter Sunday,National holiday
05/04/2010,Monday,Easter Monday,Observance
05/04/2010,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
05/04/2010,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2010,Saturday,International Worker’s Day,National holiday
03/05/2010,Monday,Day off for International Worker’s Day,National holiday
20/06/2010,Sunday,Fathers' Day,Observance
21/06/2010,Monday,June Solstice,Season
05/09/2010,Sunday,Mother Teresa Beatification Day,National holiday
06/09/2010,Monday,Day off for Mother Teresa Beatification Day,National holiday
10/09/2010,Friday,Eid al-Fitr,National holiday
23/09/2010,Thursday,September Equinox,Season
31/10/2010,Sunday,Halloween,Observance
31/10/2010,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
17/11/2010,Wednesday,Feast of the Sacrifice,National holiday
28/11/2010,Sunday,Flag and Independence Day,National holiday
29/11/2010,Monday,Day off for Flag and Independence Day,National holiday
29/11/2010,Monday,Liberation Day,National holiday
08/12/2010,Wednesday,National Youth Day,National holiday
22/12/2010,Wednesday,December Solstice,Season
24/12/2010,Friday,Christmas Eve,Observance
25/12/2010,Saturday,Christmas Day,National holiday
27/12/2010,Monday,Day off for Christmas Day,National holiday
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,National holiday
02/01/2011,Sunday,New Year's Day (Day 2),National holiday
03/01/2011,Monday,Day off for New Year's Day,National holiday
03/01/2011,Monday,Day off for New Year's Day (Day 2),National holiday
14/02/2011,Monday,Valentine's Day,Observance
08/03/2011,Tuesday,Mothers' Day,Observance
14/03/2011,Monday,Summer Day,National holiday
21/03/2011,Monday,March Equinox,Season
22/03/2011,Tuesday,Nevruz Day,National holiday
27/03/2011,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
22/04/2011,Friday,Good Friday,Observance
22/04/2011,Friday,Good Friday (Orthodox),"Observance, Orthodox"
23/04/2011,Saturday,Holy Saturday,Observance
23/04/2011,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
24/04/2011,Sunday,Easter Sunday,National holiday
24/04/2011,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
25/04/2011,Monday,Day off for Easter Sunday,National holiday
25/04/2011,Monday,Easter Monday,Observance
25/04/2011,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
25/04/2011,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2011,Sunday,International Worker’s Day,National holiday
02/05/2011,Monday,Day off for International Worker’s Day,National holiday
19/06/2011,Sunday,Fathers' Day,Observance
21/06/2011,Tuesday,June Solstice,Season
31/08/2011,Wednesday,Eid al-Fitr,National holiday
05/09/2011,Monday,Mother Teresa Beatification Day,National holiday
23/09/2011,Friday,September Equinox,Season
30/10/2011,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2011,Monday,Halloween,Observance
07/11/2011,Monday,Feast of the Sacrifice,National holiday
28/11/2011,Monday,Flag and Independence Day,National holiday
29/11/2011,Tuesday,Liberation Day,National holiday
08/12/2011,Thursday,National Youth Day,National holiday
22/12/2011,Thursday,December Solstice,Season
24/12/2011,Saturday,Christmas Eve,Observance
25/12/2011,Sunday,Christmas Day,National holiday
26/12/2011,Monday,Day off for Christmas Day,National holiday
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,National holiday
02/01/2012,Monday,New Year's Day (Day 2),National holiday
03/01/2012,Tuesday,Day off for New Year's Day,National holiday
14/02/2012,Tuesday,Valentine's Day,Observance
08/03/2012,Thursday,Mothers' Day,Observance
14/03/2012,Wednesday,Summer Day,National holiday
20/03/2012,Tuesday,March Equinox,Season
22/03/2012,Thursday,Nevruz Day,National holiday
25/03/2012,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
06/04/2012,Friday,Good Friday,Observance
07/04/2012,Saturday,Holy Saturday,Observance
08/04/2012,Sunday,Easter Sunday,National holiday
09/04/2012,Monday,Day off for Easter Sunday,National holiday
09/04/2012,Monday,Easter Monday,Observance
13/04/2012,Friday,Good Friday (Orthodox),"Observance, Orthodox"
14/04/2012,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
15/04/2012,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
16/04/2012,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
16/04/2012,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2012,Tuesday,International Worker’s Day,National holiday
17/06/2012,Sunday,Fathers' Day,Observance
21/06/2012,Thursday,June Solstice,Season
19/08/2012,Sunday,Eid al-Fitr,National holiday
05/09/2012,Wednesday,Mother Teresa Beatification Day,National holiday
22/09/2012,Saturday,September Equinox,Season
26/10/2012,Friday,Feast of the Sacrifice,National holiday
28/10/2012,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2012,Wednesday,Halloween,Observance
28/11/2012,Wednesday,Flag and Independence Day,National holiday
29/11/2012,Thursday,Liberation Day,National holiday
08/12/2012,Saturday,National Youth Day,National holiday
10/12/2012,Monday,Day off for National Youth Day,National holiday
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Christmas Eve,Observance
25/12/2012,Tuesday,Christmas Day,National holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,National holiday
02/01/2013,Wednesday,New Year's Day (Day 2),National holiday
14/02/2013,Thursday,Valentine's Day,Observance
08/03/2013,Friday,Mothers' Day,Observance
14/03/2013,Thursday,Summer Day,National holiday
20/03/2013,Wednesday,March Equinox,Season
22/03/2013,Friday,Nevruz Day,National holiday
29/03/2013,Friday,Good Friday,Observance
30/03/2013,Saturday,Holy Saturday,Observance
31/03/2013,Sunday,Easter Sunday,National holiday
31/03/2013,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2013,Monday,Day off for Easter Sunday,National holiday
01/04/2013,Monday,Easter Monday,Observance
01/05/2013,Wednesday,International Worker’s Day,National holiday
03/05/2013,Friday,Good Friday (Orthodox),"Observance, Orthodox"
04/05/2013,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
05/05/2013,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
06/05/2013,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
06/05/2013,Monday,Day off for Easter Sunday (Orthodox),National holiday
16/06/2013,Sunday,Fathers' Day,Observance
21/06/2013,Friday,June Solstice,Season
08/08/2013,Thursday,Eid al-Fitr,National holiday
05/09/2013,Thursday,Mother Teresa Beatification Day,National holiday
22/09/2013,Sunday,September Equinox,Season
15/10/2013,Tuesday,Feast of the Sacrifice,National holiday
27/10/2013,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2013,Thursday,Halloween,Observance
28/11/2013,Thursday,Flag and Independence Day,National holiday
29/11/2013,Friday,Liberation Day,National holiday
08/12/2013,Sunday,National Youth Day,National holiday
09/12/2013,Monday,Day off for National Youth Day,National holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Christmas Eve,Observance
25/12/2013,Wednesday,Christmas Day,National holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,National holiday
02/01/2014,Thursday,New Year's Day (Day 2),National holiday
14/02/2014,Friday,Valentine's Day,Observance
08/03/2014,Saturday,Mothers' Day,Observance
14/03/2014,Friday,Summer Day,National holiday
20/03/2014,Thursday,March Equinox,Season
22/03/2014,Saturday,Nevruz Day,National holiday
24/03/2014,Monday,Day off for Nevruz Day,National holiday
30/03/2014,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2014,Friday,Good Friday,Observance
18/04/2014,Friday,Good Friday (Orthodox),"Observance, Orthodox"
19/04/2014,Saturday,Holy Saturday,Observance
19/04/2014,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
20/04/2014,Sunday,Easter Sunday,National holiday
20/04/2014,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
21/04/2014,Monday,Day off for Easter Sunday,National holiday
21/04/2014,Monday,Easter Monday,Observance
21/04/2014,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
21/04/2014,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2014,Thursday,International Worker’s Day,National holiday
15/06/2014,Sunday,Fathers' Day,Observance
21/06/2014,Saturday,June Solstice,Season
28/07/2014,Monday,Eid al-Fitr,National holiday
05/09/2014,Friday,Mother Teresa Beatification Day,National holiday
23/09/2014,Tuesday,September Equinox,Season
04/10/2014,Saturday,Feast of the Sacrifice,National holiday
26/10/2014,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2014,Friday,Halloween,Observance
28/11/2014,Friday,Flag and Independence Day,National holiday
29/11/2014,Saturday,Liberation Day,National holiday
01/12/2014,Monday,Day off for Liberation Day,National holiday
08/12/2014,Monday,National Youth Day,National holiday
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,National holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,National holiday
02/01/2015,Friday,New Year's Day (Day 2),National holiday
14/02/2015,Saturday,Valentine's Day,Observance
08/03/2015,Sunday,Mothers' Day,Observance
14/03/2015,Saturday,Summer Day,National holiday
16/03/2015,Monday,Day off for Summer Day,National holiday
20/03/2015,Friday,March Equinox,Season
22/03/2015,Sunday,Nevruz Day,National holiday
23/03/2015,Monday,Day off for Nevruz Day,National holiday
29/03/2015,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
03/04/2015,Friday,Good Friday,Observance
04/04/2015,Saturday,Holy Saturday,Observance
05/04/2015,Sunday,Easter Sunday,National holiday
06/04/2015,Monday,Day off for Easter Sunday,National holiday
06/04/2015,Monday,Easter Monday,Observance
10/04/2015,Friday,Good Friday (Orthodox),"Observance, Orthodox"
11/04/2015,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
12/04/2015,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
13/04/2015,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
13/04/2015,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2015,Friday,International Worker’s Day,National holiday
21/06/2015,Sunday,Fathers' Day,Observance
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,National holiday
05/09/2015,Saturday,Mother Teresa Beatification Day,National holiday
07/09/2015,Monday,Day off for Mother Teresa Beatification Day,National holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Feast of the Sacrifice,National holiday
25/10/2015,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2015,Saturday,Halloween,Observance
28/11/2015,Saturday,Flag and Independence Day,National holiday
29/11/2015,Sunday,Liberation Day,National holiday
30/11/2015,Monday,Day off for Flag and Independence Day,National holiday
30/11/2015,Monday,Day off for Liberation Day,National holiday
08/12/2015,Tuesday,National Youth Day,National holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Christmas Eve,Observance
25/12/2015,Friday,Christmas Day,National holiday
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,National holiday
02/01/2016,Saturday,New Year's Day (Day 2),National holiday
04/01/2016,Monday,Day off for New Year's Day (Day 2),National holiday
14/02/2016,Sunday,Valentine's Day,Observance
08/03/2016,Tuesday,Mothers' Day,Observance
14/03/2016,Monday,Summer Day,National holiday
20/03/2016,Sunday,March Equinox,Season
22/03/2016,Tuesday,Nevruz Day,National holiday
25/03/2016,Friday,Good Friday,Observance
26/03/2016,Saturday,Holy Saturday,Observance
27/03/2016,Sunday,Easter Sunday,National holiday
27/03/2016,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2016,Monday,Day off for Easter Sunday,National holiday
28/03/2016,Monday,Easter Monday,Observance
29/04/2016,Friday,Good Friday (Orthodox),"Observance, Orthodox"
30/04/2016,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
01/05/2016,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
01/05/2016,Sunday,International Worker’s Day,National holiday
02/05/2016,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
02/05/2016,Monday,Day off for Easter Sunday (Orthodox),National holiday
02/05/2016,Monday,Day off for International Worker’s Day,National holiday
19/06/2016,Sunday,Fathers' Day,Observance
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,National holiday
05/09/2016,Monday,Mother Teresa Beatification Day,National holiday
13/09/2016,Tuesday,Feast of the Sacrifice,National holiday
22/09/2016,Thursday,September Equinox,Season
30/10/2016,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2016,Monday,Halloween,Observance
28/11/2016,Monday,Flag and Independence Day,National holiday
29/11/2016,Tuesday,Liberation Day,National holiday
08/12/2016,Thursday,National Youth Day,National holiday
21/12/2016,Wednesday,December Solstice,Season
24/12/2016,Saturday,Christmas Eve,Observance
25/12/2016,Sunday,Christmas Day,National holiday
26/12/2016,Monday,Day off for Christmas Day,National holiday
31/12/2016,Saturday,New Year's Eve,Observance
01/01/2017,Sunday,New Year's Day,National holiday
02/01/2017,Monday,New Year's Day (Day 2),National holiday
03/01/2017,Tuesday,Day off for New Year's Day,National holiday
14/02/2017,Tuesday,Valentine's Day,Observance
08/03/2017,Wednesday,Mothers' Day,Observance
14/03/2017,Tuesday,Summer Day,National holiday
20/03/2017,Monday,March Equinox,Season
22/03/2017,Wednesday,Nevruz Day,National holiday
26/03/2017,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
14/04/2017,Friday,Good Friday,Observance
14/04/2017,Friday,Good Friday (Orthodox),"Observance, Orthodox"
15/04/2017,Saturday,Holy Saturday,Observance
15/04/2017,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
16/04/2017,Sunday,Easter Sunday,National holiday
16/04/2017,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
17/04/2017,Monday,Day off for Easter Sunday,National holiday
17/04/2017,Monday,Easter Monday,Observance
17/04/2017,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
17/04/2017,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2017,Monday,International Worker’s Day,National holiday
18/06/2017,Sunday,Fathers' Day,Observance
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,National holiday
02/09/2017,Saturday,Feast of the Sacrifice,National holiday
05/09/2017,Tuesday,Mother Teresa Beatification Day,National holiday
22/09/2017,Friday,September Equinox,Season
29/10/2017,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2017,Tuesday,Halloween,Observance
28/11/2017,Tuesday,Flag and Independence Day,National holiday
29/11/2017,Wednesday,Liberation Day,National holiday
08/12/2017,Friday,National Youth Day,National holiday
21/12/2017,Thursday,December Solstice,Season
24/12/2017,Sunday,Christmas Eve,Observance
25/12/2017,Monday,Christmas Day,National holiday
31/12/2017,Sunday,New Year's Eve,Observance
01/01/2018,Monday,New Year's Day,National holiday
02/01/2018,Tuesday,New Year's Day (Day 2),National holiday
14/02/2018,Wednesday,Valentine's Day,Observance
08/03/2018,Thursday,Mothers' Day,Observance
14/03/2018,Wednesday,Summer Day,National holiday
20/03/2018,Tuesday,March Equinox,Season
22/03/2018,Thursday,Nevruz Day,National holiday
25/03/2018,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
30/03/2018,Friday,Good Friday,Observance
31/03/2018,Saturday,Holy Saturday,Observance
01/04/2018,Sunday,Easter Sunday,National holiday
02/04/2018,Monday,Day off for Easter Sunday,National holiday
02/04/2018,Monday,Easter Monday,Observance
06/04/2018,Friday,Good Friday (Orthodox),"Observance, Orthodox"
07/04/2018,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
08/04/2018,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
09/04/2018,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
09/04/2018,Monday,Day off for Easter Sunday (Orthodox),National holiday
01/05/2018,Tuesday,International Worker’s Day,National holiday
15/06/2018,Friday,Eid al-Fitr,National holiday
17/06/2018,Sunday,Fathers' Day,Observance
21/06/2018,Thursday,June Solstice,Season
22/08/2018,Wednesday,Feast of the Sacrifice,National holiday
05/09/2018,Wednesday,Mother Teresa Beatification Day,National holiday
23/09/2018,Sunday,September Equinox,Season
28/10/2018,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2018,Wednesday,Halloween,Observance
28/11/2018,Wednesday,Flag and Independence Day,National holiday
29/11/2018,Thursday,Liberation Day,National holiday
08/12/2018,Saturday,National Youth Day,National holiday
10/12/2018,Monday,Day off for National Youth Day,National holiday
21/12/2018,Friday,December Solstice,Season
24/12/2018,Monday,Christmas Eve,Observance
25/12/2018,Tuesday,Christmas Day,National holiday
31/12/2018,Monday,New Year's Eve,Observance
01/01/2019,Tuesday,New Year's Day,National holiday
02/01/2019,Wednesday,New Year's Day (Day 2),National holiday
14/02/2019,Thursday,Valentine's Day,Observance
08/03/2019,Friday,Mothers' Day,Observance
14/03/2019,Thursday,Summer Day,National holiday
20/03/2019,Wednesday,March Equinox,Season
22/03/2019,Friday,Nevruz Day,National holiday
31/03/2019,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
19/04/2019,Friday,Good Friday,Observance
20/04/2019,Saturday,Holy Saturday,Observance
21/04/2019,Sunday,Easter Sunday,National holiday
22/04/2019,Monday,Day off for Easter Sunday,National holiday
22/04/2019,Monday,Easter Monday,Observance
26/04/2019,Friday,Good Friday (Orthodox),"Observance, Orthodox"
27/04/2019,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
28/04/2019,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
29/04/2019,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
29/04/2019,Monday,Day off for Easter Sunday (Orthodox),National holiday
