Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
09/01/2000,Sunday,Eid al-Fitr Holiday,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
17/03/2000,Friday,Eid al-Adha Holiday,Public Holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram,Public Holiday
01/05/2000,Monday,May Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
05/07/2000,Wednesday,Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
01/11/2000,Wednesday,Anniversary of the Revolution,Public Holiday
21/12/2000,Thursday,December Solstice,Season
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
29/12/2000,Friday,Eid al-Fitr Holiday,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
07/03/2001,Wednesday,Eid al-Adha Holiday,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram,Public Holiday
01/05/2001,Tuesday,May Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
05/07/2001,Thursday,Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/11/2001,Thursday,Anniversary of the Revolution,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
18/12/2001,Tuesday,Eid al-Fitr Holiday,Public Holiday
21/12/2001,Friday,December Solstice,Season
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
24/02/2002,Sunday,Eid al-Adha Holiday,Public Holiday
15/03/2002,Friday,Muharram,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
01/05/2002,Wednesday,May Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
05/07/2002,Friday,Independence Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/11/2002,Friday,Anniversary of the Revolution,Public Holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
07/12/2002,Saturday,Eid al-Fitr Holiday,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
13/02/2003,Thursday,Eid al-Adha Holiday,Public Holiday
05/03/2003,Wednesday,Muharram,Public Holiday
21/03/2003,Friday,March Equinox,Season
01/05/2003,Thursday,May Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
05/07/2003,Saturday,Independence Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/11/2003,Saturday,Anniversary of the Revolution,Public Holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
27/11/2003,Thursday,Eid al-Fitr Holiday,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
03/02/2004,Tuesday,Eid al-Adha Holiday,Public Holiday
22/02/2004,Sunday,Muharram,Public Holiday
20/03/2004,Saturday,March Equinox,Season
01/05/2004,Saturday,May Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
05/07/2004,Monday,Independence Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
01/11/2004,Monday,Anniversary of the Revolution,Public Holiday
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
15/11/2004,Monday,Eid al-Fitr Holiday,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
22/01/2005,Saturday,Eid al-Adha Holiday,Public Holiday
10/02/2005,Thursday,Muharram,Public Holiday
20/03/2005,Sunday,March Equinox,Season
01/05/2005,Sunday,May Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
05/07/2005,Tuesday,Independence Day,Public Holiday
22/09/2005,Thursday,September Equinox,Season
01/11/2005,Tuesday,Anniversary of the Revolution,Public Holiday
04/11/2005,Friday,Eid al-Fitr,Public Holiday
05/11/2005,Saturday,Eid al-Fitr Holiday,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,New Year,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
11/01/2006,Wednesday,Eid al-Adha Holiday,Public Holiday
31/01/2006,Tuesday,Muharram,Public Holiday
20/03/2006,Monday,March Equinox,Season
01/05/2006,Monday,May Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
05/07/2006,Wednesday,Independence Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid al-Fitr,Public Holiday
25/10/2006,Wednesday,Eid al-Fitr Holiday,Public Holiday
01/11/2006,Wednesday,Anniversary of the Revolution,Public Holiday
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
01/01/2007,Monday,Eid al-Adha Holiday,Public Holiday
20/01/2007,Saturday,Muharram,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
01/05/2007,Tuesday,May Day,Public Holiday
21/06/2007,Thursday,June Solstice,Season
05/07/2007,Thursday,Independence Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid al-Fitr,Public Holiday
14/10/2007,Sunday,Eid al-Fitr Holiday,Public Holiday
01/11/2007,Thursday,Anniversary of the Revolution,Public Holiday
20/12/2007,Thursday,Eid al-Adha,Public Holiday
21/12/2007,Friday,Eid al-Adha Holiday,Public Holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year,Public Holiday
10/01/2008,Thursday,Muharram,Public Holiday
20/03/2008,Thursday,March Equinox,Season
01/05/2008,Thursday,May Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
05/07/2008,Saturday,Independence Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid al-Fitr,Public Holiday
03/10/2008,Friday,Eid al-Fitr Holiday,Public Holiday
01/11/2008,Saturday,Anniversary of the Revolution,Public Holiday
09/12/2008,Tuesday,Eid al-Adha,Public Holiday
10/12/2008,Wednesday,Eid al-Adha Holiday,Public Holiday
21/12/2008,Sunday,December Solstice,Season
29/12/2008,Monday,Muharram,Public Holiday
01/01/2009,Thursday,New Year,Public Holiday
20/03/2009,Friday,March Equinox,Season
01/05/2009,Friday,May Day,Public Holiday
21/06/2009,Sunday,June Solstice,Season
05/07/2009,Sunday,Independence Day,Public Holiday
