Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
17/01/2000,Monday,Martin Luther King Jr. Day,Public Holiday
21/02/2000,Monday,President's Day,Public Holiday
19/03/2000,Sunday,March Equinox,Season
17/04/2000,Monday,Flag Day,Public Holiday
21/04/2000,Friday,Good Friday,Public Holiday
29/05/2000,Monday,Memorial Day,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
04/07/2000,Tuesday,Independence Day,Public Holiday
04/09/2000,Monday,Labor Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
09/10/2000,Monday,Columbus Day,Public Holiday
11/11/2000,Saturday,Veterans' Day,Public Holiday
23/11/2000,Thursday,Thanksgiving,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
15/01/2001,Monday,Martin Luther King Jr. Day,Public Holiday
19/02/2001,Monday,President's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
17/04/2001,Tuesday,Flag Day,Public Holiday
28/05/2001,Monday,Memorial Day,Public Holiday
20/06/2001,Wednesday,June Solstice,Season
04/07/2001,Wednesday,Independence Day,Public Holiday
03/09/2001,Monday,Labor Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
08/10/2001,Monday,Columbus Day,Public Holiday
11/11/2001,Sunday,Veterans' Day,Public Holiday
22/11/2001,Thursday,Thanksgiving,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
21/01/2002,Monday,Martin Luther King Jr. Day,Public Holiday
18/02/2002,Monday,President's Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
17/04/2002,Wednesday,Flag Day,Public Holiday
27/05/2002,Monday,Memorial Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
04/07/2002,Thursday,Independence Day,Public Holiday
02/09/2002,Monday,Labor Day,Public Holiday
22/09/2002,Sunday,September Equinox,Season
14/10/2002,Monday,Columbus Day,Public Holiday
11/11/2002,Monday,Veterans' Day,Public Holiday
28/11/2002,Thursday,Thanksgiving,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
20/01/2003,Monday,Martin Luther King Jr. Day,Public Holiday
17/02/2003,Monday,President's Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
17/04/2003,Thursday,Flag Day,Public Holiday
18/04/2003,Friday,Good Friday,Public Holiday
26/05/2003,Monday,Memorial Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
04/07/2003,Friday,Independence Day,Public Holiday
01/09/2003,Monday,Labor Day,Public Holiday
22/09/2003,Monday,September Equinox,Season
13/10/2003,Monday,Columbus Day,Public Holiday
11/11/2003,Tuesday,Veterans' Day,Public Holiday
27/11/2003,Thursday,Thanksgiving,Public Holiday
21/12/2003,Sunday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
19/01/2004,Monday,Martin Luther King Jr. Day,Public Holiday
16/02/2004,Monday,President's Day,Public Holiday
19/03/2004,Friday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
17/04/2004,Saturday,Flag Day,Public Holiday
31/05/2004,Monday,Memorial Day,Public Holiday
20/06/2004,Sunday,June Solstice,Season
04/07/2004,Sunday,Independence Day,Public Holiday
06/09/2004,Monday,Labor Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
11/10/2004,Monday,Columbus Day,Public Holiday
11/11/2004,Thursday,Veterans' Day,Public Holiday
25/11/2004,Thursday,Thanksgiving,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
17/01/2005,Monday,Martin Luther King Jr. Day,Public Holiday
21/02/2005,Monday,President's Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
18/04/2005,Monday,Flag Day,Public Holiday
30/05/2005,Monday,Memorial Day,Public Holiday
20/06/2005,Monday,June Solstice,Season
04/07/2005,Monday,Independence Day,Public Holiday
05/09/2005,Monday,Labor Day,Public Holiday
22/09/2005,Thursday,September Equinox,Season
10/10/2005,Monday,Columbus Day,Public Holiday
11/11/2005,Friday,Veterans' Day,Public Holiday
24/11/2005,Thursday,Thanksgiving,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
16/01/2006,Monday,Martin Luther King Jr. Day,Public Holiday
20/02/2006,Monday,President's Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
14/04/2006,Friday,Good Friday,Public Holiday
17/04/2006,Monday,Flag Day,Public Holiday
29/05/2006,Monday,Memorial Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
04/07/2006,Tuesday,Independence Day,Public Holiday
04/09/2006,Monday,Labor Day,Public Holiday
22/09/2006,Friday,September Equinox,Season
09/10/2006,Monday,Columbus Day,Public Holiday
11/11/2006,Saturday,Veterans' Day,Public Holiday
23/11/2006,Thursday,Thanksgiving,Public Holiday
21/12/2006,Thursday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
01/01/2007,Monday,New Year's Day,Public Holiday
15/01/2007,Monday,Martin Luther King Jr. Day,Public Holiday
19/02/2007,Monday,President's Day,Public Holiday
20/03/2007,Tuesday,March Equinox,Season
06/04/2007,Friday,Good Friday,Public Holiday
17/04/2007,Tuesday,Flag Day,Public Holiday
28/05/2007,Monday,Memorial Day,Public Holiday
21/06/2007,Thursday,June Solstice,Season
04/07/2007,Wednesday,Independence Day,Public Holiday
03/09/2007,Monday,Labor Day,Public Holiday
22/09/2007,Saturday,September Equinox,Season
08/10/2007,Monday,Columbus Day,Public Holiday
11/11/2007,Sunday,Veterans' Day,Public Holiday
22/11/2007,Thursday,Thanksgiving,Public Holiday
21/12/2007,Friday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
01/01/2008,Tuesday,New Year's Day,Public Holiday
21/01/2008,Monday,Martin Luther King Jr. Day,Public Holiday
18/02/2008,Monday,President's Day,Public Holiday
19/03/2008,Wednesday,March Equinox,Season
21/03/2008,Friday,Good Friday,Public Holiday
17/04/2008,Thursday,Flag Day,Public Holiday
26/05/2008,Monday,Memorial Day,Public Holiday
20/06/2008,Friday,June Solstice,Season
04/07/2008,Friday,Independence Day,Public Holiday
01/09/2008,Monday,Labor Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
13/10/2008,Monday,Columbus Day,Public Holiday
11/11/2008,Tuesday,Veterans' Day,Public Holiday
27/11/2008,Thursday,Thanksgiving,Public Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Christmas Day,Public Holiday
01/01/2009,Thursday,New Year's Day,Public Holiday
19/01/2009,Monday,Martin Luther King Jr. Day,Public Holiday
16/02/2009,Monday,President's Day,Public Holiday
20/03/2009,Friday,March Equinox,Season
10/04/2009,Friday,Good Friday,Public Holiday
17/04/2009,Friday,Flag Day,Public Holiday
25/05/2009,Monday,Memorial Day,Public Holiday
20/06/2009,Saturday,June Solstice,Season
04/07/2009,Saturday,Independence Day,Public Holiday
07/09/2009,Monday,Labor Day,Public Holiday
22/09/2009,Tuesday,September Equinox,Season
12/10/2009,Monday,Columbus Day,Public Holiday
11/11/2009,Wednesday,Veterans' Day,Public Holiday
26/11/2009,Thursday,Thanksgiving,Public Holiday
21/12/2009,Monday,December Solstice,Season
25/12/2009,Friday,Christmas Day,Public Holiday
01/01/2010,Friday,New Year's Day,Public Holiday
18/01/2010,Monday,Martin Luther King Jr. Day,Public Holiday
15/02/2010,Monday,President's Day,Public Holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Public Holiday
17/04/2010,Saturday,Flag Day,Public Holiday
31/05/2010,Monday,Memorial Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
