Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,National holiday
06/03/2000,Monday,Carnival,National holiday
14/03/2000,Tuesday,Constitution Day,National holiday
19/03/2000,Sunday,Father's Day,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
20/04/2000,Thursday,Maundy Thursday (Starting Noon),Bank holiday
21/04/2000,Friday,Good Friday,National holiday
22/04/2000,Saturday,Holy Saturday,Bank holiday
23/04/2000,Sunday,Easter Sunday,Bank holiday
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,May Day,National holiday
07/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Bank holiday
11/06/2000,Sunday,Whit Sunday,Observance
12/06/2000,Monday,Whit Monday,National holiday
21/06/2000,Wednesday,June Solstice,Season
24/06/2000,Saturday,Midsummer Day,Bank holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
08/09/2000,Friday,National Day,National holiday
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2000,Wednesday,All Saints' Day,National holiday
04/11/2000,Saturday,Day of St Charles Borromeu,Bank holiday
08/12/2000,Friday,Feast of the Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Bank holiday
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Boxing Day,National holiday
31/12/2000,Sunday,New Year's Eve (Bank holiday),Bank holiday
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,National holiday
26/02/2001,Monday,Carnival,National holiday
14/03/2001,Wednesday,Constitution Day,National holiday
19/03/2001,Monday,Father's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
12/04/2001,Thursday,Maundy Thursday (Starting Noon),Bank holiday
13/04/2001,Friday,Good Friday,National holiday
