Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
04/02/2000,Friday,Liberation Movement Day,Public Holiday
07/03/2000,Tuesday,Carnival,Public Holiday
08/03/2000,Wednesday,International Woman's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
23/03/2000,Thursday,Southern Africa Liberation Day,Public Holiday
04/04/2000,Tuesday,Peace Day,Public Holiday
21/04/2000,Friday,Good Friday,Public Holiday
01/05/2000,Monday,May Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
17/09/2000,Sunday,National Hero Day,Public Holiday
18/09/2000,Monday,Day off for National Hero Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
02/11/2000,Thursday,All Souls' Day,Public Holiday
11/11/2000,Saturday,Independence Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
04/02/2001,Sunday,Liberation Movement Day,Public Holiday
05/02/2001,Monday,Day off for Liberation Movement Day,Public Holiday
27/02/2001,Tuesday,Carnival,Public Holiday
08/03/2001,Thursday,International Woman's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
23/03/2001,Friday,Southern Africa Liberation Day,Public Holiday
04/04/2001,Wednesday,Peace Day,Public Holiday
13/04/2001,Friday,Good Friday,Public Holiday
01/05/2001,Tuesday,May Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
17/09/2001,Monday,National Hero Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
02/11/2001,Friday,All Souls' Day,Public Holiday
11/11/2001,Sunday,Independence Day,Public Holiday
12/11/2001,Monday,Day off for Independence Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
04/02/2002,Monday,Liberation Movement Day,Public Holiday
12/02/2002,Tuesday,Carnival,Public Holiday
08/03/2002,Friday,International Woman's Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
23/03/2002,Saturday,Southern Africa Liberation Day,Public Holiday
29/03/2002,Friday,Good Friday,Public Holiday
04/04/2002,Thursday,Peace Day,Public Holiday
01/05/2002,Wednesday,May Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
17/09/2002,Tuesday,National Hero Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
02/11/2002,Saturday,All Souls' Day,Public Holiday
11/11/2002,Monday,Independence Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
04/02/2003,Tuesday,Liberation Movement Day,Public Holiday
04/03/2003,Tuesday,Carnival,Public Holiday
08/03/2003,Saturday,International Woman's Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
23/03/2003,Sunday,Southern Africa Liberation Day,Public Holiday
24/03/2003,Monday,Day off for Southern Africa Liberation Day,Public Holiday
04/04/2003,Friday,Peace Day,Public Holiday
18/04/2003,Friday,Good Friday,Public Holiday
01/05/2003,Thursday,May Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
17/09/2003,Wednesday,National Hero Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
02/11/2003,Sunday,All Souls' Day,Public Holiday
03/11/2003,Monday,Day off for All Souls' Day,Public Holiday
11/11/2003,Tuesday,Independence Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
04/02/2004,Wednesday,Liberation Movement Day,Public Holiday
24/02/2004,Tuesday,Carnival,Public Holiday
08/03/2004,Monday,International Woman's Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
23/03/2004,Tuesday,Southern Africa Liberation Day,Public Holiday
04/04/2004,Sunday,Peace Day,Public Holiday
05/04/2004,Monday,Day off for Peace Day,Public Holiday
09/04/2004,Friday,Good Friday,Public Holiday
01/05/2004,Saturday,May Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
17/09/2004,Friday,National Hero Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
02/11/2004,Tuesday,All Souls' Day,Public Holiday
11/11/2004,Thursday,Independence Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
04/02/2005,Friday,Liberation Movement Day,Public Holiday
08/02/2005,Tuesday,Carnival,Public Holiday
08/03/2005,Tuesday,International Woman's Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
23/03/2005,Wednesday,Southern Africa Liberation Day,Public Holiday
25/03/2005,Friday,Good Friday,Public Holiday
04/04/2005,Monday,Peace Day,Public Holiday
01/05/2005,Sunday,May Day,Public Holiday
02/05/2005,Monday,Day off for May Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
17/09/2005,Saturday,National Hero Day,Public Holiday
22/09/2005,Thursday,September Equinox,Season
02/11/2005,Wednesday,All Souls' Day,Public Holiday
11/11/2005,Friday,Independence Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Day off for Christmas Day,Public Holiday
01/01/2006,Sunday,New Year,Public Holiday
02/01/2006,Monday,Day off for New Year,Public Holiday
04/02/2006,Saturday,Liberation Movement Day,Public Holiday
28/02/2006,Tuesday,Carnival,Public Holiday
08/03/2006,Wednesday,International Woman's Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
23/03/2006,Thursday,Southern Africa Liberation Day,Public Holiday
04/04/2006,Tuesday,Peace Day,Public Holiday
14/04/2006,Friday,Good Friday,Public Holiday
01/05/2006,Monday,May Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
17/09/2006,Sunday,National Hero Day,Public Holiday
18/09/2006,Monday,Day off for National Hero Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
02/11/2006,Thursday,All Souls' Day,Public Holiday
11/11/2006,Saturday,Independence Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
04/02/2007,Sunday,Liberation Movement Day,Public Holiday
05/02/2007,Monday,Day off for Liberation Movement Day,Public Holiday
20/02/2007,Tuesday,Carnival,Public Holiday
08/03/2007,Thursday,International Woman's Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
23/03/2007,Friday,Southern Africa Liberation Day,Public Holiday
04/04/2007,Wednesday,Peace Day,Public Holiday
06/04/2007,Friday,Good Friday,Public Holiday
01/05/2007,Tuesday,May Day,Public Holiday
21/06/2007,Thursday,June Solstice,Season
17/09/2007,Monday,National Hero Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
02/11/2007,Friday,All Souls' Day,Public Holiday
11/11/2007,Sunday,Independence Day,Public Holiday
12/11/2007,Monday,Day off for Independence Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
01/01/2008,Tuesday,New Year,Public Holiday
04/02/2008,Monday,Liberation Movement Day,Public Holiday
05/02/2008,Tuesday,Carnival,Public Holiday
08/03/2008,Saturday,International Woman's Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,Public Holiday
23/03/2008,Sunday,Southern Africa Liberation Day,Public Holiday
24/03/2008,Monday,Day off for Southern Africa Liberation Day,Public Holiday
04/04/2008,Friday,Peace Day,Public Holiday
01/05/2008,Thursday,May Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
17/09/2008,Wednesday,National Hero Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
02/11/2008,Sunday,All Souls' Day,Public Holiday
03/11/2008,Monday,Day off for All Souls' Day,Public Holiday
11/11/2008,Tuesday,Independence Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Christmas Day,Public Holiday
01/01/2009,Thursday,New Year,Public Holiday
04/02/2009,Wednesday,Liberation Movement Day,Public Holiday
24/02/2009,Tuesday,Carnival,Public Holiday
08/03/2009,Sunday,International Woman's Day,Public Holiday
