Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,Day off for New Year's Day,Public Holiday
02/03/2000,Thursday,James Ronald Webster Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
30/05/2000,Tuesday,Anguilla Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
12/06/2000,Monday,Sovereign's Birthday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
07/08/2000,Monday,August Monday,Public Holiday
10/08/2000,Thursday,August Thursday,Public Holiday
11/08/2000,Friday,Constitution Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
19/12/2000,Tuesday,Separation Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
02/03/2001,Friday,James Ronald Webster Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
30/05/2001,Wednesday,Anguilla Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
11/06/2001,Monday,Sovereign's Birthday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,August Monday,Public Holiday
09/08/2001,Thursday,August Thursday,Public Holiday
10/08/2001,Friday,Constitution Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
19/12/2001,Wednesday,Separation Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
02/03/2002,Saturday,James Ronald Webster Day,Public Holiday
04/03/2002,Monday,Day off for James Ronald Webster Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
30/05/2002,Thursday,Anguilla Day,Public Holiday
10/06/2002,Monday,Sovereign's Birthday,Public Holiday
21/06/2002,Friday,June Solstice,Season
05/08/2002,Monday,August Monday,Public Holiday
08/08/2002,Thursday,August Thursday,Public Holiday
09/08/2002,Friday,Constitution Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
19/12/2002,Thursday,Separation Day,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
02/03/2003,Sunday,James Ronald Webster Day,Public Holiday
03/03/2003,Monday,Day off for James Ronald Webster Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
30/05/2003,Friday,Anguilla Day,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
09/06/2003,Monday,Sovereign's Birthday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
04/08/2003,Monday,August Monday,Public Holiday
07/08/2003,Thursday,August Thursday,Public Holiday
08/08/2003,Friday,Constitution Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
19/12/2003,Friday,Separation Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
02/03/2004,Tuesday,James Ronald Webster Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
03/05/2004,Monday,Day off for Labor Day / May Day,Public Holiday
30/05/2004,Sunday,Anguilla Day,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
01/06/2004,Tuesday,Day off for Anguilla Day,Public Holiday
14/06/2004,Monday,Sovereign's Birthday,Public Holiday
20/06/2004,Sunday,June Solstice,Season
02/08/2004,Monday,August Monday,Public Holiday
05/08/2004,Thursday,August Thursday,Public Holiday
06/08/2004,Friday,Constitution Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
19/12/2004,Sunday,Separation Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
27/12/2004,Monday,Day off for Christmas Day,Public Holiday
28/12/2004,Tuesday,Day off for Boxing Day,Public Holiday
