Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
08/01/2000,Saturday,End of Ramadan,"Muslim, Optional holiday"
16/03/2000,Thursday,Eid al-Adha,"Muslim, Optional holiday"
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,Day of the Veterans,National holiday
06/04/2000,Thursday,Muharram/New Year,"Muslim, Optional holiday"
19/04/2000,Wednesday,Passover Eve,Observance
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
20/04/2000,Thursday,First day of Passover,Optional holiday
21/04/2000,Friday,Good Friday,"National holiday, Christian"
21/04/2000,Friday,Second Day of Passover,Optional holiday
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
25/04/2000,Tuesday,Sixth Day of Passover,Observance
26/04/2000,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
27/04/2000,Thursday,Last day of Passover,"Observance, Hebrew"
01/05/2000,Monday,Labor Day / May Day,National holiday
25/05/2000,Thursday,National Day/May 1810 Revolution,National holiday
19/06/2000,Monday,Flag Day,National holiday
20/06/2000,Tuesday,June Solstice,Season
09/07/2000,Sunday,Independence day,National holiday
21/08/2000,Monday,San Martín Day,National holiday
22/09/2000,Friday,September Equinox,Season
29/09/2000,Friday,Rosh Hashana Eve,Hebrew
30/09/2000,Saturday,Rosh Hashana,"Observance, Hebrew"
01/10/2000,Sunday,Second day of Rosh Hashana,"Observance, Hebrew"
08/10/2000,Sunday,Yom Kippur Eve,Hebrew
09/10/2000,Monday,Yom Kippur,"Observance, Hebrew"
16/10/2000,Monday,Columbus Day,National holiday
08/12/2000,Friday,Feast of the Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
28/12/2000,Thursday,End of Ramadan,"Muslim, Optional holiday"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/03/2001,Tuesday,Eid al-Adha,"Muslim, Optional holiday"
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram/New Year,"Muslim, Optional holiday"
02/04/2001,Monday,Day of the Veterans,National holiday
07/04/2001,Saturday,Passover Eve,Observance
08/04/2001,Sunday,First day of Passover,Optional holiday
09/04/2001,Monday,Second Day of Passover,Optional holiday
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
13/04/2001,Friday,Sixth Day of Passover,Observance
14/04/2001,Saturday,Seventh Day of Passover,"Observance, Hebrew"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
15/04/2001,Sunday,Last day of Passover,"Observance, Hebrew"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
25/05/2001,Friday,National Day/May 1810 Revolution,National holiday
18/06/2001,Monday,Flag Day,National holiday
21/06/2001,Thursday,June Solstice,Season
09/07/2001,Monday,Independence day,National holiday
20/08/2001,Monday,San Martín Day,National holiday
17/09/2001,Monday,Rosh Hashana Eve,Hebrew
18/09/2001,Tuesday,Rosh Hashana,"Observance, Hebrew"
19/09/2001,Wednesday,Second day of Rosh Hashana,"Observance, Hebrew"
22/09/2001,Saturday,September Equinox,Season
26/09/2001,Wednesday,Yom Kippur Eve,Hebrew
27/09/2001,Thursday,Yom Kippur,"Observance, Hebrew"
15/10/2001,Monday,Columbus Day,National holiday
08/12/2001,Saturday,Feast of the Immaculate Conception,National holiday
17/12/2001,Monday,End of Ramadan,"Muslim, Optional holiday"
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
23/02/2002,Saturday,Eid al-Adha,"Muslim, Optional holiday"
15/03/2002,Friday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2002,Wednesday,March Equinox,Season
27/03/2002,Wednesday,Passover Eve,Observance
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
28/03/2002,Thursday,First day of Passover,Optional holiday
29/03/2002,Friday,Good Friday,"National holiday, Christian"
29/03/2002,Friday,Second Day of Passover,Optional holiday
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
01/04/2002,Monday,Day of the Veterans,National holiday
02/04/2002,Tuesday,Sixth Day of Passover,Observance
03/04/2002,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
04/04/2002,Thursday,Last day of Passover,"Observance, Hebrew"
01/05/2002,Wednesday,Labor Day / May Day,National holiday
25/05/2002,Saturday,National Day/May 1810 Revolution,National holiday
17/06/2002,Monday,Flag Day,National holiday
21/06/2002,Friday,June Solstice,Season
09/07/2002,Tuesday,Independence day,National holiday
19/08/2002,Monday,San Martín Day,National holiday
06/09/2002,Friday,Rosh Hashana Eve,Hebrew
07/09/2002,Saturday,Rosh Hashana,"Observance, Hebrew"
08/09/2002,Sunday,Second day of Rosh Hashana,"Observance, Hebrew"
15/09/2002,Sunday,Yom Kippur Eve,Hebrew
16/09/2002,Monday,Yom Kippur,"Observance, Hebrew"
23/09/2002,Monday,September Equinox,Season
12/10/2002,Saturday,Columbus Day,National holiday
06/12/2002,Friday,End of Ramadan,"Muslim, Optional holiday"
08/12/2002,Sunday,Feast of the Immaculate Conception,National holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
12/02/2003,Wednesday,Eid al-Adha,"Muslim, Optional holiday"
05/03/2003,Wednesday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2003,Thursday,March Equinox,Season
31/03/2003,Monday,Day of the Veterans,National holiday
16/04/2003,Wednesday,Passover Eve,Observance
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
17/04/2003,Thursday,First day of Passover,Optional holiday
18/04/2003,Friday,Good Friday,"National holiday, Christian"
18/04/2003,Friday,Second Day of Passover,Optional holiday
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
22/04/2003,Tuesday,Sixth Day of Passover,Observance
23/04/2003,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
24/04/2003,Thursday,Last day of Passover,"Observance, Hebrew"
01/05/2003,Thursday,Labor Day / May Day,National holiday
25/05/2003,Sunday,National Day/May 1810 Revolution,National holiday
16/06/2003,Monday,Flag Day,National holiday
21/06/2003,Saturday,June Solstice,Season
09/07/2003,Wednesday,Independence day,National holiday
18/08/2003,Monday,San Martín Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
26/09/2003,Friday,Rosh Hashana Eve,Hebrew
27/09/2003,Saturday,Rosh Hashana,"Observance, Hebrew"
28/09/2003,Sunday,Second day of Rosh Hashana,"Observance, Hebrew"
05/10/2003,Sunday,Yom Kippur Eve,Hebrew
06/10/2003,Monday,Yom Kippur,"Observance, Hebrew"
12/10/2003,Sunday,Columbus Day,National holiday
26/11/2003,Wednesday,End of Ramadan,"Muslim, Optional holiday"
08/12/2003,Monday,Feast of the Immaculate Conception,National holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,"National holiday, Christian"
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
02/02/2004,Monday,Eid al-Adha,"Muslim, Optional holiday"
22/02/2004,Sunday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2004,Saturday,March Equinox,Season
05/04/2004,Monday,Day of the Veterans,National holiday
05/04/2004,Monday,Passover Eve,Observance
06/04/2004,Tuesday,First day of Passover,Optional holiday
07/04/2004,Wednesday,Second Day of Passover,Optional holiday
08/04/2004,Thursday,Maundy Thursday,"National holiday, Christian"
09/04/2004,Friday,Good Friday,"National holiday, Christian"
11/04/2004,Sunday,Easter Sunday,"Observance, Christian"
11/04/2004,Sunday,Sixth Day of Passover,Observance
12/04/2004,Monday,Seventh Day of Passover,"Observance, Hebrew"
13/04/2004,Tuesday,Last day of Passover,"Observance, Hebrew"
01/05/2004,Saturday,Labor Day / May Day,National holiday
25/05/2004,Tuesday,National Day/May 1810 Revolution,National holiday
20/06/2004,Sunday,June Solstice,Season
21/06/2004,Monday,Flag Day,National holiday
09/07/2004,Friday,Independence day,National holiday
16/08/2004,Monday,San Martín Day,National holiday
15/09/2004,Wednesday,Rosh Hashana Eve,Hebrew
16/09/2004,Thursday,Rosh Hashana,"Observance, Hebrew"
17/09/2004,Friday,Second day of Rosh Hashana,"Observance, Hebrew"
22/09/2004,Wednesday,September Equinox,Season
24/09/2004,Friday,Yom Kippur Eve,Hebrew
25/09/2004,Saturday,Yom Kippur,"Observance, Hebrew"
11/10/2004,Monday,Columbus Day,National holiday
14/11/2004,Sunday,End of Ramadan,"Muslim, Optional holiday"
08/12/2004,Wednesday,Feast of the Immaculate Conception,National holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,"National holiday, Christian"
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
21/01/2005,Friday,Eid al-Adha,"Muslim, Optional holiday"
10/02/2005,Thursday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2005,Sunday,March Equinox,Season
24/03/2005,Thursday,Maundy Thursday,"National holiday, Christian"
25/03/2005,Friday,Good Friday,"National holiday, Christian"
27/03/2005,Sunday,Easter Sunday,"Observance, Christian"
02/04/2005,Saturday,Day of the Veterans,National holiday
23/04/2005,Saturday,Passover Eve,Observance
24/04/2005,Sunday,First day of Passover,Optional holiday
25/04/2005,Monday,Second Day of Passover,Optional holiday
29/04/2005,Friday,Sixth Day of Passover,Observance
30/04/2005,Saturday,Seventh Day of Passover,"Observance, Hebrew"
01/05/2005,Sunday,Labor Day / May Day,National holiday
01/05/2005,Sunday,Last day of Passover,"Observance, Hebrew"
25/05/2005,Wednesday,National Day/May 1810 Revolution,National holiday
20/06/2005,Monday,Flag Day,National holiday
21/06/2005,Tuesday,June Solstice,Season
09/07/2005,Saturday,Independence day,National holiday
15/08/2005,Monday,San Martín Day,National holiday
22/09/2005,Thursday,September Equinox,Season
03/10/2005,Monday,Rosh Hashana Eve,Hebrew
04/10/2005,Tuesday,Rosh Hashana,"Observance, Hebrew"
05/10/2005,Wednesday,Second day of Rosh Hashana,"Observance, Hebrew"
10/10/2005,Monday,Columbus Day,National holiday
12/10/2005,Wednesday,Yom Kippur Eve,Hebrew
13/10/2005,Thursday,Yom Kippur,"Observance, Hebrew"
04/11/2005,Friday,End of Ramadan,"Muslim, Optional holiday"
08/12/2005,Thursday,Feast of the Immaculate Conception,National holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,"National holiday, Christian"
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National holiday
10/01/2006,Tuesday,Eid al-Adha,"Muslim, Optional holiday"
31/01/2006,Tuesday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2006,Monday,March Equinox,Season
24/03/2006,Friday,Memorial Day,National holiday
02/04/2006,Sunday,Day of the Veterans,National holiday
12/04/2006,Wednesday,Passover Eve,Observance
13/04/2006,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2006,Thursday,First day of Passover,Optional holiday
14/04/2006,Friday,Good Friday,"National holiday, Christian"
14/04/2006,Friday,Second Day of Passover,Optional holiday
16/04/2006,Sunday,Easter Sunday,"Observance, Christian"
18/04/2006,Tuesday,Sixth Day of Passover,Observance
19/04/2006,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
20/04/2006,Thursday,Last day of Passover,"Observance, Hebrew"
01/05/2006,Monday,Labor Day / May Day,National holiday
25/05/2006,Thursday,National Day/May 1810 Revolution,National holiday
19/06/2006,Monday,Flag Day,National holiday
21/06/2006,Wednesday,June Solstice,Season
09/07/2006,Sunday,Independence day,National holiday
21/08/2006,Monday,San Martín Day,National holiday
22/09/2006,Friday,Rosh Hashana Eve,Hebrew
23/09/2006,Saturday,Rosh Hashana,"Observance, Hebrew"
23/09/2006,Saturday,September Equinox,Season
24/09/2006,Sunday,Second day of Rosh Hashana,"Observance, Hebrew"
01/10/2006,Sunday,Yom Kippur Eve,Hebrew
02/10/2006,Monday,Yom Kippur,"Observance, Hebrew"
16/10/2006,Monday,Columbus Day,National holiday
24/10/2006,Tuesday,End of Ramadan,"Muslim, Optional holiday"
08/12/2006,Friday,Feast of the Immaculate Conception,National holiday
21/12/2006,Thursday,December Solstice,Season
25/12/2006,Monday,Christmas Day,"National holiday, Christian"
31/12/2006,Sunday,New Year's Eve,Observance
31/12/2006,Sunday,Eid al-Adha,"Muslim, Optional holiday"
01/01/2007,Monday,New Year's Day,National holiday
20/01/2007,Saturday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2007,Tuesday,March Equinox,Season
24/03/2007,Saturday,Memorial Day,National holiday
02/04/2007,Monday,Day of the Veterans,National holiday
02/04/2007,Monday,Passover Eve,Observance
03/04/2007,Tuesday,First day of Passover,Optional holiday
04/04/2007,Wednesday,Second Day of Passover,Optional holiday
05/04/2007,Thursday,Maundy Thursday,"National holiday, Christian"
06/04/2007,Friday,Good Friday,"National holiday, Christian"
08/04/2007,Sunday,Easter Sunday,"Observance, Christian"
08/04/2007,Sunday,Sixth Day of Passover,Observance
09/04/2007,Monday,Seventh Day of Passover,"Observance, Hebrew"
10/04/2007,Tuesday,Last day of Passover,"Observance, Hebrew"
24/04/2007,Tuesday,Action Day for Tolerance and Respect between People,Observance
01/05/2007,Tuesday,Labor Day / May Day,National holiday
25/05/2007,Friday,National Day/May 1810 Revolution,National holiday
18/06/2007,Monday,Flag Day,National holiday
21/06/2007,Thursday,June Solstice,Season
09/07/2007,Monday,Independence day,National holiday
20/08/2007,Monday,San Martín Day,National holiday
12/09/2007,Wednesday,Rosh Hashana Eve,Hebrew
13/09/2007,Thursday,Rosh Hashana,"Observance, Hebrew"
14/09/2007,Friday,Second day of Rosh Hashana,"Observance, Hebrew"
21/09/2007,Friday,Yom Kippur Eve,Hebrew
22/09/2007,Saturday,Yom Kippur,"Observance, Hebrew"
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,End of Ramadan,"Muslim, Optional holiday"
15/10/2007,Monday,Columbus Day,National holiday
08/12/2007,Saturday,Feast of the Immaculate Conception,National holiday
20/12/2007,Thursday,Eid al-Adha,"Muslim, Optional holiday"
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,National holiday
10/01/2008,Thursday,Muharram/New Year,"Muslim, Optional holiday"
20/03/2008,Thursday,Maundy Thursday,"National holiday, Christian"
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,"National holiday, Christian"
23/03/2008,Sunday,Easter Sunday,"Observance, Christian"
24/03/2008,Monday,Memorial Day,National holiday
02/04/2008,Wednesday,Day of the Veterans,National holiday
19/04/2008,Saturday,Passover Eve,Observance
20/04/2008,Sunday,First day of Passover,Optional holiday
21/04/2008,Monday,Second Day of Passover,Optional holiday
24/04/2008,Thursday,Action Day for Tolerance and Respect between People,Observance
25/04/2008,Friday,Sixth Day of Passover,Observance
26/04/2008,Saturday,Seventh Day of Passover,"Observance, Hebrew"
27/04/2008,Sunday,Last day of Passover,"Observance, Hebrew"
01/05/2008,Thursday,Labor Day / May Day,National holiday
