Date,Day,Name,Type
01/01/2009,Thursday,New Year's Day,National holiday
02/01/2009,Friday,New Year's Day (Day 2),National holiday
03/01/2009,Saturday,New Year's Day (Day 3),National holiday
04/01/2009,Sunday,New Year's Day (Day 4),National holiday
05/01/2009,Monday,Christmas Eve,National holiday
06/01/2009,Tuesday,Christmas Day,National holiday
07/01/2009,Wednesday,Christmas Remembrance Day,National holiday
28/01/2009,Wednesday,Army Day,National holiday
14/02/2009,Saturday,Valentine's Day,Observance
19/02/2009,Thursday,Feast of Saint Vartan,Observance
21/02/2009,Saturday,Mother Language Day,Observance
08/03/2009,Sunday,International Women's Day,National holiday
20/03/2009,Friday,March Equinox,Season
07/04/2009,Tuesday,Motherhood and Beauty Day,Observance
10/04/2009,Friday,Good Friday,Observance
11/04/2009,Saturday,Holy Saturday,Observance
12/04/2009,Sunday,Easter Sunday,Observance
13/04/2009,Monday,Easter Monday,Observance
16/04/2009,Thursday,Armenian Cinema Day,Observance
19/04/2009,Sunday,Taxpayer's Day,Observance
24/04/2009,Friday,Genocide Remembrance Day,National holiday
01/05/2009,Friday,Labour Day/May Day,National holiday
08/05/2009,Friday,Yerkrapah Day,Observance
09/05/2009,Saturday,Victory and Peace Day,National holiday
15/05/2009,Friday,Family Day,Observance
16/05/2009,Saturday,Day of Students and Youth,Observance
28/05/2009,Thursday,Republic Day,National holiday
01/06/2009,Monday,Children's Day,Observance
14/06/2009,Sunday,Remembrance Day of the Oppressed,Observance
21/06/2009,Sunday,Fathers' Day,Observance
21/06/2009,Sunday,June Solstice,Season
05/07/2009,Sunday,Constitution Day,National holiday
19/07/2009,Sunday,Vardavar,National holiday
01/09/2009,Tuesday,Knowledge and Literature Day,Observance
21/09/2009,Monday,Independence Day,National holiday
23/09/2009,Wednesday,September Equinox,Season
04/10/2009,Sunday,Day of National Minorities of the Republic of Armenia,Observance
05/10/2009,Monday,Teacher's Day,Observance
10/10/2009,Saturday,Translators' Day,Observance
31/10/2009,Saturday,Halloween,Observance
10/11/2009,Tuesday,Local Self-Government Day,Observance
07/12/2009,Monday,Spitak Remembrance Day,Observance
