Date,Day,Name,Type
01/01/2015,Thursday,New Year's Day,Public Holiday
25/01/2015,Sunday,Betico Croes' Birthday,Public Holiday
16/02/2015,Monday,Carnival Monday,Public Holiday
18/03/2015,Wednesday,National Anthem and Flag Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
27/04/2015,Monday,King's Day,Public Holiday
01/05/2015,Friday,Labor Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
23/09/2015,Wednesday,September Equinox,Season
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
25/01/2016,Monday,Betico Croes' Birthday,Public Holiday
08/02/2016,Monday,Carnival Monday,Public Holiday
18/03/2016,Friday,National Anthem and Flag Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
27/04/2016,Wednesday,King's Day,Public Holiday
01/05/2016,Sunday,Labor Day,Public Holiday
02/05/2016,Monday,Day off for Labor Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
22/09/2016,Thursday,September Equinox,Season
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
01/01/2017,Sunday,New Year's Day,Public Holiday
25/01/2017,Wednesday,Betico Croes' Birthday,Public Holiday
27/02/2017,Monday,Carnival Monday,Public Holiday
18/03/2017,Saturday,National Anthem and Flag Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
27/04/2017,Thursday,King's Day,Public Holiday
01/05/2017,Monday,Labor Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
22/09/2017,Friday,September Equinox,Season
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year's Day,Public Holiday
25/01/2018,Thursday,Betico Croes' Birthday,Public Holiday
12/02/2018,Monday,Carnival Monday,Public Holiday
18/03/2018,Sunday,National Anthem and Flag Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
27/04/2018,Friday,King's Day,Public Holiday
01/05/2018,Tuesday,Labor Day,Public Holiday
10/05/2018,Thursday,Ascension Day,Public Holiday
21/06/2018,Thursday,June Solstice,Season
22/09/2018,Saturday,September Equinox,Season
