Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National Holiday
03/01/2000,Monday,Laylatul Qadr (Night of Power),Muslim
06/01/2000,Thursday,Epiphany,Christian
07/01/2000,Friday,Orthodox Christmas Day,Orthodox
08/01/2000,Saturday,Eid ul Fitr,Muslim
08/01/2000,Saturday,Hari Raya Puasa,State Holiday
10/01/2000,Monday,Day off for Hari Raya Puasa,State Holiday
14/01/2000,Friday,Orthodox New Year,Orthodox
22/01/2000,Saturday,Tu B'Shevat (Arbor Day),Jewish holiday
26/01/2000,Wednesday,Australia Day,National Holiday
05/02/2000,Saturday,Lunar New Year,Observance
14/02/2000,Monday,Royal Hobart Regatta,State Holiday
14/02/2000,Monday,Valentine's Day,Observance
06/03/2000,Monday,Labour Day,State Holiday
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Christian
08/03/2000,Wednesday,Ash Wednesday,Christian
13/03/2000,Monday,Labour Day,State Holiday
16/03/2000,Thursday,Eid al-Adha,Muslim
17/03/2000,Friday,St Patrick's Day,Observance
20/03/2000,Monday,Canberra Day,State Holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Purim,Jewish holiday
21/03/2000,Tuesday,Harmony Day,Observance
26/03/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
06/04/2000,Thursday,Muharram/Islamic New Year,Muslim
06/04/2000,Thursday,Self Determination Day,State Holiday
15/04/2000,Saturday,Ashura,Muslim
16/04/2000,Sunday,Palm Sunday,Christian
20/04/2000,Thursday,Maundy Thursday,Christian
20/04/2000,Thursday,First day of Passover,Jewish holiday
21/04/2000,Friday,Good Friday,Restricted Trading Day
21/04/2000,Friday,Good Friday,National Holiday
22/04/2000,Saturday,Holy Saturday,National Holiday
23/04/2000,Sunday,Easter Sunday,National Holiday
24/04/2000,Monday,Easter Monday,National Holiday
25/04/2000,Tuesday,ANZAC Day,National Holiday
25/04/2000,Tuesday,ANZAC Day,Common State holiday
25/04/2000,Tuesday,ANZAC Day Observed,State Holiday
25/04/2000,Tuesday,Easter Tuesday,State Public Sector Holiday
27/04/2000,Thursday,Last day of Passover,Jewish holiday
28/04/2000,Friday,Orthodox Good Friday,Orthodox
29/04/2000,Saturday,Orthodox Holy Saturday,Orthodox
30/04/2000,Sunday,Orthodox Easter,Orthodox
01/05/2000,Monday,Orthodox Easter Monday,Orthodox
01/05/2000,Monday,May Day,State Holiday
02/05/2000,Tuesday,Yom HaShoah,Jewish commemoration
10/05/2000,Wednesday,Yom HaAtzmaut,Jewish holiday
14/05/2000,Sunday,Mother's Day,Observance
15/05/2000,Monday,Adelaide Cup,State Holiday
23/05/2000,Tuesday,Lag B'Omer,Jewish holiday
26/05/2000,Friday,National Sorry Day,Observance
01/06/2000,Thursday,Ascension Day,Christian
05/06/2000,Monday,Foundation Day,State Holiday
06/06/2000,Tuesday,Queensland Day,Local observance
09/06/2000,Friday,Shavuot,Jewish holiday
11/06/2000,Sunday,Pentecost,Christian
12/06/2000,Monday,Whit Monday,Christian
12/06/2000,Monday,Queen's Birthday,Common State holiday
12/06/2000,Monday,Queen's Birthday,State Holiday
15/06/2000,Thursday,Milad un Nabi (Mawlid),Muslim
15/06/2000,Thursday,Hari Maulad Nabi,State Holiday
18/06/2000,Sunday,Trinity Sunday,Christian
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Christian
02/07/2000,Sunday,First Day of NAIDOC Week,Observance
07/08/2000,Monday,New South Wales Bank Holiday,State Bank Holiday
07/08/2000,Monday,Northern Territory Picnic Day,State Holiday
10/08/2000,Thursday,Tisha B'Av,Jewish holiday
15/08/2000,Tuesday,Assumption of Mary,Christian
