Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,National holiday
19/03/2000,Sunday,Saint Joseph's Day,State holiday
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
16/04/2000,Sunday,Palm Sunday,Observance
21/04/2000,Friday,Good Friday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
04/05/2000,Thursday,Saint Florian's Day,State holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,National holiday
11/06/2000,Sunday,Father's Day,Observance
11/06/2000,Sunday,Whit Sunday,Observance
12/06/2000,Monday,Whit Monday,National holiday
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
22/09/2000,Friday,September Equinox,Season
24/09/2000,Sunday,European Heritage Days,Observance
24/09/2000,Sunday,Saint Rupert's Day,State holiday
09/10/2000,Monday,Yom Kippur,Optional Holiday
10/10/2000,Tuesday,Plebiscite Day,State holiday
26/10/2000,Thursday,National Day,National holiday
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2000,Tuesday,Reformation Day,Observance
01/11/2000,Wednesday,All Saints' Day,National holiday
02/11/2000,Thursday,All Souls' Day,Observance
11/11/2000,Saturday,Saint Martin's Day,State holiday
15/11/2000,Wednesday,Saint Leopold's Day,State holiday
03/12/2000,Sunday,First Advent Sunday,Observance
08/12/2000,Friday,Immaculate Conception,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Half-day holiday
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,St. Stephen's Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,National holiday
