Date,Day,Name,Type
01/01/2006,Sunday,New Year's Day,Public holiday
02/01/2006,Monday,Day off for New Year's Day,Public holiday
03/01/2006,Tuesday,New Year's Day (day 2),Public holiday
10/01/2006,Tuesday,Feast of the Sacrifice,Public holiday
20/01/2006,Friday,Martyrs’ Day,Public holiday
08/03/2006,Wednesday,Women's Day,Public holiday
20/03/2006,Monday,Nowruz,Public holiday
20/03/2006,Monday,March Equinox,Season
21/03/2006,Tuesday,Nowruz/Spring Holiday,Public holiday
22/03/2006,Wednesday,Nowruz/Spring Holiday,Public holiday
23/03/2006,Thursday,Nowruz/Spring Holiday,Public holiday
24/03/2006,Friday,Nowruz/Spring Holiday,Public holiday
09/05/2006,Tuesday,Victory Day over Fascism,Public holiday
28/05/2006,Sunday,Republic Day,Public holiday
29/05/2006,Monday,Day off for Republic Day,Public holiday
15/06/2006,Thursday,Day of National Salvation of the Azerbaijani People,Public holiday
21/06/2006,Wednesday,June Solstice,Season
26/06/2006,Monday,Azerbaijan Armed Forces Day,Public holiday
23/09/2006,Saturday,September Equinox,Season
18/10/2006,Wednesday,National Independence Day,Observance
24/10/2006,Tuesday,Ramadan holiday,Public holiday
25/10/2006,Wednesday,Ramadan holiday,Public holiday
09/11/2006,Thursday,State Flag Day of Azerbaijan,Public holiday
12/11/2006,Sunday,Constitution Day,Observance
17/11/2006,Friday,National Revival Day,Observance
22/12/2006,Friday,December Solstice,Season
31/12/2006,Sunday,World Azerbaijanis Solidarity Day,Public holiday
31/12/2006,Sunday,Feast of the Sacrifice,Public holiday
31/12/2006,Sunday,New Year's Eve,Observance
01/01/2007,Monday,New Year's Day,Public holiday
02/01/2007,Tuesday,New Year's Day (day 2),Public holiday
20/01/2007,Saturday,Martyrs’ Day,Public holiday
22/01/2007,Monday,Day off for Martyrs’ Day,Public holiday
08/03/2007,Thursday,Women's Day,Public holiday
20/03/2007,Tuesday,Nowruz,Public holiday
21/03/2007,Wednesday,Nowruz/Spring Holiday,Public holiday
21/03/2007,Wednesday,March Equinox,Season
22/03/2007,Thursday,Nowruz/Spring Holiday,Public holiday
23/03/2007,Friday,Nowruz/Spring Holiday,Public holiday
24/03/2007,Saturday,Nowruz/Spring Holiday,Public holiday
25/03/2007,Sunday,Nowruz/Spring Holiday,Public holiday
09/05/2007,Wednesday,Victory Day over Fascism,Public holiday
28/05/2007,Monday,Republic Day,Public holiday
15/06/2007,Friday,Day of National Salvation of the Azerbaijani People,Public holiday
21/06/2007,Thursday,June Solstice,Season
26/06/2007,Tuesday,Azerbaijan Armed Forces Day,Public holiday
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Ramadan holiday,Public holiday
14/10/2007,Sunday,Ramadan holiday,Public holiday
15/10/2007,Monday,Ramadan holiday,Public holiday
18/10/2007,Thursday,National Independence Day,Observance
09/11/2007,Friday,State Flag Day of Azerbaijan,Public holiday
12/11/2007,Monday,Constitution Day,Observance
17/11/2007,Saturday,National Revival Day,Observance
20/12/2007,Thursday,Feast of the Sacrifice,Public holiday
21/12/2007,Friday,Feast of the Sacrifice Holiday,Public holiday
22/12/2007,Saturday,December Solstice,Season
31/12/2007,Monday,World Azerbaijanis Solidarity Day,Public holiday
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,Public holiday
02/01/2008,Wednesday,New Year's Day (day 2),Public holiday
20/01/2008,Sunday,Martyrs’ Day,Public holiday
21/01/2008,Monday,Day off for Martyrs’ Day,Public holiday
08/03/2008,Saturday,Women's Day,Public holiday
10/03/2008,Monday,Women's Day observed,Public holiday
20/03/2008,Thursday,Nowruz,Public holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Nowruz/Spring Holiday,Public holiday
22/03/2008,Saturday,Nowruz/Spring Holiday,Public holiday
23/03/2008,Sunday,Nowruz/Spring Holiday,Public holiday
24/03/2008,Monday,Nowruz/Spring Holiday,Public holiday
25/03/2008,Tuesday,Nowruz/Spring Holiday,Public holiday
26/03/2008,Wednesday,Nowruz/Spring Holiday,Public holiday
09/05/2008,Friday,Victory Day over Fascism,Public holiday
28/05/2008,Wednesday,Republic Day,Public holiday
15/06/2008,Sunday,Day of National Salvation of the Azerbaijani People,Public holiday
16/06/2008,Monday,Day off for Day of National Salvation of the Azerbaijani People,Public holiday
21/06/2008,Saturday,June Solstice,Season
26/06/2008,Thursday,Azerbaijan Armed Forces Day,Public holiday
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Ramadan holiday,Public holiday
03/10/2008,Friday,Ramadan holiday,Public holiday
18/10/2008,Saturday,National Independence Day,Observance
09/11/2008,Sunday,State Flag Day of Azerbaijan,Public holiday
10/11/2008,Monday,Day off for State Flag Day of Azerbaijan,Public holiday
12/11/2008,Wednesday,Constitution Day,Observance
17/11/2008,Monday,National Revival Day,Observance
09/12/2008,Tuesday,Feast of the Sacrifice,Public holiday
10/12/2008,Wednesday,Feast of the Sacrifice Holiday,Public holiday
21/12/2008,Sunday,December Solstice,Season
31/12/2008,Wednesday,World Azerbaijanis Solidarity Day,Public holiday
