Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National Holiday
07/01/2000,Friday,Orthodox Christmas Day,National Holiday
14/02/2000,Monday,Valentine's Day,Observance
23/02/2000,Wednesday,Defender of the Fatherland Day,Observance
08/03/2000,Wednesday,Women's Day,National Holiday
15/03/2000,Wednesday,Constitution Day,Observance
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,Union Day of Belarus and Russia,Observance
23/04/2000,Sunday,Catholic Easter Sunday,Observance
26/04/2000,Wednesday,Day of Remembrance of the Chernobyl Tragedy,Observance
30/04/2000,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
01/05/2000,Monday,Labour Day,National Holiday
09/05/2000,Tuesday,Radonitsa,National Holiday
09/05/2000,Tuesday,Victory Day,National Holiday
14/05/2000,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2000,Monday,Independence Day of the Republic of Belarus,National Holiday
06/07/2000,Thursday,Kupalle (Day 1),Observance
07/07/2000,Friday,Kupalle (Day 2),Observance
22/09/2000,Friday,September Equinox,Season
14/10/2000,Saturday,Mother's Day,Observance
02/11/2000,Thursday,Remembrance Day,Observance
07/11/2000,Tuesday,October Revolution Day,National Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Catholic Christmas Day,National Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National Holiday
07/01/2001,Sunday,Orthodox Christmas Day,National Holiday
14/02/2001,Wednesday,Valentine's Day,Observance
23/02/2001,Friday,Defender of the Fatherland Day,Observance
08/03/2001,Thursday,Women's Day,National Holiday
15/03/2001,Thursday,Constitution Day,Observance
20/03/2001,Tuesday,March Equinox,Season
02/04/2001,Monday,Union Day of Belarus and Russia,Observance
15/04/2001,Sunday,Catholic Easter Sunday,Observance
15/04/2001,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
24/04/2001,Tuesday,Radonitsa,National Holiday
26/04/2001,Thursday,Day of Remembrance of the Chernobyl Tragedy,Observance
01/05/2001,Tuesday,Labour Day,National Holiday
09/05/2001,Wednesday,Victory Day,National Holiday
13/05/2001,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2001,Thursday,June Solstice,Season
22/06/2001,Friday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2001,Tuesday,Independence Day of the Republic of Belarus,National Holiday
06/07/2001,Friday,Kupalle (Day 1),Observance
07/07/2001,Saturday,Kupalle (Day 2),Observance
23/09/2001,Sunday,September Equinox,Season
14/10/2001,Sunday,Mother's Day,Observance
02/11/2001,Friday,Remembrance Day,Observance
07/11/2001,Wednesday,October Revolution Day,National Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Catholic Christmas Day,National Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National Holiday
07/01/2002,Monday,Orthodox Christmas Day,National Holiday
14/02/2002,Thursday,Valentine's Day,Observance
23/02/2002,Saturday,Defender of the Fatherland Day,Observance
08/03/2002,Friday,Women's Day,National Holiday
15/03/2002,Friday,Constitution Day,Observance
20/03/2002,Wednesday,March Equinox,Season
31/03/2002,Sunday,Catholic Easter Sunday,Observance
02/04/2002,Tuesday,Union Day of Belarus and Russia,Observance
26/04/2002,Friday,Day of Remembrance of the Chernobyl Tragedy,Observance
01/05/2002,Wednesday,Labour Day,National Holiday
05/05/2002,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
09/05/2002,Thursday,Victory Day,National Holiday
12/05/2002,Sunday,Day of the National Emblem and Flag of Belarus,Observance
14/05/2002,Tuesday,Radonitsa,National Holiday
21/06/2002,Friday,June Solstice,Season
22/06/2002,Saturday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2002,Wednesday,Independence Day of the Republic of Belarus,National Holiday
06/07/2002,Saturday,Kupalle (Day 1),Observance
07/07/2002,Sunday,Kupalle (Day 2),Observance
23/09/2002,Monday,September Equinox,Season
14/10/2002,Monday,Mother's Day,Observance
02/11/2002,Saturday,Remembrance Day,Observance
07/11/2002,Thursday,October Revolution Day,National Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Catholic Christmas Day,National Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National Holiday
07/01/2003,Tuesday,Orthodox Christmas Day,National Holiday
14/02/2003,Friday,Valentine's Day,Observance
23/02/2003,Sunday,Defender of the Fatherland Day,Observance
08/03/2003,Saturday,Women's Day,National Holiday
15/03/2003,Saturday,Constitution Day,Observance
21/03/2003,Friday,March Equinox,Season
02/04/2003,Wednesday,Union Day of Belarus and Russia,Observance
20/04/2003,Sunday,Catholic Easter Sunday,Observance
26/04/2003,Saturday,Day of Remembrance of the Chernobyl Tragedy,Observance
27/04/2003,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
01/05/2003,Thursday,Labour Day,National Holiday
06/05/2003,Tuesday,Radonitsa,National Holiday
09/05/2003,Friday,Victory Day,National Holiday
11/05/2003,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2003,Saturday,June Solstice,Season
22/06/2003,Sunday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2003,Thursday,Independence Day of the Republic of Belarus,National Holiday
06/07/2003,Sunday,Kupalle (Day 1),Observance
07/07/2003,Monday,Kupalle (Day 2),Observance
23/09/2003,Tuesday,September Equinox,Season
14/10/2003,Tuesday,Mother's Day,Observance
02/11/2003,Sunday,Remembrance Day,Observance
07/11/2003,Friday,October Revolution Day,National Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Catholic Christmas Day,National Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National Holiday
07/01/2004,Wednesday,Orthodox Christmas Day,National Holiday
14/02/2004,Saturday,Valentine's Day,Observance
23/02/2004,Monday,Defender of the Fatherland Day,Observance
08/03/2004,Monday,Women's Day,National Holiday
15/03/2004,Monday,Constitution Day,Observance
20/03/2004,Saturday,March Equinox,Season
02/04/2004,Friday,Union Day of Belarus and Russia,Observance
11/04/2004,Sunday,Catholic Easter Sunday,Observance
11/04/2004,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
20/04/2004,Tuesday,Radonitsa,National Holiday
26/04/2004,Monday,Day of Remembrance of the Chernobyl Tragedy,Observance
01/05/2004,Saturday,Labour Day,National Holiday
09/05/2004,Sunday,Victory Day,National Holiday
09/05/2004,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2004,Monday,June Solstice,Season
22/06/2004,Tuesday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2004,Saturday,Independence Day of the Republic of Belarus,National Holiday
06/07/2004,Tuesday,Kupalle (Day 1),Observance
07/07/2004,Wednesday,Kupalle (Day 2),Observance
22/09/2004,Wednesday,September Equinox,Season
14/10/2004,Thursday,Mother's Day,Observance
02/11/2004,Tuesday,Remembrance Day,Observance
07/11/2004,Sunday,October Revolution Day,National Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Catholic Christmas Day,National Holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National Holiday
07/01/2005,Friday,Orthodox Christmas Day,National Holiday
14/02/2005,Monday,Valentine's Day,Observance
23/02/2005,Wednesday,Defender of the Fatherland Day,Observance
08/03/2005,Tuesday,Women's Day,National Holiday
15/03/2005,Tuesday,Constitution Day,Observance
20/03/2005,Sunday,March Equinox,Season
27/03/2005,Sunday,Catholic Easter Sunday,Observance
02/04/2005,Saturday,Union Day of Belarus and Russia,Observance
26/04/2005,Tuesday,Day of Remembrance of the Chernobyl Tragedy,Observance
01/05/2005,Sunday,Labour Day,National Holiday
01/05/2005,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
08/05/2005,Sunday,Day of the National Emblem and Flag of Belarus,Observance
09/05/2005,Monday,Victory Day,National Holiday
10/05/2005,Tuesday,Radonitsa,National Holiday
21/06/2005,Tuesday,June Solstice,Season
22/06/2005,Wednesday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2005,Sunday,Independence Day of the Republic of Belarus,National Holiday
06/07/2005,Wednesday,Kupalle (Day 1),Observance
07/07/2005,Thursday,Kupalle (Day 2),Observance
23/09/2005,Friday,September Equinox,Season
14/10/2005,Friday,Mother's Day,Observance
02/11/2005,Wednesday,Remembrance Day,Observance
07/11/2005,Monday,October Revolution Day,National Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Catholic Christmas Day,National Holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National Holiday
07/01/2006,Saturday,Orthodox Christmas Day,National Holiday
14/02/2006,Tuesday,Valentine's Day,Observance
23/02/2006,Thursday,Defender of the Fatherland Day,Observance
08/03/2006,Wednesday,Women's Day,National Holiday
15/03/2006,Wednesday,Constitution Day,Observance
20/03/2006,Monday,March Equinox,Season
02/04/2006,Sunday,Union Day of Belarus and Russia,Observance
16/04/2006,Sunday,Catholic Easter Sunday,Observance
23/04/2006,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
26/04/2006,Wednesday,Day of Remembrance of the Chernobyl Tragedy,Observance
01/05/2006,Monday,Labour Day,National Holiday
02/05/2006,Tuesday,Radonitsa,National Holiday
09/05/2006,Tuesday,Victory Day,National Holiday
14/05/2006,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2006,Wednesday,June Solstice,Season
22/06/2006,Thursday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2006,Monday,Independence Day of the Republic of Belarus,National Holiday
06/07/2006,Thursday,Kupalle (Day 1),Observance
07/07/2006,Friday,Kupalle (Day 2),Observance
23/09/2006,Saturday,September Equinox,Season
14/10/2006,Saturday,Mother's Day,Observance
02/11/2006,Thursday,Remembrance Day,Observance
07/11/2006,Tuesday,October Revolution Day,National Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Catholic Christmas Day,National Holiday
31/12/2006,Sunday,New Year's Eve,Observance
01/01/2007,Monday,New Year's Day,National Holiday
07/01/2007,Sunday,Orthodox Christmas Day,National Holiday
14/02/2007,Wednesday,Valentine's Day,Observance
23/02/2007,Friday,Defender of the Fatherland Day,Observance
08/03/2007,Thursday,Women's Day,National Holiday
15/03/2007,Thursday,Constitution Day,Observance
21/03/2007,Wednesday,March Equinox,Season
02/04/2007,Monday,Union Day of Belarus and Russia,Observance
08/04/2007,Sunday,Catholic Easter Sunday,Observance
08/04/2007,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
17/04/2007,Tuesday,Radonitsa,National Holiday
26/04/2007,Thursday,Day of Remembrance of the Chernobyl Tragedy,Observance
01/05/2007,Tuesday,Labour Day,National Holiday
09/05/2007,Wednesday,Victory Day,National Holiday
13/05/2007,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2007,Thursday,June Solstice,Season
22/06/2007,Friday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2007,Tuesday,Independence Day of the Republic of Belarus,National Holiday
06/07/2007,Friday,Kupalle (Day 1),Observance
07/07/2007,Saturday,Kupalle (Day 2),Observance
23/09/2007,Sunday,September Equinox,Season
14/10/2007,Sunday,Mother's Day,Observance
02/11/2007,Friday,Remembrance Day,Observance
07/11/2007,Wednesday,October Revolution Day,National Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Catholic Christmas Day,National Holiday
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,National Holiday
07/01/2008,Monday,Orthodox Christmas Day,National Holiday
14/02/2008,Thursday,Valentine's Day,Observance
23/02/2008,Saturday,Defender of the Fatherland Day,Observance
08/03/2008,Saturday,Women's Day,National Holiday
15/03/2008,Saturday,Constitution Day,Observance
20/03/2008,Thursday,March Equinox,Season
23/03/2008,Sunday,Catholic Easter Sunday,Observance
02/04/2008,Wednesday,Union Day of Belarus and Russia,Observance
26/04/2008,Saturday,Day of Remembrance of the Chernobyl Tragedy,Observance
27/04/2008,Sunday,Orthodox Easter Sunday,"Observance, Orthodox"
01/05/2008,Thursday,Labour Day,National Holiday
06/05/2008,Tuesday,Radonitsa,National Holiday
09/05/2008,Friday,Victory Day,National Holiday
11/05/2008,Sunday,Day of the National Emblem and Flag of Belarus,Observance
21/06/2008,Saturday,June Solstice,Season
22/06/2008,Sunday,Remembrance Day of Victims of the Great Patriotic War,Observance
03/07/2008,Thursday,Independence Day of the Republic of Belarus,National Holiday
06/07/2008,Sunday,Kupalle (Day 1),Observance
07/07/2008,Monday,Kupalle (Day 2),Observance
22/09/2008,Monday,September Equinox,Season
14/10/2008,Tuesday,Mother's Day,Observance
02/11/2008,Sunday,Remembrance Day,Observance
07/11/2008,Friday,October Revolution Day,National Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Catholic Christmas Day,National Holiday
31/12/2008,Wednesday,New Year's Eve,Observance
01/01/2009,Thursday,New Year's Day,National Holiday
07/01/2009,Wednesday,Orthodox Christmas Day,National Holiday
