Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,Observance
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/04/2000,Friday,Good Friday,Bank holiday
23/04/2000,Sunday,Easter Sunday,National holiday
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
08/05/2000,Monday,Iris Day,Regional government holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,National holiday
11/06/2000,Sunday,Father's Day,Observance
11/06/2000,Sunday,Whit Sunday,National holiday
12/06/2000,Monday,Whit Monday,National holiday
21/06/2000,Wednesday,June Solstice,Season
11/07/2000,Tuesday,Day of the Flemish Community,Regional government holiday
21/07/2000,Friday,Belgian National Day,National holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
17/09/2000,Sunday,Day of the Walloon Region,Regional government holiday
22/09/2000,Friday,September Equinox,Season
27/09/2000,Wednesday,Day of the French Community,Regional government holiday
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2000,Tuesday,Halloween,Observance
01/11/2000,Wednesday,All Saints' Day,National holiday
11/11/2000,Saturday,Armistice Day,National holiday
15/11/2000,Wednesday,Day of the German-speaking Community,Regional government holiday
06/12/2000,Wednesday,St. Nicholas Day,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Boxing Day,Bank holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,Observance
14/02/2001,Wednesday,Valentine's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2001,Friday,Good Friday,Bank holiday
15/04/2001,Sunday,Easter Sunday,National holiday
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
08/05/2001,Tuesday,Iris Day,Regional government holiday
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,National holiday
03/06/2001,Sunday,Whit Sunday,National holiday
04/06/2001,Monday,Whit Monday,National holiday
10/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
11/07/2001,Wednesday,Day of the Flemish Community,Regional government holiday
21/07/2001,Saturday,Belgian National Day,National holiday
15/08/2001,Wednesday,Assumption of Mary,National holiday
16/09/2001,Sunday,Day of the Walloon Region,Regional government holiday
23/09/2001,Sunday,September Equinox,Season
27/09/2001,Thursday,Day of the French Community,Regional government holiday
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2001,Wednesday,Halloween,Observance
01/11/2001,Thursday,All Saints' Day,National holiday
11/11/2001,Sunday,Armistice Day,National holiday
15/11/2001,Thursday,Day of the German-speaking Community,Regional government holiday
06/12/2001,Thursday,St. Nicholas Day,Observance
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Boxing Day,Bank holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,Epiphany,Observance
14/02/2002,Thursday,Valentine's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Bank holiday
31/03/2002,Sunday,Easter Sunday,National holiday
31/03/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2002,Monday,Easter Monday,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
08/05/2002,Wednesday,Iris Day,Regional government holiday
09/05/2002,Thursday,Ascension Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
19/05/2002,Sunday,Whit Sunday,National holiday
20/05/2002,Monday,Whit Monday,National holiday
09/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
11/07/2002,Thursday,Day of the Flemish Community,Regional government holiday
21/07/2002,Sunday,Belgian National Day,National holiday
15/08/2002,Thursday,Assumption of Mary,National holiday
15/09/2002,Sunday,Day of the Walloon Region,Regional government holiday
23/09/2002,Monday,September Equinox,Season
27/09/2002,Friday,Day of the French Community,Regional government holiday
27/10/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2002,Thursday,Halloween,Observance
01/11/2002,Friday,All Saints' Day,National holiday
11/11/2002,Monday,Armistice Day,National holiday
15/11/2002,Friday,Day of the German-speaking Community,Regional government holiday
06/12/2002,Friday,St. Nicholas Day,Observance
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Boxing Day,Bank holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,Epiphany,Observance
14/02/2003,Friday,Valentine's Day,Observance
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2003,Friday,Good Friday,Bank holiday
20/04/2003,Sunday,Easter Sunday,National holiday
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labor Day / May Day,National holiday
08/05/2003,Thursday,Iris Day,Regional government holiday
11/05/2003,Sunday,Mother's Day,Observance
29/05/2003,Thursday,Ascension Day,National holiday
08/06/2003,Sunday,Father's Day,Observance
08/06/2003,Sunday,Whit Sunday,National holiday
09/06/2003,Monday,Whit Monday,National holiday
21/06/2003,Saturday,June Solstice,Season
11/07/2003,Friday,Day of the Flemish Community,Regional government holiday
21/07/2003,Monday,Belgian National Day,National holiday
15/08/2003,Friday,Assumption of Mary,National holiday
21/09/2003,Sunday,Day of the Walloon Region,Regional government holiday
23/09/2003,Tuesday,September Equinox,Season
27/09/2003,Saturday,Day of the French Community,Regional government holiday
26/10/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2003,Friday,Halloween,Observance
01/11/2003,Saturday,All Saints' Day,National holiday
11/11/2003,Tuesday,Armistice Day,National holiday
15/11/2003,Saturday,Day of the German-speaking Community,Regional government holiday
06/12/2003,Saturday,St. Nicholas Day,Observance
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,Observance
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,Boxing Day,Bank holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
06/01/2004,Tuesday,Epiphany,Observance
14/02/2004,Saturday,Valentine's Day,Observance
20/03/2004,Saturday,March Equinox,Season
28/03/2004,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
09/04/2004,Friday,Good Friday,Bank holiday
11/04/2004,Sunday,Easter Sunday,National holiday
12/04/2004,Monday,Easter Monday,National holiday
01/05/2004,Saturday,Labor Day / May Day,National holiday
08/05/2004,Saturday,Iris Day,Regional government holiday
09/05/2004,Sunday,Mother's Day,Observance
20/05/2004,Thursday,Ascension Day,National holiday
30/05/2004,Sunday,Whit Sunday,National holiday
31/05/2004,Monday,Whit Monday,National holiday
13/06/2004,Sunday,Father's Day,Observance
21/06/2004,Monday,June Solstice,Season
11/07/2004,Sunday,Day of the Flemish Community,Regional government holiday
21/07/2004,Wednesday,Belgian National Day,National holiday
15/08/2004,Sunday,Assumption of Mary,National holiday
19/09/2004,Sunday,Day of the Walloon Region,Regional government holiday
22/09/2004,Wednesday,September Equinox,Season
27/09/2004,Monday,Day of the French Community,Regional government holiday
31/10/2004,Sunday,Halloween,Observance
31/10/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2004,Monday,All Saints' Day,National holiday
11/11/2004,Thursday,Armistice Day,National holiday
15/11/2004,Monday,Day of the German-speaking Community,Regional government holiday
06/12/2004,Monday,St. Nicholas Day,Observance
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,Observance
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,Boxing Day,Bank holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
06/01/2005,Thursday,Epiphany,Observance
14/02/2005,Monday,Valentine's Day,Observance
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Bank holiday
27/03/2005,Sunday,Easter Sunday,National holiday
27/03/2005,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2005,Monday,Easter Monday,National holiday
01/05/2005,Sunday,Labor Day / May Day,National holiday
05/05/2005,Thursday,Ascension Day,National holiday
08/05/2005,Sunday,Mother's Day,Observance
08/05/2005,Sunday,Iris Day,Regional government holiday
15/05/2005,Sunday,Whit Sunday,National holiday
16/05/2005,Monday,Whit Monday,National holiday
12/06/2005,Sunday,Father's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
11/07/2005,Monday,Day of the Flemish Community,Regional government holiday
21/07/2005,Thursday,Belgian National Day,National holiday
15/08/2005,Monday,Assumption of Mary,National holiday
18/09/2005,Sunday,Day of the Walloon Region,Regional government holiday
23/09/2005,Friday,September Equinox,Season
27/09/2005,Tuesday,Day of the French Community,Regional government holiday
30/10/2005,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2005,Monday,Halloween,Observance
01/11/2005,Tuesday,All Saints' Day,National holiday
11/11/2005,Friday,Armistice Day,National holiday
15/11/2005,Tuesday,Day of the German-speaking Community,Regional government holiday
06/12/2005,Tuesday,St. Nicholas Day,Observance
21/12/2005,Wednesday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,Observance
25/12/2005,Sunday,Christmas Day,National holiday
26/12/2005,Monday,Boxing Day,Bank holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National holiday
06/01/2006,Friday,Epiphany,Observance
14/02/2006,Tuesday,Valentine's Day,Observance
20/03/2006,Monday,March Equinox,Season
26/03/2006,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
14/04/2006,Friday,Good Friday,Bank holiday
16/04/2006,Sunday,Easter Sunday,National holiday
17/04/2006,Monday,Easter Monday,National holiday
01/05/2006,Monday,Labor Day / May Day,National holiday
08/05/2006,Monday,Iris Day,Regional government holiday
14/05/2006,Sunday,Mother's Day,Observance
25/05/2006,Thursday,Ascension Day,National holiday
04/06/2006,Sunday,Whit Sunday,National holiday
