Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Korité,Public Holiday
10/01/2000,Monday,Vodoun Festival,Public Holiday
16/01/2000,Sunday,Day of Remembrance,National Day
28/02/2000,Monday,People's Sovereignty Day,National Day
08/03/2000,Wednesday,Women's Day,National Day
16/03/2000,Thursday,Tabaski,Public Holiday
20/03/2000,Monday,March Equinox,Season
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
15/06/2000,Thursday,Maouloud,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
01/08/2000,Tuesday,Independence Day,Public Holiday
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
22/09/2000,Friday,September Equinox,Season
01/11/2000,Wednesday,All Saints' Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Korité,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
10/01/2001,Wednesday,Vodoun Festival,Public Holiday
16/01/2001,Tuesday,Day of Remembrance,National Day
28/02/2001,Wednesday,People's Sovereignty Day,National Day
06/03/2001,Tuesday,Tabaski,Public Holiday
08/03/2001,Thursday,Women's Day,National Day
20/03/2001,Tuesday,March Equinox,Season
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
04/06/2001,Monday,Maouloud,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
01/08/2001,Wednesday,Independence Day,Public Holiday
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/11/2001,Thursday,All Saints' Day,Public Holiday
17/12/2001,Monday,Korité,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
10/01/2002,Thursday,Vodoun Festival,Public Holiday
16/01/2002,Wednesday,Day of Remembrance,National Day
23/02/2002,Saturday,Tabaski,Public Holiday
28/02/2002,Thursday,People's Sovereignty Day,National Day
08/03/2002,Friday,Women's Day,National Day
20/03/2002,Wednesday,March Equinox,Season
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labour Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Public Holiday
12/05/2002,Sunday,Mother's Day,Observance
20/05/2002,Monday,Whit Monday,Public Holiday
