Date,Day,Name,Type
02/01/2016,Saturday,Winter Solstice (Nyilo),Public Holiday
10/01/2016,Sunday,Traditional Day of Offerings,Public Holiday
05/02/2016,Friday,Crown Prince Birthday,Public Holiday
09/02/2016,Tuesday,Losar (New Year),Public Holiday
10/02/2016,Wednesday,Losar Holiday,Public Holiday
21/02/2016,Sunday,King's Birthday,Public Holiday
22/02/2016,Monday,King's Birthday Holiday,Public Holiday
23/02/2016,Tuesday,King's Birthday Holiday,Public Holiday
20/03/2016,Sunday,March Equinox,Season
16/04/2016,Saturday,The Zhabdrung Mourning Day,Public Holiday
02/05/2016,Monday,Birth Anniversary of Third Druk Gyalpo,Public Holiday
02/05/2016,Monday,Birth Anniversary of Guru Rinpoche,Public Holiday
09/05/2016,Monday,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),Public Holiday
02/06/2016,Thursday,King Jigme Singye Wangchuck's Coronation,Public Holiday
21/06/2016,Tuesday,Buddha's Parinirvana,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
08/07/2016,Friday,Buddha's First Sermon,Public Holiday
05/08/2016,Friday,King Jigme Dorji Wangchuck's Death Anniversary,Public Holiday
22/09/2016,Thursday,September Equinox,Season
23/09/2016,Friday,Blessed Rainy Day,Public Holiday
07/10/2016,Friday,Thimphu Drubchoe (Thimphu only),Municipal Holiday
11/10/2016,Tuesday,Thimphu Tshechu (Thimphu only),Municipal Holiday
11/10/2016,Tuesday,Dashain,Public Holiday
12/10/2016,Wednesday,Thimphu Tshechu (Thimphu only),Municipal Holiday
13/10/2016,Thursday,Thimphu Tshechu (Thimphu only),Municipal Holiday
01/11/2016,Tuesday,King Jigme Khesar Namgyel's Coronation,Public Holiday
11/11/2016,Friday,Birth Anniversary of the Fourth Druk Gyalpo/Consitution Day,Public Holiday
20/11/2016,Sunday,Descending Day of Lord Buddha,Public Holiday
17/12/2016,Saturday,National Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
02/01/2017,Monday,Winter Solstice (Nyilo),Public Holiday
28/01/2017,Saturday,Traditional Day of Offerings,Public Holiday
05/02/2017,Sunday,Crown Prince Birthday,Public Holiday
21/02/2017,Tuesday,King's Birthday,Public Holiday
22/02/2017,Wednesday,King's Birthday Holiday,Public Holiday
23/02/2017,Thursday,King's Birthday Holiday,Public Holiday
28/02/2017,Tuesday,Losar (New Year),Public Holiday
01/03/2017,Wednesday,Losar Holiday,Public Holiday
20/03/2017,Monday,March Equinox,Season
02/05/2017,Tuesday,Birth Anniversary of Third Druk Gyalpo,Public Holiday
05/05/2017,Friday,The Zhabdrung Mourning Day,Public Holiday
09/05/2017,Tuesday,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),Public Holiday
02/06/2017,Friday,King Jigme Singye Wangchuck's Coronation,Public Holiday
21/06/2017,Wednesday,Buddha's Parinirvana,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
03/07/2017,Monday,Birth Anniversary of Guru Rinpoche,Public Holiday
27/07/2017,Thursday,Buddha's First Sermon,Public Holiday
05/08/2017,Saturday,King Jigme Dorji Wangchuck's Death Anniversary,Public Holiday
22/09/2017,Friday,Blessed Rainy Day,Public Holiday
23/09/2017,Saturday,September Equinox,Season
26/09/2017,Tuesday,Thimphu Drubchoe (Thimphu only),Municipal Holiday
30/09/2017,Saturday,Thimphu Tshechu (Thimphu only),Municipal Holiday
30/09/2017,Saturday,Dashain,Public Holiday
01/10/2017,Sunday,Thimphu Tshechu (Thimphu only),Municipal Holiday
02/10/2017,Monday,Thimphu Tshechu (Thimphu only),Municipal Holiday
01/11/2017,Wednesday,King Jigme Khesar Namgyel's Coronation,Public Holiday
10/11/2017,Friday,Descending Day of Lord Buddha,Public Holiday
11/11/2017,Saturday,Birth Anniversary of the Fourth Druk Gyalpo/Consitution Day,Public Holiday
17/12/2017,Sunday,National Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
02/01/2018,Tuesday,Winter Solstice (Nyilo),Public Holiday
17/01/2018,Wednesday,Traditional Day of Offerings,Public Holiday
16/02/2018,Friday,Losar (New Year),Public Holiday
17/02/2018,Saturday,Losar Holiday,Public Holiday
21/02/2018,Wednesday,King's Birthday,Public Holiday
22/02/2018,Thursday,King's Birthday Holiday,Public Holiday
23/02/2018,Friday,King's Birthday Holiday,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
20/04/2018,Friday,Election Day,Public Holiday
25/04/2018,Wednesday,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),Public Holiday
02/05/2018,Wednesday,Birth Anniversary of Third Druk Gyalpo,Public Holiday
29/05/2018,Tuesday,Buddha's Parinirvana,Public Holiday
21/06/2018,Thursday,June Solstice,Season
23/06/2018,Saturday,Birth Anniversary of Guru Rinpoche,Public Holiday
16/07/2018,Monday,Buddha's First Sermon,Public Holiday
15/09/2018,Saturday,Thimphu Drubchoe (Thimphu only),Municipal Holiday
19/09/2018,Wednesday,Thimphu Tshechu (Thimphu only),Municipal Holiday
20/09/2018,Thursday,Thimphu Tshechu (Thimphu only),Municipal Holiday
21/09/2018,Friday,Thimphu Tshechu (Thimphu only),Municipal Holiday
23/09/2018,Sunday,Blessed Rainy Day,Public Holiday
23/09/2018,Sunday,September Equinox,Season
19/10/2018,Friday,Dashain,Public Holiday
31/10/2018,Wednesday,Descending Day of Lord Buddha,Public Holiday
01/11/2018,Thursday,King Jigme Khesar Namgyel's Coronation,Public Holiday
11/11/2018,Sunday,Birth Anniversary of the Fourth Druk Gyalpo/Consitution Day,Public Holiday
17/12/2018,Monday,National Day,Public Holiday
22/12/2018,Saturday,December Solstice,Season
02/01/2019,Wednesday,Winter Solstice (Nyilo),Public Holiday
