Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
22/04/2000,Saturday,Holy Saturday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,Sir Seretse Khama Day,Public Holiday
17/07/2000,Monday,President's Day,Public Holiday
18/07/2000,Tuesday,Public Holiday (July),Public Holiday
22/09/2000,Friday,September Equinox,Season
30/09/2000,Saturday,Botswana Day,Public Holiday
02/10/2000,Monday,Day off for Botswana Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
14/04/2001,Saturday,Holy Saturday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
01/07/2001,Sunday,Sir Seretse Khama Day,Public Holiday
02/07/2001,Monday,Day off for Sir Seretse Khama Day,Public Holiday
16/07/2001,Monday,President's Day,Public Holiday
17/07/2001,Tuesday,Public Holiday (July),Public Holiday
23/09/2001,Sunday,September Equinox,Season
30/09/2001,Sunday,Botswana Day,Public Holiday
01/10/2001,Monday,Day off for Botswana Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
30/03/2002,Saturday,Holy Saturday,Public Holiday
