Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National Holiday
03/03/2000,Friday,Carnival Friday,Observance
04/03/2000,Saturday,Carnival Saturday,Observance
05/03/2000,Sunday,Carnival Sunday,Observance
06/03/2000,Monday,Carnival Monday,Observance
07/03/2000,Tuesday,Carnival Tuesday,National Holiday
08/03/2000,Wednesday,Carnival end (until 2pm),National Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Tiradentes Day,National Holiday
21/04/2000,Friday,Good Friday,National Holiday
23/04/2000,Sunday,Easter Sunday,National Holiday
01/05/2000,Monday,Labor Day / May Day,National Holiday
14/05/2000,Sunday,Mother's Day,Observance
12/06/2000,Monday,Brazilian Valentine's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National Holiday
13/08/2000,Sunday,Father's Day,Observance
07/09/2000,Thursday,Independence Day,National Holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Our Lady of Aparecida / Children's Day,National Holiday
15/10/2000,Sunday,Teacher's Day,Observance
28/10/2000,Saturday,Public Service Holiday,Government Holiday
02/11/2000,Thursday,All Souls' Day,National Holiday
15/11/2000,Wednesday,Republic Proclamation Day,National Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve (from 2pm),Government Holiday
25/12/2000,Monday,Christmas Day,National Holiday
31/12/2000,Sunday,New Year's Eve (from 2pm),Government Holiday
01/01/2001,Monday,New Year's Day,National Holiday
23/02/2001,Friday,Carnival Friday,Observance
24/02/2001,Saturday,Carnival Saturday,Observance
25/02/2001,Sunday,Carnival Sunday,Observance
26/02/2001,Monday,Carnival Monday,Observance
27/02/2001,Tuesday,Carnival Tuesday,National Holiday
28/02/2001,Wednesday,Carnival end (until 2pm),National Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,National Holiday
15/04/2001,Sunday,Easter Sunday,National Holiday
21/04/2001,Saturday,Tiradentes Day,National Holiday
01/05/2001,Tuesday,Labor Day / May Day,National Holiday
13/05/2001,Sunday,Mother's Day,Observance
12/06/2001,Tuesday,Brazilian Valentine's Day,Observance
14/06/2001,Thursday,Corpus Christi,National Holiday
21/06/2001,Thursday,June Solstice,Season
12/08/2001,Sunday,Father's Day,Observance
07/09/2001,Friday,Independence Day,National Holiday
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Our Lady of Aparecida / Children's Day,National Holiday
15/10/2001,Monday,Teacher's Day,Observance
28/10/2001,Sunday,Public Service Holiday,Government Holiday
02/11/2001,Friday,All Souls' Day,National Holiday
15/11/2001,Thursday,Republic Proclamation Day,National Holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve (from 2pm),Government Holiday
25/12/2001,Tuesday,Christmas Day,National Holiday
31/12/2001,Monday,New Year's Eve (from 2pm),Government Holiday
01/01/2002,Tuesday,New Year's Day,National Holiday
08/02/2002,Friday,Carnival Friday,Observance
09/02/2002,Saturday,Carnival Saturday,Observance
10/02/2002,Sunday,Carnival Sunday,Observance
11/02/2002,Monday,Carnival Monday,Observance
12/02/2002,Tuesday,Carnival Tuesday,National Holiday
