Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
13/03/2000,Monday,Commonwealth Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
10/06/2000,Saturday,Sovereign's Birthday,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
30/06/2000,Friday,Territory Day observed,Public Holiday
01/07/2000,Saturday,Territory Day,Public Holiday
07/08/2000,Monday,Emancipation Monday,Public Holiday
08/08/2000,Tuesday,Emancipation Tuesday,Public Holiday
09/08/2000,Wednesday,Emancipation Wednesday,Public Holiday
22/09/2000,Friday,September Equinox,Season
20/10/2000,Friday,Day off for Saint Ursula's Day,Public Holiday
21/10/2000,Saturday,Saint Ursula's Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
12/03/2001,Monday,Commonwealth Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
09/06/2001,Saturday,Sovereign's Birthday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
01/07/2001,Sunday,Territory Day,Public Holiday
02/07/2001,Monday,Territory Day observed,Public Holiday
06/08/2001,Monday,Emancipation Monday,Public Holiday
07/08/2001,Tuesday,Emancipation Tuesday,Public Holiday
08/08/2001,Wednesday,Emancipation Wednesday,Public Holiday
22/09/2001,Saturday,September Equinox,Season
21/10/2001,Sunday,Saint Ursula's Day,Public Holiday
22/10/2001,Monday,Day off for Saint Ursula's Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/03/2002,Monday,Commonwealth Day,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
08/06/2002,Saturday,Sovereign's Birthday,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,Territory Day,Public Holiday
05/08/2002,Monday,Emancipation Monday,Public Holiday
06/08/2002,Tuesday,Emancipation Tuesday,Public Holiday
07/08/2002,Wednesday,Emancipation Wednesday,Public Holiday
23/09/2002,Monday,September Equinox,Season
21/10/2002,Monday,Saint Ursula's Day,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
10/03/2003,Monday,Commonwealth Day,Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
09/06/2003,Monday,Whit Monday,Public Holiday
14/06/2003,Saturday,Sovereign's Birthday,Public Holiday
21/06/2003,Saturday,June Solstice,Season
01/07/2003,Tuesday,Territory Day,Public Holiday
04/08/2003,Monday,Emancipation Monday,Public Holiday
05/08/2003,Tuesday,Emancipation Tuesday,Public Holiday
06/08/2003,Wednesday,Emancipation Wednesday,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
21/10/2003,Tuesday,Saint Ursula's Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
08/03/2004,Monday,Commonwealth Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
31/05/2004,Monday,Whit Monday,Public Holiday
12/06/2004,Saturday,Sovereign's Birthday,Public Holiday
20/06/2004,Sunday,June Solstice,Season
01/07/2004,Thursday,Territory Day,Public Holiday
02/08/2004,Monday,Emancipation Monday,Public Holiday
03/08/2004,Tuesday,Emancipation Tuesday,Public Holiday
04/08/2004,Wednesday,Emancipation Wednesday,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
21/10/2004,Thursday,Saint Ursula's Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
26/12/2004,Sunday,Boxing Day,Public Holiday
27/12/2004,Monday,Day off for Christmas Day,Public Holiday
28/12/2004,Tuesday,Day off for Boxing Day,Public Holiday
31/12/2004,Friday,Day off for New Year's Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
14/03/2005,Monday,Commonwealth Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
28/03/2005,Monday,Easter Monday,Public Holiday
16/05/2005,Monday,Whit Monday,Public Holiday
11/06/2005,Saturday,Sovereign's Birthday,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
01/07/2005,Friday,Territory Day,Public Holiday
01/08/2005,Monday,Emancipation Monday,Public Holiday
02/08/2005,Tuesday,Emancipation Tuesday,Public Holiday
03/08/2005,Wednesday,Emancipation Wednesday,Public Holiday
22/09/2005,Thursday,September Equinox,Season
21/10/2005,Friday,Saint Ursula's Day,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Day off for Christmas Day,Public Holiday
26/12/2005,Monday,Boxing Day,Public Holiday
27/12/2005,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
02/01/2006,Monday,Day off for New Year's Day,Public Holiday
13/03/2006,Monday,Commonwealth Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
