Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
01/02/2000,Tuesday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2000,Wednesday,Baba Marta,Observance
03/03/2000,Friday,Liberation Day,National holiday
08/03/2000,Wednesday,Mother's Day,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/04/2000,Friday,Good Friday,National holiday
29/04/2000,Saturday,Holy Saturday,National holiday
30/04/2000,Sunday,Easter Sunday,National holiday
01/05/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day,National holiday
06/05/2000,Saturday,St. George's Day,National holiday
24/05/2000,Wednesday,Culture and Literacy Day,National holiday
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,July Morning,Observance
06/09/2000,Wednesday,Unification Day,National holiday
22/09/2000,Friday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2000,Wednesday,Revival Day,Educational Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,National holiday
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Father's Day,Observance
26/12/2000,Tuesday,Second day of Christmas,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
01/02/2001,Thursday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2001,Thursday,Baba Marta,Observance
03/03/2001,Saturday,Liberation Day,National holiday
08/03/2001,Thursday,Mother's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2001,Friday,Good Friday,National holiday
14/04/2001,Saturday,Holy Saturday,National holiday
15/04/2001,Sunday,Easter Sunday,National holiday
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day,National holiday
06/05/2001,Sunday,St. George's Day,National holiday
24/05/2001,Thursday,Culture and Literacy Day,National holiday
21/06/2001,Thursday,June Solstice,Season
01/07/2001,Sunday,July Morning,Observance
06/09/2001,Thursday,Unification Day,National holiday
22/09/2001,Saturday,Independence Day,National holiday
23/09/2001,Sunday,September Equinox,Season
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2001,Thursday,Revival Day,Educational Holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,National holiday
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Father's Day,Observance
26/12/2001,Wednesday,Second day of Christmas,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
01/02/2002,Friday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2002,Friday,Baba Marta,Observance
03/03/2002,Sunday,Liberation Day,National holiday
08/03/2002,Friday,Mother's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
31/03/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/05/2002,Wednesday,Labor Day,National holiday
03/05/2002,Friday,Good Friday,National holiday
04/05/2002,Saturday,Holy Saturday,National holiday
05/05/2002,Sunday,Easter Sunday,National holiday
06/05/2002,Monday,Easter Monday,National holiday
06/05/2002,Monday,St. George's Day,National holiday
24/05/2002,Friday,Culture and Literacy Day,National holiday
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,July Morning,Observance
06/09/2002,Friday,Unification Day,National holiday
22/09/2002,Sunday,Independence Day,National holiday
23/09/2002,Monday,September Equinox,Season
27/10/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2002,Friday,Revival Day,Educational Holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,National holiday
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Father's Day,Observance
26/12/2002,Thursday,Second day of Christmas,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
01/02/2003,Saturday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2003,Saturday,Baba Marta,Observance
03/03/2003,Monday,Liberation Day,National holiday
08/03/2003,Saturday,Mother's Day,Observance
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
25/04/2003,Friday,Good Friday,National holiday
26/04/2003,Saturday,Holy Saturday,National holiday
27/04/2003,Sunday,Easter Sunday,National holiday
28/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labor Day,National holiday
06/05/2003,Tuesday,St. George's Day,National holiday
24/05/2003,Saturday,Culture and Literacy Day,National holiday
21/06/2003,Saturday,June Solstice,Season
01/07/2003,Tuesday,July Morning,Observance
06/09/2003,Saturday,Unification Day,National holiday
22/09/2003,Monday,Independence Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
26/10/2003,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2003,Saturday,Revival Day,Educational Holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,National holiday
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,Father's Day,Observance
26/12/2003,Friday,Second day of Christmas,National holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
01/02/2004,Sunday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2004,Monday,Baba Marta,Observance
03/03/2004,Wednesday,Liberation Day,National holiday
08/03/2004,Monday,Mother's Day,Observance
20/03/2004,Saturday,March Equinox,Season
28/03/2004,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
09/04/2004,Friday,Good Friday,National holiday
10/04/2004,Saturday,Holy Saturday,National holiday
11/04/2004,Sunday,Easter Sunday,National holiday
12/04/2004,Monday,Easter Monday,National holiday
01/05/2004,Saturday,Labor Day,National holiday
06/05/2004,Thursday,St. George's Day,National holiday
24/05/2004,Monday,Culture and Literacy Day,National holiday
21/06/2004,Monday,June Solstice,Season
01/07/2004,Thursday,July Morning,Observance
06/09/2004,Monday,Unification Day,National holiday
22/09/2004,Wednesday,Independence Day,National holiday
22/09/2004,Wednesday,September Equinox,Season
31/10/2004,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2004,Monday,Revival Day,Educational Holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,National holiday
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,Father's Day,Observance
26/12/2004,Sunday,Second day of Christmas,National holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
01/02/2005,Tuesday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2005,Tuesday,Baba Marta,Observance
03/03/2005,Thursday,Liberation Day,National holiday
08/03/2005,Tuesday,Mother's Day,Observance
20/03/2005,Sunday,March Equinox,Season
27/03/2005,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
29/04/2005,Friday,Good Friday,National holiday
30/04/2005,Saturday,Holy Saturday,National holiday
01/05/2005,Sunday,Easter Sunday,National holiday
01/05/2005,Sunday,Labor Day,National holiday
02/05/2005,Monday,Easter Monday,National holiday
06/05/2005,Friday,St. George's Day,National holiday
24/05/2005,Tuesday,Culture and Literacy Day,National holiday
21/06/2005,Tuesday,June Solstice,Season
01/07/2005,Friday,July Morning,Observance
06/09/2005,Tuesday,Unification Day,National holiday
22/09/2005,Thursday,Independence Day,National holiday
23/09/2005,Friday,September Equinox,Season
30/10/2005,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
01/11/2005,Tuesday,Revival Day,Educational Holiday
21/12/2005,Wednesday,December Solstice,Season
24/12/2005,Saturday,Christmas Eve,National holiday
25/12/2005,Sunday,Christmas Day,National holiday
26/12/2005,Monday,Father's Day,Observance
26/12/2005,Monday,Second day of Christmas,National holiday
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National holiday
01/02/2006,Wednesday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
01/03/2006,Wednesday,Baba Marta,Observance
03/03/2006,Friday,Liberation Day,National holiday
08/03/2006,Wednesday,Mother's Day,Observance
20/03/2006,Monday,March Equinox,Season
26/03/2006,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/04/2006,Friday,Good Friday,National holiday
22/04/2006,Saturday,Holy Saturday,National holiday
23/04/2006,Sunday,Easter Sunday,National holiday
24/04/2006,Monday,Easter Monday,National holiday
01/05/2006,Monday,Labor Day,National holiday
06/05/2006,Saturday,St. George's Day,National holiday
24/05/2006,Wednesday,Culture and Literacy Day,National holiday
21/06/2006,Wednesday,June Solstice,Season
01/07/2006,Saturday,July Morning,Observance
06/09/2006,Wednesday,Unification Day,National holiday
22/09/2006,Friday,Independence Day,National holiday
