Date,Day,Name,Type
01/01/2014,Wednesday,New Year,Public Holiday
05/02/2014,Wednesday,Unity Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
06/04/2014,Sunday,President Ntaryamira Day,Public Holiday
01/05/2014,Thursday,Labour Day,Public Holiday
29/05/2014,Thursday,Ascension Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
01/07/2014,Tuesday,Independence Day,Public Holiday
29/07/2014,Tuesday,Eid ul Fitr,Public Holiday
15/08/2014,Friday,Assumption of Mary,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
05/10/2014,Sunday,Eid al-Adha,Public Holiday
13/10/2014,Monday,Prince Louis Rwagasore Day,Public Holiday
21/10/2014,Tuesday,President Ndadaye's Day,Public Holiday
01/11/2014,Saturday,All Saints' Day,Public Holiday
03/11/2014,Monday,All Saints' Day observed,Public Holiday
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
05/02/2015,Thursday,Unity Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
06/04/2015,Monday,President Ntaryamira Day,Public Holiday
01/05/2015,Friday,Labour Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
01/07/2015,Wednesday,Independence Day,Public Holiday
18/07/2015,Saturday,Eid ul Fitr,Public Holiday
15/08/2015,Saturday,Assumption of Mary,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
13/10/2015,Tuesday,Prince Louis Rwagasore Day,Public Holiday
21/10/2015,Wednesday,President Ndadaye's Day,Public Holiday
01/11/2015,Sunday,All Saints' Day,Public Holiday
02/11/2015,Monday,All Saints' Day observed,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
05/02/2016,Friday,Unity Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
06/04/2016,Wednesday,President Ntaryamira Day,Public Holiday
01/05/2016,Sunday,Labour Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
01/07/2016,Friday,Independence Day,Public Holiday
07/07/2016,Thursday,Eid ul Fitr,Public Holiday
15/08/2016,Monday,Assumption of Mary,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
13/10/2016,Thursday,Prince Louis Rwagasore Day,Public Holiday
21/10/2016,Friday,President Ndadaye's Day,Public Holiday
01/11/2016,Tuesday,All Saints' Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
05/02/2017,Sunday,Unity Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
06/04/2017,Thursday,President Ntaryamira Day,Public Holiday
01/05/2017,Monday,Labour Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid ul Fitr,Public Holiday
01/07/2017,Saturday,Independence Day,Public Holiday
15/08/2017,Tuesday,Assumption of Mary,Public Holiday
02/09/2017,Saturday,Eid al-Adha,Public Holiday
22/09/2017,Friday,September Equinox,Season
13/10/2017,Friday,Prince Louis Rwagasore Day,Public Holiday
21/10/2017,Saturday,President Ndadaye's Day,Public Holiday
01/11/2017,Wednesday,All Saints' Day,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
05/02/2018,Monday,Unity Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
06/04/2018,Friday,President Ntaryamira Day,Public Holiday
01/05/2018,Tuesday,Labour Day,Public Holiday
