Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
07/01/2000,Friday,Victory over Genocide Day,Public Holiday
03/02/2000,Thursday,Meak Bochea Day,Public Holiday
08/03/2000,Wednesday,International Women Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
14/04/2000,Friday,Khmer New Year Day (Day 1),Public Holiday
15/04/2000,Saturday,Khmer New Year Day (Day 2),Public Holiday
16/04/2000,Sunday,Khmer New Year Day (Day 3),Public Holiday
17/04/2000,Monday,Khmer New Year Day (Day 3) observed,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
02/05/2000,Tuesday,Visak Bochea Day,Public Holiday
06/05/2000,Saturday,Royal Plowing Ceremony,Public Holiday
13/05/2000,Saturday,King's Birthday (Day 1),Public Holiday
14/05/2000,Sunday,King's Birthday,Public Holiday
15/05/2000,Monday,King's Birthday observed,Public Holiday
15/05/2000,Monday,King's Birthday (Day 3),Public Holiday
01/06/2000,Thursday,International Children Day,Public Holiday
18/06/2000,Sunday,King's Mother's Birthday,Observance
21/06/2000,Wednesday,June Solstice,Season
23/09/2000,Saturday,September Equinox,Season
24/09/2000,Sunday,Constitutional Day,Public Holiday
11/10/2000,Wednesday,Pchum Ben Festival,Public Holiday
12/10/2000,Thursday,Pchum Ben Festival,Public Holiday
15/10/2000,Sunday,Commemoration Day of King's Father,Public Holiday
23/10/2000,Monday,Paris Peace Agreement's Day,Public Holiday
29/10/2000,Sunday,King's Coronation Day,Public Holiday
09/11/2000,Thursday,Independence Day,Public Holiday
10/12/2000,Sunday,International Human Rights Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
01/01/2001,Monday,New Year,Public Holiday
07/01/2001,Sunday,Victory over Genocide Day,Public Holiday
03/02/2001,Saturday,Meak Bochea Day,Public Holiday
08/03/2001,Thursday,International Women Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
14/04/2001,Saturday,Khmer New Year Day (Day 1),Public Holiday
15/04/2001,Sunday,Khmer New Year Day (Day 2),Public Holiday
16/04/2001,Monday,Khmer New Year Day (Day 2) observed,Public Holiday
16/04/2001,Monday,Khmer New Year Day (Day 3),Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
02/05/2001,Wednesday,Visak Bochea Day,Public Holiday
06/05/2001,Sunday,Royal Plowing Ceremony,Public Holiday
13/05/2001,Sunday,King's Birthday (Day 1),Public Holiday
14/05/2001,Monday,King's Birthday (Day 1) observed,Public Holiday
14/05/2001,Monday,King's Birthday,Public Holiday
15/05/2001,Tuesday,King's Birthday (Day 3),Public Holiday
01/06/2001,Friday,International Children Day,Public Holiday
18/06/2001,Monday,King's Mother's Birthday,Observance
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
24/09/2001,Monday,Constitutional Day,Public Holiday
11/10/2001,Thursday,Pchum Ben Festival,Public Holiday
12/10/2001,Friday,Pchum Ben Festival,Public Holiday
15/10/2001,Monday,Commemoration Day of King's Father,Public Holiday
23/10/2001,Tuesday,Paris Peace Agreement's Day,Public Holiday
29/10/2001,Monday,King's Coronation Day,Public Holiday
09/11/2001,Friday,Independence Day,Public Holiday
10/12/2001,Monday,International Human Rights Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
01/01/2002,Tuesday,New Year,Public Holiday
07/01/2002,Monday,Victory over Genocide Day,Public Holiday
03/02/2002,Sunday,Meak Bochea Day,Public Holiday
08/03/2002,Friday,International Women Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
14/04/2002,Sunday,Khmer New Year Day (Day 1),Public Holiday
15/04/2002,Monday,Khmer New Year Day (Day 1) observed,Public Holiday
15/04/2002,Monday,Khmer New Year Day (Day 2),Public Holiday
16/04/2002,Tuesday,Khmer New Year Day (Day 3),Public Holiday
01/05/2002,Wednesday,Labour Day,Public Holiday
02/05/2002,Thursday,Visak Bochea Day,Public Holiday
06/05/2002,Monday,Royal Plowing Ceremony,Public Holiday
13/05/2002,Monday,King's Birthday (Day 1),Public Holiday
14/05/2002,Tuesday,King's Birthday,Public Holiday
15/05/2002,Wednesday,King's Birthday (Day 3),Public Holiday
01/06/2002,Saturday,International Children Day,Public Holiday
18/06/2002,Tuesday,King's Mother's Birthday,Observance
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
24/09/2002,Tuesday,Constitutional Day,Public Holiday
11/10/2002,Friday,Pchum Ben Festival,Public Holiday
12/10/2002,Saturday,Pchum Ben Festival,Public Holiday
15/10/2002,Tuesday,Commemoration Day of King's Father,Public Holiday
23/10/2002,Wednesday,Paris Peace Agreement's Day,Public Holiday
29/10/2002,Tuesday,King's Coronation Day,Public Holiday
09/11/2002,Saturday,Independence Day,Public Holiday
10/12/2002,Tuesday,International Human Rights Day,Public Holiday
22/12/2002,Sunday,December Solstice,Season
01/01/2003,Wednesday,New Year,Public Holiday
07/01/2003,Tuesday,Victory over Genocide Day,Public Holiday
03/02/2003,Monday,Meak Bochea Day,Public Holiday
08/03/2003,Saturday,International Women Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
14/04/2003,Monday,Khmer New Year Day (Day 1),Public Holiday
15/04/2003,Tuesday,Khmer New Year Day (Day 2),Public Holiday
16/04/2003,Wednesday,Khmer New Year Day (Day 3),Public Holiday
01/05/2003,Thursday,Labour Day,Public Holiday
02/05/2003,Friday,Visak Bochea Day,Public Holiday
06/05/2003,Tuesday,Royal Plowing Ceremony,Public Holiday
13/05/2003,Tuesday,King's Birthday (Day 1),Public Holiday
14/05/2003,Wednesday,King's Birthday,Public Holiday
15/05/2003,Thursday,King's Birthday (Day 3),Public Holiday
01/06/2003,Sunday,International Children Day,Public Holiday
18/06/2003,Wednesday,King's Mother's Birthday,Observance
22/06/2003,Sunday,June Solstice,Season
23/09/2003,Tuesday,September Equinox,Season
24/09/2003,Wednesday,Constitutional Day,Public Holiday
11/10/2003,Saturday,Pchum Ben Festival,Public Holiday
12/10/2003,Sunday,Pchum Ben Festival,Public Holiday
15/10/2003,Wednesday,Commemoration Day of King's Father,Public Holiday
23/10/2003,Thursday,Paris Peace Agreement's Day,Public Holiday
29/10/2003,Wednesday,King's Coronation Day,Public Holiday
09/11/2003,Sunday,Independence Day,Public Holiday
10/12/2003,Wednesday,International Human Rights Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
01/01/2004,Thursday,New Year,Public Holiday
07/01/2004,Wednesday,Victory over Genocide Day,Public Holiday
03/02/2004,Tuesday,Meak Bochea Day,Public Holiday
08/03/2004,Monday,International Women Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
14/04/2004,Wednesday,Khmer New Year Day (Day 1),Public Holiday
15/04/2004,Thursday,Khmer New Year Day (Day 2),Public Holiday
16/04/2004,Friday,Khmer New Year Day (Day 3),Public Holiday
01/05/2004,Saturday,Labour Day,Public Holiday
02/05/2004,Sunday,Visak Bochea Day,Public Holiday
03/05/2004,Monday,Labour Day observed,Public Holiday
06/05/2004,Thursday,Royal Plowing Ceremony,Public Holiday
13/05/2004,Thursday,King's Birthday (Day 1),Public Holiday
14/05/2004,Friday,King's Birthday,Public Holiday
15/05/2004,Saturday,King's Birthday (Day 3),Public Holiday
01/06/2004,Tuesday,International Children Day,Public Holiday
18/06/2004,Friday,King's Mother's Birthday,Observance
21/06/2004,Monday,June Solstice,Season
22/09/2004,Wednesday,September Equinox,Season
24/09/2004,Friday,Constitutional Day,Public Holiday
11/10/2004,Monday,Pchum Ben Festival,Public Holiday
12/10/2004,Tuesday,Pchum Ben Festival,Public Holiday
15/10/2004,Friday,Commemoration Day of King's Father,Public Holiday
23/10/2004,Saturday,Paris Peace Agreement's Day,Public Holiday
29/10/2004,Friday,King's Coronation Day,Public Holiday
09/11/2004,Tuesday,Independence Day,Public Holiday
10/12/2004,Friday,International Human Rights Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
01/01/2005,Saturday,New Year,Public Holiday
07/01/2005,Friday,Victory over Genocide Day,Public Holiday
03/02/2005,Thursday,Meak Bochea Day,Public Holiday
08/03/2005,Tuesday,International Women Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
14/04/2005,Thursday,Khmer New Year Day (Day 1),Public Holiday
15/04/2005,Friday,Khmer New Year Day (Day 2),Public Holiday
16/04/2005,Saturday,Khmer New Year Day (Day 3),Public Holiday
01/05/2005,Sunday,Labour Day,Public Holiday
02/05/2005,Monday,Labour Day observed,Public Holiday
02/05/2005,Monday,Visak Bochea Day,Public Holiday
06/05/2005,Friday,Royal Plowing Ceremony,Public Holiday
13/05/2005,Friday,King's Birthday (Day 1),Public Holiday
14/05/2005,Saturday,King's Birthday,Public Holiday
15/05/2005,Sunday,King's Birthday (Day 3),Public Holiday
16/05/2005,Monday,King's Birthday (Day 3) observed,Public Holiday
01/06/2005,Wednesday,International Children Day,Public Holiday
18/06/2005,Saturday,King's Mother's Birthday,Observance
21/06/2005,Tuesday,June Solstice,Season
23/09/2005,Friday,September Equinox,Season
24/09/2005,Saturday,Constitutional Day,Public Holiday
11/10/2005,Tuesday,Pchum Ben Festival,Public Holiday
12/10/2005,Wednesday,Pchum Ben Festival,Public Holiday
15/10/2005,Saturday,Commemoration Day of King's Father,Public Holiday
23/10/2005,Sunday,Paris Peace Agreement's Day,Public Holiday
29/10/2005,Saturday,King's Coronation Day,Public Holiday
09/11/2005,Wednesday,Independence Day,Public Holiday
10/12/2005,Saturday,International Human Rights Day,Public Holiday
22/12/2005,Thursday,December Solstice,Season
01/01/2006,Sunday,New Year,Public Holiday
07/01/2006,Saturday,Victory over Genocide Day,Public Holiday
03/02/2006,Friday,Meak Bochea Day,Public Holiday
08/03/2006,Wednesday,International Women Day,Public Holiday
21/03/2006,Tuesday,March Equinox,Season
14/04/2006,Friday,Khmer New Year Day (Day 1),Public Holiday
15/04/2006,Saturday,Khmer New Year Day (Day 2),Public Holiday
16/04/2006,Sunday,Khmer New Year Day (Day 3),Public Holiday
17/04/2006,Monday,Khmer New Year Day (Day 3) observed,Public Holiday
01/05/2006,Monday,Labour Day,Public Holiday
02/05/2006,Tuesday,Visak Bochea Day,Public Holiday
06/05/2006,Saturday,Royal Plowing Ceremony,Public Holiday
13/05/2006,Saturday,King's Birthday (Day 1),Public Holiday
14/05/2006,Sunday,King's Birthday,Public Holiday
15/05/2006,Monday,King's Birthday observed,Public Holiday
15/05/2006,Monday,King's Birthday (Day 3),Public Holiday
01/06/2006,Thursday,International Children Day,Public Holiday
18/06/2006,Sunday,King's Mother's Birthday,Observance
21/06/2006,Wednesday,June Solstice,Season
23/09/2006,Saturday,September Equinox,Season
24/09/2006,Sunday,Constitutional Day,Public Holiday
11/10/2006,Wednesday,Pchum Ben Festival,Public Holiday
12/10/2006,Thursday,Pchum Ben Festival,Public Holiday
15/10/2006,Sunday,Commemoration Day of King's Father,Public Holiday
23/10/2006,Monday,Paris Peace Agreement's Day,Public Holiday
29/10/2006,Sunday,King's Coronation Day,Public Holiday
09/11/2006,Thursday,Independence Day,Public Holiday
10/12/2006,Sunday,International Human Rights Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
01/01/2007,Monday,New Year,Public Holiday
07/01/2007,Sunday,Victory over Genocide Day,Public Holiday
03/02/2007,Saturday,Meak Bochea Day,Public Holiday
08/03/2007,Thursday,International Women Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
14/04/2007,Saturday,Khmer New Year Day (Day 1),Public Holiday
15/04/2007,Sunday,Khmer New Year Day (Day 2),Public Holiday
16/04/2007,Monday,Khmer New Year Day (Day 2) observed,Public Holiday
16/04/2007,Monday,Khmer New Year Day (Day 3),Public Holiday
01/05/2007,Tuesday,Labour Day,Public Holiday
02/05/2007,Wednesday,Visak Bochea Day,Public Holiday
06/05/2007,Sunday,Royal Plowing Ceremony,Public Holiday
13/05/2007,Sunday,King's Birthday (Day 1),Public Holiday
14/05/2007,Monday,King's Birthday (Day 1) observed,Public Holiday
14/05/2007,Monday,King's Birthday,Public Holiday
15/05/2007,Tuesday,King's Birthday (Day 3),Public Holiday
01/06/2007,Friday,International Children Day,Public Holiday
18/06/2007,Monday,King's Mother's Birthday,Observance
22/06/2007,Friday,June Solstice,Season
23/09/2007,Sunday,September Equinox,Season
24/09/2007,Monday,Constitutional Day,Public Holiday
11/10/2007,Thursday,Pchum Ben Festival,Public Holiday
12/10/2007,Friday,Pchum Ben Festival,Public Holiday
15/10/2007,Monday,Commemoration Day of King's Father,Public Holiday
23/10/2007,Tuesday,Paris Peace Agreement's Day,Public Holiday
29/10/2007,Monday,King's Coronation Day,Public Holiday
09/11/2007,Friday,Independence Day,Public Holiday
10/12/2007,Monday,International Human Rights Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
01/01/2008,Tuesday,New Year,Public Holiday
07/01/2008,Monday,Victory over Genocide Day,Public Holiday
03/02/2008,Sunday,Meak Bochea Day,Public Holiday
08/03/2008,Saturday,International Women Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
14/04/2008,Monday,Khmer New Year Day (Day 1),Public Holiday
15/04/2008,Tuesday,Khmer New Year Day (Day 2),Public Holiday
16/04/2008,Wednesday,Khmer New Year Day (Day 3),Public Holiday
01/05/2008,Thursday,Labour Day,Public Holiday
02/05/2008,Friday,Visak Bochea Day,Public Holiday
06/05/2008,Tuesday,Royal Plowing Ceremony,Public Holiday
13/05/2008,Tuesday,King's Birthday (Day 1),Public Holiday
14/05/2008,Wednesday,King's Birthday,Public Holiday
15/05/2008,Thursday,King's Birthday (Day 3),Public Holiday
01/06/2008,Sunday,International Children Day,Public Holiday
18/06/2008,Wednesday,King's Mother's Birthday,Observance
21/06/2008,Saturday,June Solstice,Season
22/09/2008,Monday,September Equinox,Season
24/09/2008,Wednesday,Constitutional Day,Public Holiday
11/10/2008,Saturday,Pchum Ben Festival,Public Holiday
12/10/2008,Sunday,Pchum Ben Festival,Public Holiday
15/10/2008,Wednesday,Commemoration Day of King's Father,Public Holiday
23/10/2008,Thursday,Paris Peace Agreement's Day,Public Holiday
29/10/2008,Wednesday,King's Coronation Day,Public Holiday
09/11/2008,Sunday,Independence Day,Public Holiday
10/12/2008,Wednesday,International Human Rights Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
01/01/2009,Thursday,New Year,Public Holiday
07/01/2009,Wednesday,Victory over Genocide Day,Public Holiday
03/02/2009,Tuesday,Meak Bochea Day,Public Holiday
08/03/2009,Sunday,International Women Day,Public Holiday
20/03/2009,Friday,March Equinox,Season
14/04/2009,Tuesday,Khmer New Year Day (Day 1),Public Holiday
15/04/2009,Wednesday,Khmer New Year Day (Day 2),Public Holiday
16/04/2009,Thursday,Khmer New Year Day (Day 3),Public Holiday
01/05/2009,Friday,Labour Day,Public Holiday
02/05/2009,Saturday,Visak Bochea Day,Public Holiday
06/05/2009,Wednesday,Royal Plowing Ceremony,Public Holiday
13/05/2009,Wednesday,King's Birthday (Day 1),Public Holiday
14/05/2009,Thursday,King's Birthday,Public Holiday
15/05/2009,Friday,King's Birthday (Day 3),Public Holiday
01/06/2009,Monday,International Children Day,Public Holiday
18/06/2009,Thursday,King's Mother's Birthday,Observance
