Date,Day,Name,Type
01/01/2000,Saturday,Independence Day,Public Holiday
01/01/2000,Saturday,New Year's Day,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
11/02/2000,Friday,Youth Day,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
01/05/2000,Monday,Labour Day,Public Holiday
20/05/2000,Saturday,National Day,Public Holiday
01/06/2000,Thursday,Ascension Day,Public Holiday
15/06/2000,Thursday,The Prophet's Birthday,Observance
21/06/2000,Wednesday,June Solstice,Season
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
22/09/2000,Friday,September Equinox,Season
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,Independence Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
11/02/2001,Sunday,Youth Day,Public Holiday
12/02/2001,Monday,Youth Day observed,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
01/05/2001,Tuesday,Labour Day,Public Holiday
20/05/2001,Sunday,National Day,Public Holiday
21/05/2001,Monday,National Day observed,Public Holiday
24/05/2001,Thursday,Ascension Day,Public Holiday
04/06/2001,Monday,The Prophet's Birthday,Observance
21/06/2001,Thursday,June Solstice,Season
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
23/09/2001,Sunday,September Equinox,Season
17/12/2001,Monday,Eid al-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,Independence Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/02/2002,Monday,Youth Day,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/05/2002,Wednesday,Labour Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Public Holiday
20/05/2002,Monday,National Day,Public Holiday
24/05/2002,Friday,The Prophet's Birthday,Observance
21/06/2002,Friday,June Solstice,Season
15/08/2002,Thursday,Assumption of Mary,Public Holiday
23/09/2002,Monday,September Equinox,Season
06/12/2002,Friday,Eid al-Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,Independence Day,Public Holiday
01/01/2003,Wednesday,New Year's Day,Public Holiday
11/02/2003,Tuesday,Youth Day,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
21/03/2003,Friday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
20/04/2003,Sunday,Easter Sunday,Observance
01/05/2003,Thursday,Labour Day,Public Holiday
14/05/2003,Wednesday,The Prophet's Birthday,Observance
20/05/2003,Tuesday,National Day,Public Holiday
29/05/2003,Thursday,Ascension Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
15/08/2003,Friday,Assumption of Mary,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,Independence Day,Public Holiday
01/01/2004,Thursday,New Year's Day,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
11/02/2004,Wednesday,Youth Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
11/04/2004,Sunday,Easter Sunday,Observance
01/05/2004,Saturday,Labour Day,Public Holiday
02/05/2004,Sunday,The Prophet's Birthday,Observance
03/05/2004,Monday,The Prophet's Birthday observed,Observance
20/05/2004,Thursday,Ascension Day,Public Holiday
20/05/2004,Thursday,National Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
15/08/2004,Sunday,Assumption of Mary,Public Holiday
16/08/2004,Monday,Assumption of Mary observed,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
15/11/2004,Monday,Eid al-Fitr observed,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,Independence Day,Public Holiday
01/01/2005,Saturday,New Year's Day,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
11/02/2005,Friday,Youth Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
25/03/2005,Friday,Good Friday,Public Holiday
27/03/2005,Sunday,Easter Sunday,Observance
21/04/2005,Thursday,The Prophet's Birthday,Observance
01/05/2005,Sunday,Labour Day,Public Holiday
02/05/2005,Monday,Labour Day observed,Public Holiday
05/05/2005,Thursday,Ascension Day,Public Holiday
20/05/2005,Friday,National Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
15/08/2005,Monday,Assumption of Mary,Public Holiday
22/09/2005,Thursday,September Equinox,Season
04/11/2005,Friday,Eid al-Fitr,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Christmas Day observed,Public Holiday
01/01/2006,Sunday,Independence Day,Public Holiday
01/01/2006,Sunday,New Year's Day,Public Holiday
02/01/2006,Monday,New Year's Day observed,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
11/02/2006,Saturday,Youth Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,The Prophet's Birthday,Observance
14/04/2006,Friday,Good Friday,Public Holiday
16/04/2006,Sunday,Easter Sunday,Observance
01/05/2006,Monday,Labour Day,Public Holiday
20/05/2006,Saturday,National Day,Public Holiday
25/05/2006,Thursday,Ascension Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
15/08/2006,Tuesday,Assumption of Mary,Public Holiday
23/09/2006,Saturday,September Equinox,Season
24/10/2006,Tuesday,Eid al-Fitr,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
31/12/2006,Sunday,Eid al-Adha,Public Holiday
01/01/2007,Monday,Independence Day,Public Holiday
01/01/2007,Monday,New Year's Day,Public Holiday
11/02/2007,Sunday,Youth Day,Public Holiday
12/02/2007,Monday,Youth Day observed,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
31/03/2007,Saturday,The Prophet's Birthday,Observance
06/04/2007,Friday,Good Friday,Public Holiday
08/04/2007,Sunday,Easter Sunday,Observance
01/05/2007,Tuesday,Labour Day,Public Holiday
17/05/2007,Thursday,Ascension Day,Public Holiday
20/05/2007,Sunday,National Day,Public Holiday
21/05/2007,Monday,National Day observed,Public Holiday
21/06/2007,Thursday,June Solstice,Season
15/08/2007,Wednesday,Assumption of Mary,Public Holiday
23/09/2007,Sunday,September Equinox,Season
13/10/2007,Saturday,Eid al-Fitr,Public Holiday
20/12/2007,Thursday,Eid al-Adha,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
01/01/2008,Tuesday,Independence Day,Public Holiday
01/01/2008,Tuesday,New Year's Day,Public Holiday
11/02/2008,Monday,Youth Day,Public Holiday
20/03/2008,Thursday,The Prophet's Birthday,Observance
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,Public Holiday
23/03/2008,Sunday,Easter Sunday,Observance
01/05/2008,Thursday,Ascension Day,Public Holiday
