Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Statutory Holiday
02/01/2000,Sunday,Day After New Year’s Day,Local holiday
03/01/2000,Monday,Laylatul Qadr (Night of Power),Muslim
03/01/2000,Monday,Day off for New Year's Day,Statutory Holiday
06/01/2000,Thursday,Epiphany,"Observance, Christian"
07/01/2000,Friday,Orthodox Christmas Day,Orthodox
08/01/2000,Saturday,Eid ul Fitr,Muslim
14/01/2000,Friday,Orthodox New Year,Orthodox
22/01/2000,Saturday,Tu B'Shevat (Arbor Day),Jewish holiday
02/02/2000,Wednesday,Groundhog Day,Observance
05/02/2000,Saturday,Lunar New Year,Observance
14/02/2000,Monday,Valentine's Day,Observance
15/02/2000,Tuesday,National Flag of Canada Day,Observance
21/02/2000,Monday,Family Day,Local holiday
25/02/2000,Friday,Yukon Heritage Day,Local de facto holiday
01/03/2000,Wednesday,St David's Day,Observance
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Christian
08/03/2000,Wednesday,Ash Wednesday,Christian
13/03/2000,Monday,Commonwealth Day,Observance
16/03/2000,Thursday,Eid al-Adha,Muslim
17/03/2000,Friday,St. Patrick's Day,Observance
20/03/2000,Monday,St. Patrick's Day,Local holiday
20/03/2000,Monday,March Equinox,Season
21/03/2000,Tuesday,Purim,Jewish holiday
01/04/2000,Saturday,Nunavut Day,Local holiday
02/04/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
06/04/2000,Thursday,Muharram/Islamic New Year,Muslim
15/04/2000,Saturday,Ashura,Muslim
16/04/2000,Sunday,Palm Sunday,Christian
20/04/2000,Thursday,Maundy Thursday,Christian
20/04/2000,Thursday,First day of Passover,Jewish holiday
21/04/2000,Friday,Good Friday,Statutory Holiday
22/04/2000,Saturday,Holy Saturday,Christian
23/04/2000,Sunday,Easter Sunday,Shops Closing Day
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
23/04/2000,Sunday,Easter Sunday,Designated Retail Closing Day
24/04/2000,Monday,Easter Monday,Statutory Holiday
24/04/2000,Monday,Easter Monday,Optional holiday
24/04/2000,Monday,Easter Monday,Statutory Holiday
24/04/2000,Monday,Easter Monday,Local de facto holiday
24/04/2000,Monday,St. George's Day,Local holiday
27/04/2000,Thursday,Last day of Passover,Jewish holiday
28/04/2000,Friday,Orthodox Good Friday,Orthodox
29/04/2000,Saturday,Orthodox Holy Saturday,Orthodox
30/04/2000,Sunday,Orthodox Easter,Orthodox
01/05/2000,Monday,Orthodox Easter Monday,Orthodox
02/05/2000,Tuesday,Yom HaShoah,Jewish commemoration
10/05/2000,Wednesday,Yom HaAtzmaut,Jewish holiday
14/05/2000,Sunday,Mother's Day,Observance
22/05/2000,Monday,Victoria Day,Statutory Holiday
22/05/2000,Monday,Victoria Day,Statutory Holiday
23/05/2000,Tuesday,Lag B'Omer,Jewish holiday
01/06/2000,Thursday,Ascension Day,Christian
09/06/2000,Friday,Shavuot,Jewish holiday
11/06/2000,Sunday,Pentecost,Christian
12/06/2000,Monday,Whit Monday,Christian
15/06/2000,Thursday,Milad un Nabi (Mawlid),Muslim
18/06/2000,Sunday,Trinity Sunday,Christian
18/06/2000,Sunday,Father's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
21/06/2000,Wednesday,National Aboriginal Day,Observance
22/06/2000,Thursday,Corpus Christi,Christian
24/06/2000,Saturday,St. Jean Baptiste Day,Local holiday
26/06/2000,Monday,Discovery Day,Local holiday
01/07/2000,Saturday,Memorial Day,Local holiday
01/07/2000,Saturday,Canada Day,Statutory Holiday
10/07/2000,Monday,Orangemen's Day,Local holiday
02/08/2000,Wednesday,The Royal St John's Regatta (Regatta Day),Local holiday
07/08/2000,Monday,Civic/Provincial Day,Common local holiday
07/08/2000,Monday,Civic/Provincial Day,Local observance
07/08/2000,Monday,Civic/Provincial Day,Statutory Holiday
07/08/2000,Monday,Saskatchewan Day,Common local holiday
07/08/2000,Monday,New Brunswick Day,Prescribed Day of Rest
07/08/2000,Monday,British Columbia Day,Common local holiday
07/08/2000,Monday,Natal Day,Common local holiday
07/08/2000,Monday,Heritage Day,Optional holiday
10/08/2000,Thursday,Tisha B'Av,Jewish holiday
15/08/2000,Tuesday,Assumption of Mary,Christian
18/08/2000,Friday,Gold Cup Parade,Local holiday
21/08/2000,Monday,Discovery Day,Local holiday
04/09/2000,Monday,Labour Day,Statutory Holiday
22/09/2000,Friday,September Equinox,Season
30/09/2000,Saturday,Rosh Hashana,Jewish holiday
04/10/2000,Wednesday,Feast of St Francis of Assisi,Christian
09/10/2000,Monday,Yom Kippur,Jewish holiday
09/10/2000,Monday,Thanksgiving Day,Statutory Holiday
09/10/2000,Monday,Thanksgiving Day,Designated Retail Closing Day
09/10/2000,Monday,Thanksgiving Day,Observance
09/10/2000,Monday,Thanksgiving Day,Statutory Holiday
14/10/2000,Saturday,First day of Sukkot,Jewish holiday
20/10/2000,Friday,Hoshana Rabbah,Jewish holiday
21/10/2000,Saturday,Shemini Atzeret,Jewish holiday
22/10/2000,Sunday,Simchat Torah,Jewish holiday
26/10/2000,Thursday,Isra and Mi'raj,Muslim
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2000,Tuesday,Halloween,Observance
01/11/2000,Wednesday,All Saints' Day,"Observance, Christian"
02/11/2000,Thursday,All Souls' Day,"Observance, Christian"
08/11/2000,Wednesday,National Aboriginal Veterans Day,Observance
