Date,Day,Name,Type
01/01/2008,Tuesday,New Year's Day,Public Holiday
28/01/2008,Monday,National Heroes Day,Public Holiday
06/02/2008,Wednesday,Ash Wednesday,Public Holiday
14/02/2008,Thursday,Valentine's Day,Observance
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,Public Holiday
23/03/2008,Sunday,Easter Sunday,Observance
24/03/2008,Monday,Easter Monday,Public Holiday
11/05/2008,Sunday,Mothers' Day,Observance
19/05/2008,Monday,Discovery Day,Public Holiday
15/06/2008,Sunday,Fathers' Day,Observance
16/06/2008,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2008,Friday,June Solstice,Season
07/07/2008,Monday,Constitution Day,Public Holiday
22/09/2008,Monday,September Equinox,Season
31/10/2008,Friday,Halloween,Observance
10/11/2008,Monday,Remembrance Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
24/12/2008,Wednesday,Christmas Eve,Observance
25/12/2008,Thursday,Christmas Day,Public Holiday
26/12/2008,Friday,Boxing Day,Public Holiday
31/12/2008,Wednesday,New Year's Eve,Observance
01/01/2009,Thursday,New Year's Day,Public Holiday
26/01/2009,Monday,National Heroes Day,Public Holiday
14/02/2009,Saturday,Valentine's Day,Observance
25/02/2009,Wednesday,Ash Wednesday,Public Holiday
20/03/2009,Friday,March Equinox,Season
10/04/2009,Friday,Good Friday,Public Holiday
12/04/2009,Sunday,Easter Sunday,Observance
13/04/2009,Monday,Easter Monday,Public Holiday
10/05/2009,Sunday,Mothers' Day,Observance
18/05/2009,Monday,Discovery Day,Public Holiday
20/05/2009,Wednesday,General Election Day,Public Holiday
15/06/2009,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2009,Sunday,Fathers' Day,Observance
21/06/2009,Sunday,June Solstice,Season
06/07/2009,Monday,Constitution Day,Public Holiday
22/09/2009,Tuesday,September Equinox,Season
31/10/2009,Saturday,Halloween,Observance
06/11/2009,Friday,2009 Cayman Islands Constitution Day,Public Holiday
09/11/2009,Monday,Remembrance Day,Public Holiday
21/12/2009,Monday,December Solstice,Season
24/12/2009,Thursday,Christmas Eve,Observance
25/12/2009,Friday,Christmas Day,Public Holiday
26/12/2009,Saturday,Boxing Day,Public Holiday
31/12/2009,Thursday,New Year's Eve,Observance
01/01/2010,Friday,New Year's Day,Public Holiday
25/01/2010,Monday,National Heroes Day,Public Holiday
14/02/2010,Sunday,Valentine's Day,Observance
17/02/2010,Wednesday,Ash Wednesday,Public Holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Public Holiday
04/04/2010,Sunday,Easter Sunday,Observance
05/04/2010,Monday,Easter Monday,Public Holiday
09/05/2010,Sunday,Mothers' Day,Observance
17/05/2010,Monday,Discovery Day,Public Holiday
14/06/2010,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2010,Sunday,Fathers' Day,Observance
21/06/2010,Monday,June Solstice,Season
05/07/2010,Monday,Constitution Day,Public Holiday
22/09/2010,Wednesday,September Equinox,Season
31/10/2010,Sunday,Halloween,Observance
08/11/2010,Monday,Remembrance Day,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
24/12/2010,Friday,Christmas Eve,Observance
25/12/2010,Saturday,Christmas Day,Public Holiday
26/12/2010,Sunday,Boxing Day,Public Holiday
27/12/2010,Monday,Day off for Boxing Day,Public Holiday
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,Public Holiday
03/01/2011,Monday,Day off for New Year's Day,Public Holiday
24/01/2011,Monday,National Heroes Day,Public Holiday
14/02/2011,Monday,Valentine's Day,Observance
09/03/2011,Wednesday,Ash Wednesday,Public Holiday
20/03/2011,Sunday,March Equinox,Season
22/04/2011,Friday,Good Friday,Public Holiday
24/04/2011,Sunday,Easter Sunday,Observance
25/04/2011,Monday,Easter Monday,Public Holiday
29/04/2011,Friday,UK Royal Wedding Holiday,Public Holiday
08/05/2011,Sunday,Mothers' Day,Observance
16/05/2011,Monday,Discovery Day,Public Holiday
13/06/2011,Monday,Queen Elizabeth II's Birthday,Public Holiday
19/06/2011,Sunday,Fathers' Day,Observance
21/06/2011,Tuesday,June Solstice,Season
04/07/2011,Monday,Constitution Day,Public Holiday
23/09/2011,Friday,September Equinox,Season
31/10/2011,Monday,Halloween,Observance
14/11/2011,Monday,Remembrance Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
24/12/2011,Saturday,Christmas Eve,Observance
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Boxing Day,Public Holiday
27/12/2011,Tuesday,Day off for Boxing Day,Public Holiday
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,Public Holiday
02/01/2012,Monday,Day off for New Year's Day,Public Holiday
23/01/2012,Monday,National Heroes Day,Public Holiday
14/02/2012,Tuesday,Valentine's Day,Observance
22/02/2012,Wednesday,Ash Wednesday,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Public Holiday
08/04/2012,Sunday,Easter Sunday,Observance
09/04/2012,Monday,Easter Monday,Public Holiday
13/05/2012,Sunday,Mothers' Day,Observance
21/05/2012,Monday,Discovery Day,Public Holiday
04/06/2012,Monday,Queen Elizabeth II's Diamond Jubilee,Public Holiday
17/06/2012,Sunday,Fathers' Day,Observance
18/06/2012,Monday,Queen Elizabeth II's Birthday,Public Holiday
20/06/2012,Wednesday,June Solstice,Season
02/07/2012,Monday,Constitution Day,Public Holiday
18/07/2012,Wednesday,Referendum Day,Public Holiday
22/09/2012,Saturday,September Equinox,Season
31/10/2012,Wednesday,Halloween,Observance
12/11/2012,Monday,Remembrance Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Christmas Eve,Observance
25/12/2012,Tuesday,Christmas Day,Public Holiday
26/12/2012,Wednesday,Boxing Day,Public Holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day,Public Holiday
28/01/2013,Monday,National Heroes Day,Public Holiday
13/02/2013,Wednesday,Ash Wednesday,Public Holiday
14/02/2013,Thursday,Valentine's Day,Observance
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public Holiday
31/03/2013,Sunday,Easter Sunday,Observance
01/04/2013,Monday,Easter Monday,Public Holiday
12/05/2013,Sunday,Mothers' Day,Observance
20/05/2013,Monday,Discovery Day,Public Holiday
16/06/2013,Sunday,Fathers' Day,Observance
17/06/2013,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2013,Friday,June Solstice,Season
01/07/2013,Monday,Constitution Day,Public Holiday
22/09/2013,Sunday,September Equinox,Season
31/10/2013,Thursday,Halloween,Observance
11/11/2013,Monday,Remembrance Day,Public Holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Christmas Eve,Observance
25/12/2013,Wednesday,Christmas Day,Public Holiday
26/12/2013,Thursday,Boxing Day,Public Holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Public Holiday
27/01/2014,Monday,National Heroes Day,Public Holiday
14/02/2014,Friday,Valentine's Day,Observance
05/03/2014,Wednesday,Ash Wednesday,Public Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Observance
21/04/2014,Monday,Easter Monday,Public Holiday
11/05/2014,Sunday,Mothers' Day,Observance
19/05/2014,Monday,Discovery Day,Public Holiday
15/06/2014,Sunday,Fathers' Day,Observance
16/06/2014,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
07/07/2014,Monday,Constitution Day,Public Holiday
22/09/2014,Monday,September Equinox,Season
31/10/2014,Friday,Halloween,Observance
10/11/2014,Monday,Remembrance Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Public Holiday
26/01/2015,Monday,National Heroes Day,Public Holiday
14/02/2015,Saturday,Valentine's Day,Observance
18/02/2015,Wednesday,Ash Wednesday,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Observance
06/04/2015,Monday,Easter Monday,Public Holiday
10/05/2015,Sunday,Mothers' Day,Observance
18/05/2015,Monday,Discovery Day,Public Holiday
15/06/2015,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2015,Sunday,Fathers' Day,Observance
21/06/2015,Sunday,June Solstice,Season
06/07/2015,Monday,Constitution Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
31/10/2015,Saturday,Halloween,Observance
09/11/2015,Monday,Remembrance Day,Public Holiday
21/12/2015,Monday,December Solstice,Season
24/12/2015,Thursday,Christmas Eve,Observance
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,Public Holiday
25/01/2016,Monday,National Heroes Day,Public Holiday
10/02/2016,Wednesday,Ash Wednesday,Public Holiday
14/02/2016,Sunday,Valentine's Day,Observance
19/03/2016,Saturday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Observance
28/03/2016,Monday,Easter Monday,Public Holiday
08/05/2016,Sunday,Mothers' Day,Observance
16/05/2016,Monday,Discovery Day,Public Holiday
13/06/2016,Monday,Queen Elizabeth II's Birthday,Public Holiday
19/06/2016,Sunday,Fathers' Day,Observance
20/06/2016,Monday,June Solstice,Season
04/07/2016,Monday,Constitution Day,Public Holiday
22/09/2016,Thursday,September Equinox,Season
31/10/2016,Monday,Halloween,Observance
14/11/2016,Monday,Remembrance Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
24/12/2016,Saturday,Christmas Eve,Observance
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Day off for Boxing Day,Public Holiday
31/12/2016,Saturday,New Year's Eve,Observance
01/01/2017,Sunday,New Year's Day,Public Holiday
02/01/2017,Monday,Day off for New Year's Day,Public Holiday
