Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Holy Saturday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
21/05/2000,Sunday,Navy Day,National holiday
19/06/2000,Monday,Corpus Christi,National holiday
20/06/2000,Tuesday,June Solstice,Season
20/06/2000,Tuesday,National Day of Indigenous Peoples,National holiday
26/06/2000,Monday,Saint Peter and Saint Paul,National holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
04/09/2000,Monday,Day of National Unity,National holiday
18/09/2000,Monday,National Day,National holiday
19/09/2000,Tuesday,Army Day,National holiday
22/09/2000,Friday,September Equinox,Season
09/10/2000,Monday,Day of the Discovery of Two Worlds,National holiday
01/11/2000,Wednesday,All Saints' Day,National holiday
08/12/2000,Friday,Inmaculate Conception Day,National holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Bank holiday
01/01/2001,Monday,New Year's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"Observance, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Holy Saturday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
21/05/2001,Monday,Navy Day,National holiday
11/06/2001,Monday,Corpus Christi,National holiday
21/06/2001,Thursday,June Solstice,Season
21/06/2001,Thursday,National Day of Indigenous Peoples,National holiday
02/07/2001,Monday,Saint Peter and Saint Paul,National holiday
15/08/2001,Wednesday,Assumption of Mary,National holiday
03/09/2001,Monday,Day of National Unity,National holiday
