Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
02/01/2000,Sunday,New Year's Holiday,Common local holiday
03/01/2000,Monday,New Year's Holiday,Common local holiday
04/01/2000,Tuesday,Special Working Day,Working day on weekend
05/01/2000,Wednesday,Special Working Day,Working day on weekend
06/01/2000,Thursday,Special Working Day,Working day on weekend
07/01/2000,Friday,Special Working Day,Working day on weekend
05/02/2000,Saturday,Lunar New Year,National holiday
06/02/2000,Sunday,Spring Festival Golden Week holiday,National holiday
07/02/2000,Monday,Spring Festival Golden Week holiday,National holiday
08/02/2000,Tuesday,Spring Festival Golden Week holiday,Common local holiday
09/02/2000,Wednesday,Spring Festival Golden Week holiday,Common local holiday
10/02/2000,Thursday,Spring Festival Golden Week holiday,Common local holiday
11/02/2000,Friday,Spring Festival Golden Week holiday,Common local holiday
12/02/2000,Saturday,Special Working Day,Working day on weekend
19/02/2000,Saturday,Lantern Festival,Observance
07/03/2000,Tuesday,Zhonghe Festival,Observance
08/03/2000,Wednesday,International Women's Day,Half day holiday
12/03/2000,Sunday,Arbor Day,Observance
20/03/2000,Monday,March Equinox,Season
04/04/2000,Tuesday,Qing Ming Jie,Observance
04/04/2000,Tuesday,Qing Ming Jie,National holiday
29/04/2000,Saturday,Special Working Day,Working day on weekend
01/05/2000,Monday,Labour Day,National holiday
02/05/2000,Tuesday,Labour Day Golden Week holiday,National holiday
03/05/2000,Wednesday,Labour Day Golden Week holiday,National holiday
04/05/2000,Thursday,Labour Day Golden Week holiday,Common local holiday
04/05/2000,Thursday,Youth Day,Half day holiday
05/05/2000,Friday,Labour Day Golden Week holiday,Common local holiday
06/05/2000,Saturday,Labour Day Golden Week holiday,Common local holiday
07/05/2000,Sunday,Labour Day Golden Week holiday,Common local holiday
01/06/2000,Thursday,Children's Day,Observance
06/06/2000,Tuesday,Dragon Boat Festival,Observance
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,CPC Founding Day,Observance
11/07/2000,Tuesday,Maritime Day,Observance
01/08/2000,Tuesday,Army Day,Observance
06/08/2000,Sunday,Chinese Valentine's Day,Observance
14/08/2000,Monday,Spirit Festival,Observance
10/09/2000,Sunday,Teachers' Day,Observance
12/09/2000,Tuesday,Mid-Autumn Festival,Observance
23/09/2000,Saturday,September Equinox,Season
30/09/2000,Saturday,Special Working Day,Working day on weekend
30/09/2000,Saturday,Special Working Day,Working day on weekend
01/10/2000,Sunday,National Day,National holiday
02/10/2000,Monday,National Day Golden Week holiday,National holiday
03/10/2000,Tuesday,National Day Golden Week holiday,National holiday
04/10/2000,Wednesday,National Day Golden Week holiday,Common local holiday
05/10/2000,Thursday,National Day Golden Week holiday,Common local holiday
06/10/2000,Friday,National Day Golden Week holiday,Common local holiday
06/10/2000,Friday,Double Ninth Festival,Observance
07/10/2000,Saturday,National Day Golden Week holiday,Common local holiday
08/10/2000,Sunday,Special Working Day,Working day on weekend
08/11/2000,Wednesday,Journalists' Day,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Observance
01/01/2001,Monday,New Year's Day,National holiday
02/01/2001,Tuesday,New Year's Holiday,Common local holiday
03/01/2001,Wednesday,New Year's Holiday,Common local holiday
04/01/2001,Thursday,Special Working Day,Working day on weekend
05/01/2001,Friday,Special Working Day,Working day on weekend
06/01/2001,Saturday,Special Working Day,Working day on weekend
07/01/2001,Sunday,Special Working Day,Working day on weekend
24/01/2001,Wednesday,Lunar New Year,National holiday
25/01/2001,Thursday,Spring Festival Golden Week holiday,National holiday
26/01/2001,Friday,Spring Festival Golden Week holiday,National holiday
27/01/2001,Saturday,Spring Festival Golden Week holiday,Common local holiday
28/01/2001,Sunday,Spring Festival Golden Week holiday,Common local holiday
29/01/2001,Monday,Spring Festival Golden Week holiday,Common local holiday
30/01/2001,Tuesday,Spring Festival Golden Week holiday,Common local holiday
31/01/2001,Wednesday,Special Working Day,Working day on weekend
07/02/2001,Wednesday,Lantern Festival,Observance
24/02/2001,Saturday,Zhonghe Festival,Observance
08/03/2001,Thursday,International Women's Day,Half day holiday
12/03/2001,Monday,Arbor Day,Observance
20/03/2001,Tuesday,March Equinox,Season
05/04/2001,Thursday,Qing Ming Jie,Observance
05/04/2001,Thursday,Qing Ming Jie,National holiday
01/05/2001,Tuesday,Labour Day,National holiday
02/05/2001,Wednesday,Labour Day Golden Week holiday,National holiday
03/05/2001,Thursday,Labour Day Golden Week holiday,National holiday
04/05/2001,Friday,Labour Day Golden Week holiday,Common local holiday
04/05/2001,Friday,Youth Day,Half day holiday
05/05/2001,Saturday,Labour Day Golden Week holiday,Common local holiday
06/05/2001,Sunday,Labour Day Golden Week holiday,Common local holiday
07/05/2001,Monday,Labour Day Golden Week holiday,Common local holiday
13/05/2001,Sunday,Special Working Day,Working day on weekend
01/06/2001,Friday,Children's Day,Observance
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Dragon Boat Festival,Observance
01/07/2001,Sunday,CPC Founding Day,Observance
11/07/2001,Wednesday,Maritime Day,Observance
01/08/2001,Wednesday,Army Day,Observance
25/08/2001,Saturday,Chinese Valentine's Day,Observance
02/09/2001,Sunday,Spirit Festival,Observance
10/09/2001,Monday,Teachers' Day,Observance
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,National Day,National holiday
01/10/2001,Monday,Mid-Autumn Festival,Observance
02/10/2001,Tuesday,National Day Golden Week holiday,National holiday
03/10/2001,Wednesday,National Day Golden Week holiday,National holiday
04/10/2001,Thursday,National Day Golden Week holiday,Common local holiday
05/10/2001,Friday,National Day Golden Week holiday,Common local holiday
06/10/2001,Saturday,National Day Golden Week holiday,Common local holiday
07/10/2001,Sunday,National Day Golden Week holiday,Common local holiday
25/10/2001,Thursday,Double Ninth Festival,Observance
08/11/2001,Thursday,Journalists' Day,Observance
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
02/01/2002,Wednesday,New Year's Holiday,Common local holiday
03/01/2002,Thursday,New Year's Holiday,Common local holiday
04/01/2002,Friday,Special Working Day,Working day on weekend
05/01/2002,Saturday,Special Working Day,Working day on weekend
06/01/2002,Sunday,Special Working Day,Working day on weekend
07/01/2002,Monday,Special Working Day,Working day on weekend
12/02/2002,Tuesday,Lunar New Year,National holiday
13/02/2002,Wednesday,Spring Festival Golden Week holiday,National holiday
14/02/2002,Thursday,Spring Festival Golden Week holiday,National holiday
15/02/2002,Friday,Spring Festival Golden Week holiday,Common local holiday
16/02/2002,Saturday,Spring Festival Golden Week holiday,Common local holiday
17/02/2002,Sunday,Spring Festival Golden Week holiday,Common local holiday
18/02/2002,Monday,Spring Festival Golden Week holiday,Common local holiday
19/02/2002,Tuesday,Special Working Day,Working day on weekend
24/02/2002,Sunday,Special Working Day,Working day on weekend
26/02/2002,Tuesday,Lantern Festival,Observance
08/03/2002,Friday,International Women's Day,Half day holiday
12/03/2002,Tuesday,Arbor Day,Observance
15/03/2002,Friday,Zhonghe Festival,Observance
21/03/2002,Thursday,March Equinox,Season
05/04/2002,Friday,Qing Ming Jie,National holiday
05/04/2002,Friday,Qing Ming Jie,Observance
01/05/2002,Wednesday,Labour Day,National holiday
02/05/2002,Thursday,Labour Day Golden Week holiday,National holiday
03/05/2002,Friday,Labour Day Golden Week holiday,National holiday
04/05/2002,Saturday,Labour Day Golden Week holiday,Common local holiday
04/05/2002,Saturday,Youth Day,Half day holiday
05/05/2002,Sunday,Labour Day Golden Week holiday,Common local holiday
06/05/2002,Monday,Labour Day Golden Week holiday,Common local holiday
07/05/2002,Tuesday,Labour Day Golden Week holiday,Common local holiday
01/06/2002,Saturday,Children's Day,Observance
15/06/2002,Saturday,Dragon Boat Festival,Observance
21/06/2002,Friday,June Solstice,Season
