Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
19/03/2000,Sunday,Saint Joseph's Day,Observance
20/03/2000,Monday,March Equinox,Season
11/04/2000,Tuesday,Battle of Rivas,National holiday
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
18/06/2000,Sunday,Father's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
25/07/2000,Tuesday,Annexation of Guanacaste,National holiday
02/08/2000,Wednesday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2000,Tuesday,Mother's Day,National holiday
24/08/2000,Thursday,National Parks Day,Observance
09/09/2000,Saturday,Children's Day,Observance
15/09/2000,Friday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2000,Thursday,All Souls' Day,National holiday
22/11/2000,Wednesday,Teacher's Day,Observance
08/12/2000,Friday,Feast of the Immaculate Conception,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
19/03/2001,Monday,Saint Joseph's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
11/04/2001,Wednesday,Battle of Rivas,National holiday
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
25/07/2001,Wednesday,Annexation of Guanacaste,National holiday
02/08/2001,Thursday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2001,Wednesday,Mother's Day,National holiday
24/08/2001,Friday,National Parks Day,Observance
09/09/2001,Sunday,Children's Day,Observance
15/09/2001,Saturday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2001,Friday,All Souls' Day,National holiday
22/11/2001,Thursday,Teacher's Day,Observance
08/12/2001,Saturday,Feast of the Immaculate Conception,Observance
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
19/03/2002,Tuesday,Saint Joseph's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
11/04/2002,Thursday,Battle of Rivas,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
25/07/2002,Thursday,Annexation of Guanacaste,National holiday
02/08/2002,Friday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2002,Thursday,Mother's Day,National holiday
24/08/2002,Saturday,National Parks Day,Observance
09/09/2002,Monday,Children's Day,Observance
15/09/2002,Sunday,Independence Day,National holiday
22/09/2002,Sunday,September Equinox,Season
12/10/2002,Saturday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2002,Saturday,All Souls' Day,National holiday
22/11/2002,Friday,Teacher's Day,Observance
08/12/2002,Sunday,Feast of the Immaculate Conception,Observance
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
19/03/2003,Wednesday,Saint Joseph's Day,Observance
20/03/2003,Thursday,March Equinox,Season
11/04/2003,Friday,Battle of Rivas,National holiday
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
01/05/2003,Thursday,Labor Day / May Day,National holiday
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
25/07/2003,Friday,Annexation of Guanacaste,National holiday
02/08/2003,Saturday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2003,Friday,Mother's Day,National holiday
24/08/2003,Sunday,National Parks Day,Observance
09/09/2003,Tuesday,Children's Day,Observance
15/09/2003,Monday,Independence Day,National holiday
23/09/2003,Tuesday,September Equinox,Season
12/10/2003,Sunday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2003,Sunday,All Souls' Day,National holiday
22/11/2003,Saturday,Teacher's Day,Observance
08/12/2003,Monday,Feast of the Immaculate Conception,Observance
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,"National holiday, Christian"
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
19/03/2004,Friday,Saint Joseph's Day,Observance
20/03/2004,Saturday,March Equinox,Season
08/04/2004,Thursday,Maundy Thursday,"National holiday, Christian"
09/04/2004,Friday,Good Friday,"National holiday, Christian"
11/04/2004,Sunday,Battle of Rivas,National holiday
01/05/2004,Saturday,Labor Day / May Day,National holiday
20/06/2004,Sunday,Father's Day,Observance
20/06/2004,Sunday,June Solstice,Season
25/07/2004,Sunday,Annexation of Guanacaste,National holiday
02/08/2004,Monday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2004,Sunday,Mother's Day,National holiday
24/08/2004,Tuesday,National Parks Day,Observance
09/09/2004,Thursday,Children's Day,Observance
15/09/2004,Wednesday,Independence Day,National holiday
22/09/2004,Wednesday,September Equinox,Season
12/10/2004,Tuesday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2004,Tuesday,All Souls' Day,National holiday
22/11/2004,Monday,Teacher's Day,Observance
08/12/2004,Wednesday,Feast of the Immaculate Conception,Observance
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,"National holiday, Christian"
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
19/03/2005,Saturday,Saint Joseph's Day,Observance
20/03/2005,Sunday,March Equinox,Season
24/03/2005,Thursday,Maundy Thursday,"National holiday, Christian"
25/03/2005,Friday,Good Friday,"National holiday, Christian"
11/04/2005,Monday,Battle of Rivas,National holiday
01/05/2005,Sunday,Labor Day / May Day,National holiday
19/06/2005,Sunday,Father's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
25/07/2005,Monday,Annexation of Guanacaste,National holiday
02/08/2005,Tuesday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2005,Monday,Mother's Day,National holiday
24/08/2005,Wednesday,National Parks Day,Observance
09/09/2005,Friday,Children's Day,Observance
15/09/2005,Thursday,Independence Day,National holiday
22/09/2005,Thursday,September Equinox,Season
12/10/2005,Wednesday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2005,Wednesday,All Souls' Day,National holiday
22/11/2005,Tuesday,Teacher's Day,Observance
08/12/2005,Thursday,Feast of the Immaculate Conception,Observance
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,"National holiday, Christian"
31/12/2005,Saturday,New Year's Eve,Observance
01/01/2006,Sunday,New Year's Day,National holiday
19/03/2006,Sunday,Saint Joseph's Day,Observance
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,Battle of Rivas,National holiday
13/04/2006,Thursday,Maundy Thursday,"National holiday, Christian"
14/04/2006,Friday,Good Friday,"National holiday, Christian"
01/05/2006,Monday,Labor Day / May Day,National holiday
18/06/2006,Sunday,Father's Day,Observance
21/06/2006,Wednesday,June Solstice,Season
25/07/2006,Tuesday,Annexation of Guanacaste,National holiday
02/08/2006,Wednesday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2006,Tuesday,Mother's Day,National holiday
24/08/2006,Thursday,National Parks Day,Observance
09/09/2006,Saturday,Children's Day,Observance
15/09/2006,Friday,Independence Day,National holiday
22/09/2006,Friday,September Equinox,Season
12/10/2006,Thursday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2006,Thursday,All Souls' Day,National holiday
22/11/2006,Wednesday,Teacher's Day,Observance
08/12/2006,Friday,Feast of the Immaculate Conception,Observance
21/12/2006,Thursday,December Solstice,Season
25/12/2006,Monday,Christmas Day,"National holiday, Christian"
31/12/2006,Sunday,New Year's Eve,Observance
01/01/2007,Monday,New Year's Day,National holiday
19/03/2007,Monday,Saint Joseph's Day,Observance
20/03/2007,Tuesday,March Equinox,Season
05/04/2007,Thursday,Maundy Thursday,"National holiday, Christian"
06/04/2007,Friday,Good Friday,"National holiday, Christian"
11/04/2007,Wednesday,Battle of Rivas,National holiday
01/05/2007,Tuesday,Labor Day / May Day,National holiday
17/06/2007,Sunday,Father's Day,Observance
21/06/2007,Thursday,June Solstice,Season
25/07/2007,Wednesday,Annexation of Guanacaste,National holiday
02/08/2007,Thursday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2007,Wednesday,Mother's Day,National holiday
24/08/2007,Friday,National Parks Day,Observance
09/09/2007,Sunday,Children's Day,Observance
15/09/2007,Saturday,Independence Day,National holiday
23/09/2007,Sunday,September Equinox,Season
12/10/2007,Friday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2007,Friday,All Souls' Day,National holiday
22/11/2007,Thursday,Teacher's Day,Observance
08/12/2007,Saturday,Feast of the Immaculate Conception,Observance
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2007,Monday,New Year's Eve,Observance
01/01/2008,Tuesday,New Year's Day,National holiday
19/03/2008,Wednesday,Saint Joseph's Day,Observance
19/03/2008,Wednesday,March Equinox,Season
20/03/2008,Thursday,Maundy Thursday,"National holiday, Christian"
21/03/2008,Friday,Good Friday,"National holiday, Christian"
11/04/2008,Friday,Battle of Rivas,National holiday
01/05/2008,Thursday,Labor Day / May Day,National holiday
15/06/2008,Sunday,Father's Day,Observance
20/06/2008,Friday,June Solstice,Season
25/07/2008,Friday,Annexation of Guanacaste,National holiday
02/08/2008,Saturday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2008,Friday,Mother's Day,National holiday
24/08/2008,Sunday,National Parks Day,Observance
09/09/2008,Tuesday,Children's Day,Observance
15/09/2008,Monday,Independence Day,National holiday
22/09/2008,Monday,September Equinox,Season
12/10/2008,Sunday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2008,Sunday,All Souls' Day,National holiday
22/11/2008,Saturday,Teacher's Day,Observance
08/12/2008,Monday,Feast of the Immaculate Conception,Observance
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Christmas Day,"National holiday, Christian"
31/12/2008,Wednesday,New Year's Eve,Observance
01/01/2009,Thursday,New Year's Day,National holiday
19/03/2009,Thursday,Saint Joseph's Day,Observance
20/03/2009,Friday,March Equinox,Season
09/04/2009,Thursday,Maundy Thursday,"National holiday, Christian"
10/04/2009,Friday,Good Friday,"National holiday, Christian"
11/04/2009,Saturday,Battle of Rivas,National holiday
01/05/2009,Friday,Labor Day / May Day,National holiday
20/06/2009,Saturday,June Solstice,Season
21/06/2009,Sunday,Father's Day,Observance
25/07/2009,Saturday,Annexation of Guanacaste,National holiday
02/08/2009,Sunday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2009,Saturday,Mother's Day,National holiday
24/08/2009,Monday,National Parks Day,Observance
09/09/2009,Wednesday,Children's Day,Observance
15/09/2009,Tuesday,Independence Day,National holiday
22/09/2009,Tuesday,September Equinox,Season
12/10/2009,Monday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2009,Monday,All Souls' Day,National holiday
22/11/2009,Sunday,Teacher's Day,Observance
08/12/2009,Tuesday,Feast of the Immaculate Conception,Observance
21/12/2009,Monday,December Solstice,Season
25/12/2009,Friday,Christmas Day,"National holiday, Christian"
31/12/2009,Thursday,New Year's Eve,Observance
01/01/2010,Friday,New Year's Day,National holiday
19/03/2010,Friday,Saint Joseph's Day,Observance
20/03/2010,Saturday,March Equinox,Season
01/04/2010,Thursday,Maundy Thursday,"National holiday, Christian"
02/04/2010,Friday,Good Friday,"National holiday, Christian"
11/04/2010,Sunday,Battle of Rivas,National holiday
01/05/2010,Saturday,Labor Day / May Day,National holiday
20/06/2010,Sunday,Father's Day,Observance
21/06/2010,Monday,June Solstice,Season
25/07/2010,Sunday,Annexation of Guanacaste,National holiday
02/08/2010,Monday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2010,Sunday,Mother's Day,National holiday
24/08/2010,Tuesday,National Parks Day,Observance
09/09/2010,Thursday,Children's Day,Observance
15/09/2010,Wednesday,Independence Day,National holiday
22/09/2010,Wednesday,September Equinox,Season
12/10/2010,Tuesday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2010,Tuesday,All Souls' Day,Observance
22/11/2010,Monday,Teacher's Day,Observance
08/12/2010,Wednesday,Feast of the Immaculate Conception,Observance
21/12/2010,Tuesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,"National holiday, Christian"
31/12/2010,Friday,New Year's Eve,Observance
01/01/2011,Saturday,New Year's Day,National holiday
19/03/2011,Saturday,Saint Joseph's Day,Observance
20/03/2011,Sunday,March Equinox,Season
11/04/2011,Monday,Battle of Rivas,National holiday
21/04/2011,Thursday,Maundy Thursday,"National holiday, Christian"
22/04/2011,Friday,Good Friday,"National holiday, Christian"
01/05/2011,Sunday,Labor Day / May Day,National holiday
19/06/2011,Sunday,Father's Day,Observance
21/06/2011,Tuesday,June Solstice,Season
25/07/2011,Monday,Annexation of Guanacaste,National holiday
02/08/2011,Tuesday,Our Lady of Los Ángeles,Non Compulsory Payment Holiday
15/08/2011,Monday,Mother's Day,National holiday
24/08/2011,Wednesday,National Parks Day,Observance
09/09/2011,Friday,Children's Day,Observance
15/09/2011,Thursday,Independence Day,National holiday
23/09/2011,Friday,September Equinox,Season
12/10/2011,Wednesday,Day of the Cultures,Non Compulsory Payment Holiday
02/11/2011,Wednesday,All Souls' Day,Observance
22/11/2011,Tuesday,Teacher's Day,Observance
08/12/2011,Thursday,Feast of the Immaculate Conception,Observance
21/12/2011,Wednesday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,"National holiday, Christian"
31/12/2011,Saturday,New Year's Eve,Observance
01/01/2012,Sunday,New Year's Day,National holiday
