Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,National holiday
07/01/2000,Friday,Orthodox Christmas Day,Optional holiday
08/01/2000,Saturday,Ramadan Bayram,Optional holiday
16/03/2000,Thursday,Kurban Bayram,Optional holiday
19/03/2000,Sunday,Father's Day,Observance
20/03/2000,Monday,March Equinox,Season
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,National holiday
30/04/2000,Sunday,Orthodox Easter Day,Optional holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
01/05/2000,Monday,Orthodox Easter Monday,Optional holiday
14/05/2000,Sunday,Mother's Day,Observance
21/05/2000,Sunday,Remembrance Day of Croatian Victims in the Fight for Freedom and Independence,Observance
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National holiday
22/06/2000,Thursday,Day of Antifascist Struggle,National holiday
25/06/2000,Sunday,Statehood Day,National holiday
05/08/2000,Saturday,Homeland Thanksgiving Day,National holiday
15/08/2000,Tuesday,Assumption of Mary,National holiday
22/09/2000,Friday,September Equinox,Season
30/09/2000,Saturday,Rosh Hashana,Optional holiday
08/10/2000,Sunday,Independence Day,Observance
09/10/2000,Monday,Yom Kippur,Optional holiday
01/11/2000,Wednesday,All Saints' Day,National holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,St Stephen's Day,National holiday
28/12/2000,Thursday,Ramadan Bayram,Optional holiday
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,National holiday
07/01/2001,Sunday,Orthodox Christmas Day,Optional holiday
06/03/2001,Tuesday,Kurban Bayram,Optional holiday
19/03/2001,Monday,Father's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
15/04/2001,Sunday,Easter Sunday,Observance
15/04/2001,Sunday,Orthodox Easter Day,Optional holiday
16/04/2001,Monday,Easter Monday,National holiday
16/04/2001,Monday,Orthodox Easter Monday,Optional holiday
