Date,Day,Name,Type
01/01/2000,Saturday,Liberation Day,National holiday
06/01/2000,Thursday,Epiphany,Observance
28/01/2000,Friday,José Martí's Birthday Memorial,Observance
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
16/04/2000,Sunday,Palm Sunday,"Observance, Christian"
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
20/05/2000,Saturday,Independence Day,Observance
20/06/2000,Tuesday,June Solstice,Season
25/07/2000,Tuesday,Revolution Anniversary,National holiday
26/07/2000,Wednesday,Day of the Rebellion,National holiday
27/07/2000,Thursday,Revolution Anniversary Celebration,National holiday
22/09/2000,Friday,September Equinox,Season
10/10/2000,Tuesday,Beginning of the War of Independence,National holiday
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
31/12/2000,Sunday,New Year's Eve,National holiday
01/01/2001,Monday,Liberation Day,National holiday
06/01/2001,Saturday,Epiphany,Observance
28/01/2001,Sunday,José Martí's Birthday Memorial,Observance
20/03/2001,Tuesday,March Equinox,Season
01/04/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/04/2001,Sunday,Palm Sunday,"Observance, Christian"
12/04/2001,Thursday,Maundy Thursday,"Observance, Christian"
13/04/2001,Friday,Good Friday,"Observance, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
20/05/2001,Sunday,Independence Day,Observance
21/06/2001,Thursday,June Solstice,Season
25/07/2001,Wednesday,Revolution Anniversary,National holiday
26/07/2001,Thursday,Day of the Rebellion,National holiday
27/07/2001,Friday,Revolution Anniversary Celebration,National holiday
22/09/2001,Saturday,September Equinox,Season
10/10/2001,Wednesday,Beginning of the War of Independence,National holiday
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,National holiday
31/12/2001,Monday,New Year's Eve,National holiday
01/01/2002,Tuesday,Liberation Day,National holiday
06/01/2002,Sunday,Epiphany,Observance
28/01/2002,Monday,José Martí's Birthday Memorial,Observance
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Palm Sunday,"Observance, Christian"
28/03/2002,Thursday,Maundy Thursday,"Observance, Christian"
29/03/2002,Friday,Good Friday,"Observance, Christian"
07/04/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/05/2002,Wednesday,Labor Day / May Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
20/05/2002,Monday,Independence Day,Observance
21/06/2002,Friday,June Solstice,Season
25/07/2002,Thursday,Revolution Anniversary,National holiday
26/07/2002,Friday,Day of the Rebellion,National holiday
27/07/2002,Saturday,Revolution Anniversary Celebration,National holiday
23/09/2002,Monday,September Equinox,Season
10/10/2002,Thursday,Beginning of the War of Independence,National holiday
27/10/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,National holiday
31/12/2002,Tuesday,New Year's Eve,National holiday
01/01/2003,Wednesday,Liberation Day,National holiday
06/01/2003,Monday,Epiphany,Observance
28/01/2003,Tuesday,José Martí's Birthday Memorial,Observance
20/03/2003,Thursday,March Equinox,Season
06/04/2003,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2003,Sunday,Palm Sunday,"Observance, Christian"
17/04/2003,Thursday,Maundy Thursday,"Observance, Christian"
18/04/2003,Friday,Good Friday,"Observance, Christian"
