Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
14/02/2000,Monday,Valentine's Day,Observance
05/03/2000,Sunday,Carnival,Observance
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
16/04/2000,Sunday,Palm Sunday,Observance
20/04/2000,Thursday,Maundy Thursday,National holiday
21/04/2000,Friday,Good Friday,National holiday
23/04/2000,Sunday,Easter Sunday,National holiday
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day / May Day,Private Sector Holiday
05/05/2000,Friday,Liberation Day,Observance
14/05/2000,Sunday,Mother's Day,Observance
19/05/2000,Friday,Great Prayer Day,National holiday
01/06/2000,Thursday,Ascension Day,National holiday
05/06/2000,Monday,Father's Day,Observance
05/06/2000,Monday,Constitution Day,Private Sector Holiday
11/06/2000,Sunday,Whit Sunday,National holiday
12/06/2000,Monday,Whit Monday,National holiday
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,2nd Christmas Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
25/02/2001,Sunday,Carnival,Observance
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
08/04/2001,Sunday,Palm Sunday,Observance
12/04/2001,Thursday,Maundy Thursday,National holiday
13/04/2001,Friday,Good Friday,National holiday
15/04/2001,Sunday,Easter Sunday,National holiday
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,Private Sector Holiday
05/05/2001,Saturday,Liberation Day,Observance
11/05/2001,Friday,Great Prayer Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,National holiday
03/06/2001,Sunday,Whit Sunday,National holiday
04/06/2001,Monday,Whit Monday,National holiday
05/06/2001,Tuesday,Father's Day,Observance
05/06/2001,Tuesday,Constitution Day,Private Sector Holiday
21/06/2001,Thursday,June Solstice,Season
23/09/2001,Sunday,September Equinox,Season
28/10/2001,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,2nd Christmas Day,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
10/02/2002,Sunday,Carnival,Observance
14/02/2002,Thursday,Valentine's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Palm Sunday,Observance
28/03/2002,Thursday,Maundy Thursday,National holiday
29/03/2002,Friday,Good Friday,National holiday
31/03/2002,Sunday,Easter Sunday,National holiday
31/03/2002,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2002,Monday,Easter Monday,National holiday
26/04/2002,Friday,Great Prayer Day,National holiday
01/05/2002,Wednesday,Labor Day / May Day,Private Sector Holiday
05/05/2002,Sunday,Liberation Day,Observance
09/05/2002,Thursday,Ascension Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
19/05/2002,Sunday,Whit Sunday,National holiday
20/05/2002,Monday,Whit Monday,National holiday
05/06/2002,Wednesday,Father's Day,Observance
05/06/2002,Wednesday,Constitution Day,Private Sector Holiday
21/06/2002,Friday,June Solstice,Season
23/09/2002,Monday,September Equinox,Season
27/10/2002,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,2nd Christmas Day,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
14/02/2003,Friday,Valentine's Day,Observance
02/03/2003,Sunday,Carnival,Observance
21/03/2003,Friday,March Equinox,Season
