Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
03/01/2015,Saturday,Milad un Nabi (Mawlid),Public Holiday
21/03/2015,Saturday,March Equinox,Season
01/05/2015,Friday,Labor Day / May Day,Public Holiday
16/05/2015,Saturday,Isra and Miraj,Public Holiday
21/06/2015,Sunday,June Solstice,Season
27/06/2015,Saturday,Independence Day,Public Holiday
28/06/2015,Sunday,Independence Day Holiday,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
19/07/2015,Sunday,Eid al-Fitr Holiday,Public Holiday
23/09/2015,Wednesday,Arafat Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
25/09/2015,Friday,Eid al-Adha Holiday,Public Holiday
15/10/2015,Thursday,Muharram,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Milad un Nabi (Mawlid),Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/03/2016,Sunday,March Equinox,Season
01/05/2016,Sunday,Labor Day / May Day,Public Holiday
05/05/2016,Thursday,Isra and Miraj,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
27/06/2016,Monday,Independence Day,Public Holiday
28/06/2016,Tuesday,Independence Day Holiday,Public Holiday
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
08/07/2016,Friday,Eid al-Fitr Holiday,Public Holiday
12/09/2016,Monday,Arafat Day,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
14/09/2016,Wednesday,Eid al-Adha Holiday,Public Holiday
22/09/2016,Thursday,September Equinox,Season
03/10/2016,Monday,Muharram,Public Holiday
12/12/2016,Monday,Milad un Nabi (Mawlid),Public Holiday
21/12/2016,Wednesday,December Solstice,Season
01/01/2017,Sunday,New Year,Public Holiday
20/03/2017,Monday,March Equinox,Season
24/04/2017,Monday,Isra and Miraj,Public Holiday
01/05/2017,Monday,Labor Day / May Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,Public Holiday
27/06/2017,Tuesday,Eid al-Fitr Holiday,Public Holiday
27/06/2017,Tuesday,Independence Day,Public Holiday
