Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
03/01/2000,Monday,New Year's Day observed,Public Holiday
06/03/2000,Monday,Carnival Monday,Public Holiday
07/03/2000,Tuesday,Carnival Tuesday,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
07/08/2000,Monday,Emancipation Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
03/11/2000,Friday,Independence Day,Public Holiday
04/11/2000,Saturday,Community Service Day,Public Holiday
12/11/2000,Sunday,Remembrance Sunday,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day,Public Holiday
26/02/2001,Monday,Carnival Monday,Public Holiday
27/02/2001,Tuesday,Carnival Tuesday,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
07/05/2001,Monday,Labor Day / May Day,Public Holiday
04/06/2001,Monday,Whit Monday,Public Holiday
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,Emancipation Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
03/11/2001,Saturday,Independence Day,Public Holiday
04/11/2001,Sunday,Community Service Day,Public Holiday
05/11/2001,Monday,Community Service Day observed,Public Holiday
11/11/2001,Sunday,Remembrance Sunday,Observance
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/02/2002,Monday,Carnival Monday,Public Holiday
12/02/2002,Tuesday,Carnival Tuesday,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
06/05/2002,Monday,Labor Day / May Day,Public Holiday
20/05/2002,Monday,Whit Monday,Public Holiday
21/06/2002,Friday,June Solstice,Season
05/08/2002,Monday,Emancipation Day,Public Holiday
