Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
10/01/2000,Monday,Epiphany,National holiday
21/01/2000,Friday,Our Lady of Altagracia,National holiday
24/01/2000,Monday,Day off for Duarte's Day,National holiday
26/01/2000,Wednesday,Duarte's Day,National holiday
27/02/2000,Sunday,Independence Day,National holiday
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
01/05/2000,Monday,Labor Day,National holiday
28/05/2000,Sunday,Mother's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,National holiday
30/07/2000,Sunday,Father's Day,Observance
16/08/2000,Wednesday,Restoration Day,National holiday
22/09/2000,Friday,September Equinox,Season
24/09/2000,Sunday,Our Lady of Las Mercedes,National holiday
06/11/2000,Monday,Constitution Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,Epiphany,National holiday
21/01/2001,Sunday,Our Lady of Altagracia,National holiday
26/01/2001,Friday,Duarte's Day,National holiday
29/01/2001,Monday,Day off for Duarte's Day,National holiday
27/02/2001,Tuesday,Independence Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"Observance, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
01/05/2001,Tuesday,Labor Day,National holiday
27/05/2001,Sunday,Mother's Day,Observance
14/06/2001,Thursday,Corpus Christi,National holiday
21/06/2001,Thursday,June Solstice,Season
29/07/2001,Sunday,Father's Day,Observance
16/08/2001,Thursday,Restoration Day,National holiday
22/09/2001,Saturday,September Equinox,Season
24/09/2001,Monday,Our Lady of Las Mercedes,National holiday
05/11/2001,Monday,Constitution Day,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,Epiphany,National holiday
21/01/2002,Monday,Our Lady of Altagracia,National holiday
26/01/2002,Saturday,Duarte's Day,National holiday
