Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/03/2000,Monday,Carnival,National holiday
07/03/2000,Tuesday,Carnival,National holiday
11/03/2000,Saturday,Special working day (compensation for Carnival Monday),Observance
18/03/2000,Saturday,Special working day (compensation for Carnival Tuesday),Observance
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Holy Saturday,"Observance, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
20/06/2000,Tuesday,June Solstice,Season
24/07/2000,Monday,Simón Bolívar's Birthday Memorial,Observance
10/08/2000,Thursday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
09/10/2000,Monday,Independence of Guayaquil,National holiday
02/11/2000,Thursday,All Souls' Day,National holiday
03/11/2000,Friday,Independence of Cuenca,National holiday
06/12/2000,Wednesday,Foundation of Quito,Local holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
26/02/2001,Monday,Carnival,National holiday
27/02/2001,Tuesday,Carnival,National holiday
03/03/2001,Saturday,Special working day (compensation for Carnival Monday),Observance
10/03/2001,Saturday,Special working day (compensation for Carnival Tuesday),Observance
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"Observance, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Holy Saturday,"Observance, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
30/04/2001,Monday,Day off for Labor Day / May Day,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
21/06/2001,Thursday,June Solstice,Season
24/07/2001,Tuesday,Simón Bolívar's Birthday Memorial,Observance
10/08/2001,Friday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
09/10/2001,Tuesday,Independence of Guayaquil,National holiday
02/11/2001,Friday,All Souls' Day,National holiday
03/11/2001,Saturday,Independence of Cuenca,National holiday
