Date,Day,Name,Type
01/01/2005,Saturday,January 1 Bank Holiday,Bank Holiday
07/01/2005,Friday,Coptic Christmas Day,National holiday
21/01/2005,Friday,Eid al-Adha,National holiday
22/01/2005,Saturday,Eid al-Adha Holiday,National holiday
23/01/2005,Sunday,Eid al-Adha Holiday,National holiday
24/01/2005,Monday,Eid al-Adha Holiday,Bank Holiday
10/02/2005,Thursday,Muharram,National holiday
19/02/2005,Saturday,Ashura,Observance
20/03/2005,Sunday,March Equinox,Season
21/04/2005,Thursday,Prophet Mohamed's Birthday,National holiday
25/04/2005,Monday,Sinai Liberation Day,National holiday
29/04/2005,Friday,Coptic Good Friday,Observance
30/04/2005,Saturday,Coptic Holy Saturday,Observance
01/05/2005,Sunday,Coptic Easter Sunday,National holiday
01/05/2005,Sunday,Labor Day,National holiday
02/05/2005,Monday,Spring Festival,National holiday
21/06/2005,Tuesday,June Solstice,Season
01/07/2005,Friday,July 1 Bank Holiday,Bank Holiday
23/07/2005,Saturday,Revolution Day July 23,National holiday
15/08/2005,Monday,Flooding of the Nile,Observance
11/09/2005,Sunday,Nayrouz,Observance
23/09/2005,Friday,September Equinox,Season
06/10/2005,Thursday,Armed Forces Day,National holiday
04/11/2005,Friday,Eid el Fitr,National holiday
05/11/2005,Saturday,Eid el Fitr Holiday,National holiday
06/11/2005,Sunday,Eid el Fitr Holiday,National holiday
21/12/2005,Wednesday,December Solstice,Season
01/01/2006,Sunday,January 1 Bank Holiday,Bank Holiday
07/01/2006,Saturday,Coptic Christmas Day,National holiday
10/01/2006,Tuesday,Eid al-Adha,National holiday
11/01/2006,Wednesday,Eid al-Adha Holiday,National holiday
12/01/2006,Thursday,Eid al-Adha Holiday,National holiday
13/01/2006,Friday,Eid al-Adha Holiday,Bank Holiday
31/01/2006,Tuesday,Muharram,National holiday
09/02/2006,Thursday,Ashura,Observance
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,Prophet Mohamed's Birthday,National holiday
21/04/2006,Friday,Coptic Good Friday,Observance
22/04/2006,Saturday,Coptic Holy Saturday,Observance
23/04/2006,Sunday,Coptic Easter Sunday,National holiday
24/04/2006,Monday,Spring Festival,National holiday
25/04/2006,Tuesday,Sinai Liberation Day,National holiday
01/05/2006,Monday,Labor Day,National holiday
21/06/2006,Wednesday,June Solstice,Season
01/07/2006,Saturday,July 1 Bank Holiday,Bank Holiday
23/07/2006,Sunday,Revolution Day July 23,National holiday
15/08/2006,Tuesday,Flooding of the Nile,Observance
11/09/2006,Monday,Nayrouz,Observance
23/09/2006,Saturday,September Equinox,Season
06/10/2006,Friday,Armed Forces Day,National holiday
24/10/2006,Tuesday,Eid el Fitr,National holiday
25/10/2006,Wednesday,Eid el Fitr Holiday,National holiday
26/10/2006,Thursday,Eid el Fitr Holiday,National holiday
22/12/2006,Friday,December Solstice,Season
29/12/2006,Friday,Arafat Day,National holiday
31/12/2006,Sunday,Eid al-Adha,National holiday
01/01/2007,Monday,Eid al-Adha Holiday,National holiday
01/01/2007,Monday,January 1 Bank Holiday,Bank Holiday
02/01/2007,Tuesday,Eid al-Adha Holiday,National holiday
03/01/2007,Wednesday,Eid al-Adha Holiday,Bank Holiday
07/01/2007,Sunday,Coptic Christmas Day,National holiday
20/01/2007,Saturday,Muharram,National holiday
29/01/2007,Monday,Ashura,Observance
21/03/2007,Wednesday,March Equinox,Season
31/03/2007,Saturday,Prophet Mohamed's Birthday,National holiday
06/04/2007,Friday,Coptic Good Friday,Observance
07/04/2007,Saturday,Coptic Holy Saturday,Observance
08/04/2007,Sunday,Coptic Easter Sunday,National holiday
09/04/2007,Monday,Spring Festival,National holiday
25/04/2007,Wednesday,Sinai Liberation Day,National holiday
01/05/2007,Tuesday,Labor Day,National holiday
21/06/2007,Thursday,June Solstice,Season
01/07/2007,Sunday,July 1 Bank Holiday,Bank Holiday
23/07/2007,Monday,Revolution Day July 23,National holiday
15/08/2007,Wednesday,Flooding of the Nile,Observance
12/09/2007,Wednesday,Nayrouz,Observance
23/09/2007,Sunday,September Equinox,Season
06/10/2007,Saturday,Armed Forces Day,National holiday
13/10/2007,Saturday,Eid el Fitr,National holiday
14/10/2007,Sunday,Eid el Fitr Holiday,National holiday
15/10/2007,Monday,Eid el Fitr Holiday,National holiday
19/12/2007,Wednesday,Arafat Day,National holiday
20/12/2007,Thursday,Eid al-Adha,National holiday
21/12/2007,Friday,Eid al-Adha Holiday,National holiday
22/12/2007,Saturday,Eid al-Adha Holiday,National holiday
22/12/2007,Saturday,December Solstice,Season
23/12/2007,Sunday,Eid al-Adha Holiday,Bank Holiday
01/01/2008,Tuesday,January 1 Bank Holiday,Bank Holiday
07/01/2008,Monday,Coptic Christmas Day,National holiday
10/01/2008,Thursday,Muharram,National holiday
19/01/2008,Saturday,Ashura,Observance
20/03/2008,Thursday,Prophet Mohamed's Birthday,National holiday
20/03/2008,Thursday,March Equinox,Season
25/04/2008,Friday,Coptic Good Friday,Observance
25/04/2008,Friday,Sinai Liberation Day,National holiday
26/04/2008,Saturday,Coptic Holy Saturday,Observance
27/04/2008,Sunday,Coptic Easter Sunday,National holiday
28/04/2008,Monday,Spring Festival,National holiday
01/05/2008,Thursday,Labor Day,National holiday
21/06/2008,Saturday,June Solstice,Season
01/07/2008,Tuesday,July 1 Bank Holiday,Bank Holiday
23/07/2008,Wednesday,Revolution Day July 23,National holiday
15/08/2008,Friday,Flooding of the Nile,Observance
11/09/2008,Thursday,Nayrouz,Observance
22/09/2008,Monday,September Equinox,Season
02/10/2008,Thursday,Eid el Fitr,National holiday
03/10/2008,Friday,Eid el Fitr Holiday,National holiday
04/10/2008,Saturday,Eid el Fitr Holiday,National holiday
06/10/2008,Monday,Armed Forces Day,National holiday
07/12/2008,Sunday,Arafat Day,National holiday
09/12/2008,Tuesday,Eid al-Adha,National holiday
10/12/2008,Wednesday,Eid al-Adha Holiday,National holiday
11/12/2008,Thursday,Eid al-Adha Holiday,National holiday
12/12/2008,Friday,Eid al-Adha Holiday,Bank Holiday
21/12/2008,Sunday,December Solstice,Season
29/12/2008,Monday,Muharram,National holiday
01/01/2009,Thursday,January 1 Bank Holiday,Bank Holiday
07/01/2009,Wednesday,Coptic Christmas Day,National holiday
07/01/2009,Wednesday,Ashura,Observance
09/03/2009,Monday,Prophet Mohamed's Birthday,National holiday
20/03/2009,Friday,March Equinox,Season
17/04/2009,Friday,Coptic Good Friday,Observance
18/04/2009,Saturday,Coptic Holy Saturday,Observance
19/04/2009,Sunday,Coptic Easter Sunday,National holiday
20/04/2009,Monday,Spring Festival,National holiday
25/04/2009,Saturday,Sinai Liberation Day,National holiday
01/05/2009,Friday,Labor Day,National holiday
21/06/2009,Sunday,June Solstice,Season
01/07/2009,Wednesday,July 1 Bank Holiday,Bank Holiday
23/07/2009,Thursday,Revolution Day July 23,National holiday
15/08/2009,Saturday,Flooding of the Nile,Observance
11/09/2009,Friday,Nayrouz,Observance
21/09/2009,Monday,Eid el Fitr,National holiday
22/09/2009,Tuesday,Eid el Fitr Holiday,National holiday
22/09/2009,Tuesday,September Equinox,Season
23/09/2009,Wednesday,Eid el Fitr Holiday,National holiday
06/10/2009,Tuesday,Armed Forces Day,National holiday
26/11/2009,Thursday,Arafat Day,National holiday
28/11/2009,Saturday,Eid al-Adha,National holiday
29/11/2009,Sunday,Eid al-Adha Holiday,National holiday
30/11/2009,Monday,Eid al-Adha Holiday,National holiday
01/12/2009,Tuesday,Eid al-Adha Holiday,Bank Holiday
18/12/2009,Friday,Muharram,National holiday
21/12/2009,Monday,December Solstice,Season
27/12/2009,Sunday,Ashura,Observance
01/01/2010,Friday,January 1 Bank Holiday,Bank Holiday
07/01/2010,Thursday,Coptic Christmas Day,National holiday
26/02/2010,Friday,Prophet Mohamed's Birthday,National holiday
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Coptic Good Friday,Observance
03/04/2010,Saturday,Coptic Holy Saturday,Observance
04/04/2010,Sunday,Coptic Easter Sunday,National holiday
05/04/2010,Monday,Spring Festival,National holiday
25/04/2010,Sunday,Sinai Liberation Day,National holiday
01/05/2010,Saturday,Labor Day,National holiday
21/06/2010,Monday,June Solstice,Season
01/07/2010,Thursday,July 1 Bank Holiday,Bank Holiday
23/07/2010,Friday,Revolution Day July 23,National holiday
15/08/2010,Sunday,Flooding of the Nile,Observance
09/09/2010,Thursday,Eid el Fitr,National holiday
10/09/2010,Friday,Eid el Fitr Holiday,National holiday
11/09/2010,Saturday,Eid el Fitr Holiday,National holiday
11/09/2010,Saturday,Nayrouz,Observance
23/09/2010,Thursday,September Equinox,Season
06/10/2010,Wednesday,Armed Forces Day,National holiday
15/11/2010,Monday,Eid al-Adha,National holiday
15/11/2010,Monday,Arafat Day,National holiday
16/11/2010,Tuesday,Eid al-Adha Holiday,National holiday
17/11/2010,Wednesday,Eid al-Adha Holiday,National holiday
18/11/2010,Thursday,Eid al-Adha Holiday,Bank Holiday
07/12/2010,Tuesday,Muharram,National holiday
17/12/2010,Friday,Ashura,Observance
22/12/2010,Wednesday,December Solstice,Season
01/01/2011,Saturday,January 1 Bank Holiday,Bank Holiday
07/01/2011,Friday,Coptic Christmas Day,National holiday
14/02/2011,Monday,Bank Holiday,Bank Holiday
