Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
16/01/2000,Sunday,Signing of the Peace Accords,Observance
08/03/2000,Wednesday,Women's Day,Observance
20/03/2000,Monday,March Equinox,Season
16/04/2000,Sunday,Palm Sunday,"Observance, Christian"
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Holy Saturday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
01/05/2000,Monday,Labor Day / May Day,National holiday
03/05/2000,Wednesday,Cross Day,Observance
07/05/2000,Sunday,Soldiers' Day,Observance
10/05/2000,Wednesday,Mothers' Day,National holiday
17/06/2000,Saturday,Fathers' Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Teachers' Day,Optional holiday
03/08/2000,Thursday,San Salvador Day 1 (S. Salvador only),Local holiday
05/08/2000,Saturday,San Salvador Day 2 (S. Salvador only),Local holiday
06/08/2000,Sunday,Celebrations of San Salvador,National holiday
15/09/2000,Friday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
01/10/2000,Sunday,Children's Day,Observance
12/10/2000,Thursday,Columbus Day,Observance
02/11/2000,Thursday,All Saints Day,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
16/01/2001,Tuesday,Signing of the Peace Accords,Observance
08/03/2001,Thursday,Women's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
08/04/2001,Sunday,Palm Sunday,"Observance, Christian"
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Holy Saturday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
01/05/2001,Tuesday,Labor Day / May Day,National holiday
03/05/2001,Thursday,Cross Day,Observance
07/05/2001,Monday,Soldiers' Day,Observance
10/05/2001,Thursday,Mothers' Day,National holiday
17/06/2001,Sunday,Fathers' Day,Observance
21/06/2001,Thursday,June Solstice,Season
22/06/2001,Friday,Teachers' Day,Optional holiday
03/08/2001,Friday,San Salvador Day 1 (S. Salvador only),Local holiday
05/08/2001,Sunday,San Salvador Day 2 (S. Salvador only),Local holiday
06/08/2001,Monday,Celebrations of San Salvador,National holiday
15/09/2001,Saturday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
01/10/2001,Monday,Children's Day,Observance
12/10/2001,Friday,Columbus Day,Observance
02/11/2001,Friday,All Saints Day,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"Observance, Christian"
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
16/01/2002,Wednesday,Signing of the Peace Accords,Observance
08/03/2002,Friday,Women's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Palm Sunday,"Observance, Christian"
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
30/03/2002,Saturday,Holy Saturday,"National holiday, Christian"
31/03/2002,Sunday,Easter Sunday,"Observance, Christian"
01/05/2002,Wednesday,Labor Day / May Day,National holiday
03/05/2002,Friday,Cross Day,Observance
07/05/2002,Tuesday,Soldiers' Day,Observance
10/05/2002,Friday,Mothers' Day,National holiday
17/06/2002,Monday,Fathers' Day,Observance
21/06/2002,Friday,June Solstice,Season
22/06/2002,Saturday,Teachers' Day,Optional holiday
03/08/2002,Saturday,San Salvador Day 1 (S. Salvador only),Local holiday
05/08/2002,Monday,San Salvador Day 2 (S. Salvador only),Local holiday
06/08/2002,Tuesday,Celebrations of San Salvador,National holiday
15/09/2002,Sunday,Independence Day,National holiday
22/09/2002,Sunday,September Equinox,Season
01/10/2002,Tuesday,Children's Day,Observance
12/10/2002,Saturday,Columbus Day,Observance
02/11/2002,Saturday,All Saints Day,National holiday
21/12/2002,Saturday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"Observance, Christian"
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
16/01/2003,Thursday,Signing of the Peace Accords,Observance
08/03/2003,Saturday,Women's Day,Observance
20/03/2003,Thursday,March Equinox,Season
13/04/2003,Sunday,Palm Sunday,"Observance, Christian"
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
19/04/2003,Saturday,Holy Saturday,"National holiday, Christian"
20/04/2003,Sunday,Easter Sunday,"Observance, Christian"
01/05/2003,Thursday,Labor Day / May Day,National holiday
03/05/2003,Saturday,Cross Day,Observance
07/05/2003,Wednesday,Soldiers' Day,Observance
10/05/2003,Saturday,Mothers' Day,National holiday
17/06/2003,Tuesday,Fathers' Day,Observance
21/06/2003,Saturday,June Solstice,Season
