Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
03/01/2015,Saturday,The Prophet's Birthday,Public Holiday
07/01/2015,Wednesday,Orthodox Christmas Day,Public Holiday
19/01/2015,Monday,Timket,Public Holiday
08/03/2015,Sunday,Women's Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
10/04/2015,Friday,Coptic Good Friday,Public Holiday
12/04/2015,Sunday,Coptic Easter,Public Holiday
01/05/2015,Friday,International Workers' Day,Public Holiday
24/05/2015,Sunday,Independence Day,Public Holiday
20/06/2015,Saturday,Martyrs' Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
01/09/2015,Tuesday,Commencement Day of Eritrean Armed Struggle,Public Holiday
11/09/2015,Friday,Orthodox New Year,"Observance, Orthodox"
12/09/2015,Saturday,St. John the Baptist Day,Public Holiday
12/09/2015,Saturday,Geez New Year,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
27/09/2015,Sunday,Meskel,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,Public Holiday
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
07/01/2016,Thursday,Orthodox Christmas Day,Public Holiday
20/01/2016,Wednesday,Timket,Public Holiday
08/03/2016,Tuesday,Women's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
29/04/2016,Friday,Coptic Good Friday,Public Holiday
01/05/2016,Sunday,International Workers' Day,Public Holiday
01/05/2016,Sunday,Coptic Easter,Public Holiday
24/05/2016,Tuesday,Independence Day,Public Holiday
20/06/2016,Monday,Martyrs' Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
01/09/2016,Thursday,Commencement Day of Eritrean Armed Struggle,Public Holiday
11/09/2016,Sunday,St. John the Baptist Day,Public Holiday
11/09/2016,Sunday,Geez New Year,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
27/09/2016,Tuesday,Meskel,Public Holiday
12/12/2016,Monday,The Prophet's Birthday,Public Holiday
