Date,Day,Name,Type
07/01/2003,Tuesday,Ethiopian Christmas Day,Public Holiday
19/01/2003,Sunday,Epiphany / Timkat,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
02/03/2003,Sunday,Adwa Victory Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
25/04/2003,Friday,Ethiopian Good Friday,Public Holiday
27/04/2003,Sunday,Fasika,Public Holiday
01/05/2003,Thursday,International Labor Day,Public Holiday
05/05/2003,Monday,Patriots' Day,Public Holiday
14/05/2003,Wednesday,The Prophet's Birthday,Public Holiday
28/05/2003,Wednesday,Derg Downfall Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
12/09/2003,Friday,Ethiopian New Year,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
28/09/2003,Sunday,Meskel,Public Holiday
26/11/2003,Wednesday,Eid ul Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
07/01/2004,Wednesday,Ethiopian Christmas Day,Public Holiday
20/01/2004,Tuesday,Epiphany / Timkat,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
02/03/2004,Tuesday,Adwa Victory Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Ethiopian Good Friday,Public Holiday
11/04/2004,Sunday,Fasika,Public Holiday
01/05/2004,Saturday,International Labor Day,Public Holiday
02/05/2004,Sunday,The Prophet's Birthday,Public Holiday
05/05/2004,Wednesday,Patriots' Day,Public Holiday
28/05/2004,Friday,Derg Downfall Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
11/09/2004,Saturday,Ethiopian New Year,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
27/09/2004,Monday,Meskel,Public Holiday
14/11/2004,Sunday,Eid ul Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
07/01/2005,Friday,Ethiopian Christmas Day,Public Holiday
19/01/2005,Wednesday,Epiphany / Timkat,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
02/03/2005,Wednesday,Adwa Victory Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
21/04/2005,Thursday,The Prophet's Birthday,Public Holiday
29/04/2005,Friday,Ethiopian Good Friday,Public Holiday
01/05/2005,Sunday,International Labor Day,Public Holiday
01/05/2005,Sunday,Fasika,Public Holiday
05/05/2005,Thursday,Patriots' Day,Public Holiday
28/05/2005,Saturday,Derg Downfall Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
11/09/2005,Sunday,Ethiopian New Year,Public Holiday
23/09/2005,Friday,September Equinox,Season
27/09/2005,Tuesday,Meskel,Public Holiday
04/11/2005,Friday,Eid ul Fitr,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
07/01/2006,Saturday,Ethiopian Christmas Day,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
19/01/2006,Thursday,Epiphany / Timkat,Public Holiday
02/03/2006,Thursday,Adwa Victory Day,Public Holiday
20/03/2006,Monday,March Equinox,Season
11/04/2006,Tuesday,The Prophet's Birthday,Public Holiday
21/04/2006,Friday,Ethiopian Good Friday,Public Holiday
23/04/2006,Sunday,Fasika,Public Holiday
01/05/2006,Monday,International Labor Day,Public Holiday
05/05/2006,Friday,Patriots' Day,Public Holiday
28/05/2006,Sunday,Derg Downfall Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
11/09/2006,Monday,Ethiopian New Year,Public Holiday
23/09/2006,Saturday,September Equinox,Season
27/09/2006,Wednesday,Meskel,Public Holiday
24/10/2006,Tuesday,Eid ul Fitr,Public Holiday
22/12/2006,Friday,December Solstice,Season
