Date,Day,Name,Type
01/01/2009,Thursday,New Year's Day,Public Holiday
10/01/2009,Saturday,Margaret Thatcher Day,Observance
20/03/2009,Friday,March Equinox,Season
10/04/2009,Friday,Good Friday,Public Holiday
19/04/2009,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/04/2009,Tuesday,Queen Elizabeth II's Birthday,Public Holiday
14/06/2009,Sunday,Liberation Day,Public Holiday
15/06/2009,Monday,Liberation Day observed,Public Holiday
21/06/2009,Sunday,June Solstice,Season
14/08/2009,Friday,Falkland Day,Observance
06/09/2009,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
22/09/2009,Tuesday,September Equinox,Season
05/10/2009,Monday,Peat Cutting Monday,Public Holiday
08/12/2009,Tuesday,Battle Day,Public Holiday
21/12/2009,Monday,December Solstice,Season
25/12/2009,Friday,Christmas Day,Public Holiday
26/12/2009,Saturday,Boxing Day,Public Holiday
27/12/2009,Sunday,Christmas Holiday,Public Holiday
28/12/2009,Monday,Day off for Boxing Day,Public Holiday
29/12/2009,Tuesday,Day off for Christmas Holiday,Public Holiday
01/01/2010,Friday,New Year's Day,Public Holiday
10/01/2010,Sunday,Margaret Thatcher Day,Observance
20/03/2010,Saturday,March Equinox,Season
02/04/2010,Friday,Good Friday,Public Holiday
18/04/2010,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/04/2010,Wednesday,Queen Elizabeth II's Birthday,Public Holiday
14/06/2010,Monday,Liberation Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
14/08/2010,Saturday,Falkland Day,Observance
23/09/2010,Thursday,September Equinox,Season
04/10/2010,Monday,Peat Cutting Monday,Public Holiday
08/12/2010,Wednesday,Battle Day,Public Holiday
21/12/2010,Tuesday,December Solstice,Season
25/12/2010,Saturday,Christmas Day,Public Holiday
26/12/2010,Sunday,Boxing Day,Public Holiday
27/12/2010,Monday,Day off for Christmas Day,Public Holiday
27/12/2010,Monday,Christmas Holiday,Public Holiday
28/12/2010,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2011,Saturday,New Year's Day,Public Holiday
03/01/2011,Monday,New Year's Day observed,Public Holiday
10/01/2011,Monday,Margaret Thatcher Day,Observance
20/03/2011,Sunday,March Equinox,Season
21/04/2011,Thursday,Queen Elizabeth II's Birthday,Public Holiday
22/04/2011,Friday,Good Friday,Public Holiday
14/06/2011,Tuesday,Liberation Day,Public Holiday
21/06/2011,Tuesday,June Solstice,Season
14/08/2011,Sunday,Falkland Day,Observance
23/09/2011,Friday,September Equinox,Season
03/10/2011,Monday,Peat Cutting Monday,Public Holiday
08/12/2011,Thursday,Battle Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Day off for Christmas Day,Public Holiday
26/12/2011,Monday,Boxing Day,Public Holiday
27/12/2011,Tuesday,Day off for Boxing Day,Public Holiday
27/12/2011,Tuesday,Christmas Holiday,Public Holiday
28/12/2011,Wednesday,Day off for Christmas Holiday,Public Holiday
29/12/2011,Thursday,Christmas Holiday,Government Holiday
01/01/2012,Sunday,New Year's Day,Public Holiday
02/01/2012,Monday,New Year's Day observed,Public Holiday
10/01/2012,Tuesday,Margaret Thatcher Day,Observance
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,Public Holiday
21/04/2012,Saturday,Queen Elizabeth II's Birthday,Public Holiday
23/04/2012,Monday,Queen Elizabeth II's Birthday observed,Public Holiday
14/06/2012,Thursday,Liberation Day,Public Holiday
20/06/2012,Wednesday,June Solstice,Season
14/08/2012,Tuesday,Falkland Day,Observance
22/09/2012,Saturday,September Equinox,Season
01/10/2012,Monday,Peat Cutting Monday,Public Holiday
08/12/2012,Saturday,Battle Day,Public Holiday
10/12/2012,Monday,Battle Day observed,Public Holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,Public Holiday
26/12/2012,Wednesday,Boxing Day,Public Holiday
27/12/2012,Thursday,Christmas Holiday,Public Holiday
28/12/2012,Friday,Christmas Holiday,Government Holiday
01/01/2013,Tuesday,New Year's Day,Public Holiday
10/01/2013,Thursday,Margaret Thatcher Day,Observance
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,Public Holiday
21/04/2013,Sunday,Queen Elizabeth II's Birthday,Public Holiday
22/04/2013,Monday,Queen Elizabeth II's Birthday observed,Public Holiday
14/06/2013,Friday,Liberation Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
14/08/2013,Wednesday,Falkland Day,Observance
22/09/2013,Sunday,September Equinox,Season
07/10/2013,Monday,Peat Cutting Monday,Public Holiday
08/12/2013,Sunday,Battle Day,Public Holiday
09/12/2013,Monday,Battle Day observed,Public Holiday
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Public Holiday
26/12/2013,Thursday,Boxing Day,Public Holiday
27/12/2013,Friday,Christmas Holiday,Public Holiday
30/12/2013,Monday,Christmas Holiday,Government Holiday
01/01/2014,Wednesday,New Year's Day,Public Holiday
10/01/2014,Friday,Margaret Thatcher Day,Observance
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,Public Holiday
21/04/2014,Monday,Queen Elizabeth II's Birthday,Public Holiday
14/06/2014,Saturday,Liberation Day,Public Holiday
16/06/2014,Monday,Liberation Day observed,Public Holiday
21/06/2014,Saturday,June Solstice,Season
14/08/2014,Thursday,Falkland Day,Observance
22/09/2014,Monday,September Equinox,Season
06/10/2014,Monday,Peat Cutting Monday,Public Holiday
08/12/2014,Monday,Battle Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
27/12/2014,Saturday,Christmas Holiday,Public Holiday
29/12/2014,Monday,Day off for Christmas Holiday,Public Holiday
30/12/2014,Tuesday,Christmas Holiday,Government Holiday
01/01/2015,Thursday,New Year's Day,Public Holiday
10/01/2015,Saturday,Margaret Thatcher Day,Observance
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
21/04/2015,Tuesday,Queen Elizabeth II's Birthday,Public Holiday
14/06/2015,Sunday,Liberation Day,Public Holiday
15/06/2015,Monday,Liberation Day observed,Public Holiday
21/06/2015,Sunday,June Solstice,Season
14/08/2015,Friday,Falkland Day,Observance
23/09/2015,Wednesday,September Equinox,Season
05/10/2015,Monday,Peat Cutting Monday,Public Holiday
08/12/2015,Tuesday,Battle Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
27/12/2015,Sunday,Christmas Holiday,Public Holiday
28/12/2015,Monday,Day off for Boxing Day,Public Holiday
29/12/2015,Tuesday,Day off for Christmas Holiday,Public Holiday
30/12/2015,Wednesday,Christmas Holiday,Government Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
10/01/2016,Sunday,Margaret Thatcher Day,Observance
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
21/04/2016,Thursday,Queen Elizabeth II's Birthday,Public Holiday
14/06/2016,Tuesday,Liberation Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
14/08/2016,Sunday,Falkland Day,Observance
22/09/2016,Thursday,September Equinox,Season
03/10/2016,Monday,Peat Cutting Monday,Public Holiday
08/12/2016,Thursday,Battle Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Day off for Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Day off for Boxing Day,Public Holiday
27/12/2016,Tuesday,Christmas Holiday,Public Holiday
28/12/2016,Wednesday,Day off for Christmas Holiday,Public Holiday
29/12/2016,Thursday,Christmas Holiday,Government Holiday
