Date,Day,Name,Type
01/01/2014,Wednesday,New Year,Public Holiday
20/03/2014,Thursday,March Equinox,Season
30/03/2014,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
17/04/2014,Thursday,Maundy Thursday,Public Holiday
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Public Holiday
21/04/2014,Monday,Easter Monday,Public Holiday
25/04/2014,Friday,National Flag Day,Public Holiday
16/05/2014,Friday,Prayer Day,Public Holiday
29/05/2014,Thursday,Ascension Day,Public Holiday
05/06/2014,Thursday,Constitution Day,Half-day
08/06/2014,Sunday,Whit Sunday,Public Holiday
09/06/2014,Monday,Whit Monday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
28/07/2014,Monday,St. Olav's Eve,Half-day
29/07/2014,Tuesday,St. Olav's Day (National Day),Public Holiday
23/09/2014,Tuesday,September Equinox,Season
26/10/2014,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2014,Sunday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Public Holiday
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
31/12/2014,Wednesday,New Year's Eve,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
20/03/2015,Friday,March Equinox,Season
29/03/2015,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
02/04/2015,Thursday,Maundy Thursday,Public Holiday
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
25/04/2015,Saturday,National Flag Day,Public Holiday
01/05/2015,Friday,Prayer Day,Public Holiday
14/05/2015,Thursday,Ascension Day,Public Holiday
24/05/2015,Sunday,Whit Sunday,Public Holiday
25/05/2015,Monday,Whit Monday,Public Holiday
05/06/2015,Friday,Constitution Day,Half-day
21/06/2015,Sunday,June Solstice,Season
28/07/2015,Tuesday,St. Olav's Eve,Half-day
29/07/2015,Wednesday,St. Olav's Day (National Day),Public Holiday
23/09/2015,Wednesday,September Equinox,Season
25/10/2015,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,Christmas Eve,Public Holiday
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
31/12/2015,Thursday,New Year's Eve,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/03/2016,Sunday,March Equinox,Season
24/03/2016,Thursday,Maundy Thursday,Public Holiday
25/03/2016,Friday,Good Friday,Public Holiday
27/03/2016,Sunday,Easter Sunday,Public Holiday
27/03/2016,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
28/03/2016,Monday,Easter Monday,Public Holiday
22/04/2016,Friday,Prayer Day,Public Holiday
25/04/2016,Monday,National Flag Day,Public Holiday
05/05/2016,Thursday,Ascension Day,Public Holiday
15/05/2016,Sunday,Whit Sunday,Public Holiday
16/05/2016,Monday,Whit Monday,Public Holiday
05/06/2016,Sunday,Constitution Day,Half-day
20/06/2016,Monday,June Solstice,Season
28/07/2016,Thursday,St. Olav's Eve,Half-day
29/07/2016,Friday,St. Olav's Day (National Day),Public Holiday
22/09/2016,Thursday,September Equinox,Season
30/10/2016,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2016,Wednesday,December Solstice,Season
24/12/2016,Saturday,Christmas Eve,Public Holiday
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
31/12/2016,Saturday,New Year's Eve,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
20/03/2017,Monday,March Equinox,Season
26/03/2017,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
13/04/2017,Thursday,Maundy Thursday,Public Holiday
14/04/2017,Friday,Good Friday,Public Holiday
16/04/2017,Sunday,Easter Sunday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
25/04/2017,Tuesday,National Flag Day,Public Holiday
12/05/2017,Friday,Prayer Day,Public Holiday
25/05/2017,Thursday,Ascension Day,Public Holiday
04/06/2017,Sunday,Whit Sunday,Public Holiday
05/06/2017,Monday,Whit Monday,Public Holiday
05/06/2017,Monday,Constitution Day,Half-day
21/06/2017,Wednesday,June Solstice,Season
28/07/2017,Friday,St. Olav's Eve,Half-day
29/07/2017,Saturday,St. Olav's Day (National Day),Public Holiday
22/09/2017,Friday,September Equinox,Season
29/10/2017,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2017,Thursday,December Solstice,Season
24/12/2017,Sunday,Christmas Eve,Public Holiday
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
31/12/2017,Sunday,New Year's Eve,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
25/03/2018,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
29/03/2018,Thursday,Maundy Thursday,Public Holiday
30/03/2018,Friday,Good Friday,Public Holiday
01/04/2018,Sunday,Easter Sunday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
25/04/2018,Wednesday,National Flag Day,Public Holiday
27/04/2018,Friday,Prayer Day,Public Holiday
10/05/2018,Thursday,Ascension Day,Public Holiday
20/05/2018,Sunday,Whit Sunday,Public Holiday
21/05/2018,Monday,Whit Monday,Public Holiday
05/06/2018,Tuesday,Constitution Day,Half-day
21/06/2018,Thursday,June Solstice,Season
28/07/2018,Saturday,St. Olav's Eve,Half-day
29/07/2018,Sunday,St. Olav's Day (National Day),Public Holiday
23/09/2018,Sunday,September Equinox,Season
28/10/2018,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2018,Friday,December Solstice,Season
24/12/2018,Monday,Christmas Eve,Public Holiday
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
31/12/2018,Monday,New Year's Eve,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
31/03/2019,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2019,Thursday,Maundy Thursday,Public Holiday
19/04/2019,Friday,Good Friday,Public Holiday
21/04/2019,Sunday,Easter Sunday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
25/04/2019,Thursday,National Flag Day,Public Holiday
17/05/2019,Friday,Prayer Day,Public Holiday
30/05/2019,Thursday,Ascension Day,Public Holiday
05/06/2019,Wednesday,Constitution Day,Half-day
09/06/2019,Sunday,Whit Sunday,Public Holiday
10/06/2019,Monday,Whit Monday,Public Holiday
21/06/2019,Friday,June Solstice,Season
28/07/2019,Sunday,St. Olav's Eve,Half-day
29/07/2019,Monday,St. Olav's Day (National Day),Public Holiday
23/09/2019,Monday,September Equinox,Season
27/10/2019,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2019,Sunday,December Solstice,Season
24/12/2019,Tuesday,Christmas Eve,Public Holiday
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
31/12/2019,Tuesday,New Year's Eve,Public Holiday
01/01/2020,Wednesday,New Year,Public Holiday
20/03/2020,Friday,March Equinox,Season
29/03/2020,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
09/04/2020,Thursday,Maundy Thursday,Public Holiday
10/04/2020,Friday,Good Friday,Public Holiday
12/04/2020,Sunday,Easter Sunday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
25/04/2020,Saturday,National Flag Day,Public Holiday
08/05/2020,Friday,Prayer Day,Public Holiday
21/05/2020,Thursday,Ascension Day,Public Holiday
31/05/2020,Sunday,Whit Sunday,Public Holiday
01/06/2020,Monday,Whit Monday,Public Holiday
05/06/2020,Friday,Constitution Day,Half-day
20/06/2020,Saturday,June Solstice,Season
28/07/2020,Tuesday,St. Olav's Eve,Half-day
29/07/2020,Wednesday,St. Olav's Day (National Day),Public Holiday
22/09/2020,Tuesday,September Equinox,Season
25/10/2020,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2020,Monday,December Solstice,Season
24/12/2020,Thursday,Christmas Eve,Public Holiday
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
31/12/2020,Thursday,New Year's Eve,Public Holiday
01/01/2021,Friday,New Year,Public Holiday
20/03/2021,Saturday,March Equinox,Season
28/03/2021,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/04/2021,Thursday,Maundy Thursday,Public Holiday
02/04/2021,Friday,Good Friday,Public Holiday
04/04/2021,Sunday,Easter Sunday,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
25/04/2021,Sunday,National Flag Day,Public Holiday
30/04/2021,Friday,Prayer Day,Public Holiday
13/05/2021,Thursday,Ascension Day,Public Holiday
23/05/2021,Sunday,Whit Sunday,Public Holiday
24/05/2021,Monday,Whit Monday,Public Holiday
05/06/2021,Saturday,Constitution Day,Half-day
21/06/2021,Monday,June Solstice,Season
28/07/2021,Wednesday,St. Olav's Eve,Half-day
29/07/2021,Thursday,St. Olav's Day (National Day),Public Holiday
22/09/2021,Wednesday,September Equinox,Season
31/10/2021,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2021,Tuesday,December Solstice,Season
24/12/2021,Friday,Christmas Eve,Public Holiday
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Public Holiday
31/12/2021,Friday,New Year's Eve,Public Holiday
01/01/2022,Saturday,New Year,Public Holiday
20/03/2022,Sunday,March Equinox,Season
27/03/2022,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
14/04/2022,Thursday,Maundy Thursday,Public Holiday
15/04/2022,Friday,Good Friday,Public Holiday
17/04/2022,Sunday,Easter Sunday,Public Holiday
18/04/2022,Monday,Easter Monday,Public Holiday
25/04/2022,Monday,National Flag Day,Public Holiday
13/05/2022,Friday,Prayer Day,Public Holiday
26/05/2022,Thursday,Ascension Day,Public Holiday
05/06/2022,Sunday,Whit Sunday,Public Holiday
05/06/2022,Sunday,Constitution Day,Half-day
06/06/2022,Monday,Whit Monday,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
28/07/2022,Thursday,St. Olav's Eve,Half-day
29/07/2022,Friday,St. Olav's Day (National Day),Public Holiday
23/09/2022,Friday,September Equinox,Season
30/10/2022,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2022,Wednesday,December Solstice,Season
24/12/2022,Saturday,Christmas Eve,Public Holiday
25/12/2022,Sunday,Christmas Day,Public Holiday
26/12/2022,Monday,Boxing Day,Public Holiday
31/12/2022,Saturday,New Year's Eve,Public Holiday
