Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
05/01/2015,Monday,The Prophet's Birthday,Public Holiday
18/01/2015,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/03/2015,Saturday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
04/04/2015,Saturday,Holy Saturday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
22/06/2015,Monday,June Solstice,Season
26/06/2015,Friday,National Sports Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
10/10/2015,Saturday,Fiji Day,Public Holiday
01/11/2015,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
11/11/2015,Wednesday,Diwali,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
26/12/2015,Saturday,Boxing Day,Public Holiday
28/12/2015,Monday,Day off for Boxing Day,Public Holiday
28/12/2015,Monday,Boxing Day Holiday,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
17/01/2016,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
26/03/2016,Saturday,Holy Saturday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
26/06/2016,Sunday,National Sports Day,Public Holiday
22/08/2016,Monday,First Gold Medal Special Holiday,Public Holiday
07/09/2016,Wednesday,Constitution Day,Public Holiday
23/09/2016,Friday,September Equinox,Season
10/10/2016,Monday,Fiji Day,Public Holiday
27/10/2016,Thursday,Diwali,Public Holiday
06/11/2016,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
12/12/2016,Monday,The Prophet's Birthday,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Day off for Christmas Day,Public Holiday
26/12/2016,Monday,Boxing Day,Public Holiday
27/12/2016,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
02/01/2017,Monday,Day off for New Year,Public Holiday
15/01/2017,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
15/04/2017,Saturday,Holy Saturday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,National Sports Day,Public Holiday
07/09/2017,Thursday,Constitution Day,Public Holiday
23/09/2017,Saturday,September Equinox,Season
10/10/2017,Tuesday,Fiji Day,Public Holiday
16/10/2017,Monday,Diwali,Public Holiday
05/11/2017,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
01/12/2017,Friday,The Prophet's Birthday,Public Holiday
22/12/2017,Friday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
14/01/2018,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/03/2018,Wednesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
31/03/2018,Saturday,Holy Saturday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
29/06/2018,Friday,National Sports Day,Public Holiday
07/09/2018,Friday,Constitution Day,Public Holiday
23/09/2018,Sunday,September Equinox,Season
10/10/2018,Wednesday,Fiji Day,Public Holiday
04/11/2018,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
07/11/2018,Wednesday,Diwali,Public Holiday
14/11/2018,Wednesday,General election,Public Holiday
19/11/2018,Monday,The Prophet's Birthday,Public Holiday
22/12/2018,Saturday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
13/01/2019,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/03/2019,Thursday,March Equinox,Season
19/04/2019,Friday,Good Friday,Public Holiday
20/04/2019,Saturday,Holy Saturday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
22/06/2019,Saturday,June Solstice,Season
07/09/2019,Saturday,Constitution Day,Public Holiday
23/09/2019,Monday,September Equinox,Season
10/10/2019,Thursday,Fiji Day,Public Holiday
28/10/2019,Monday,Diwali,Public Holiday
10/11/2019,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
11/11/2019,Monday,The Prophet's Birthday,Public Holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year,Public Holiday
12/01/2020,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2020,Friday,March Equinox,Season
10/04/2020,Friday,Good Friday,Public Holiday
11/04/2020,Saturday,Holy Saturday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
21/06/2020,Sunday,June Solstice,Season
07/09/2020,Monday,Constitution Day,Public Holiday
23/09/2020,Wednesday,September Equinox,Season
10/10/2020,Saturday,Fiji Day,Public Holiday
29/10/2020,Thursday,The Prophet's Birthday,Public Holiday
14/11/2020,Saturday,Diwali,Public Holiday
16/11/2020,Monday,Day off for Diwali,Public Holiday
20/12/2020,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
26/12/2020,Saturday,Boxing Day,Public Holiday
28/12/2020,Monday,Day off for Boxing Day,Public Holiday
01/01/2021,Friday,New Year,Public Holiday
17/01/2021,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
20/03/2021,Saturday,March Equinox,Season
02/04/2021,Friday,Good Friday,Public Holiday
03/04/2021,Saturday,Holy Saturday,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
21/06/2021,Monday,June Solstice,Season
07/09/2021,Tuesday,Constitution Day,Public Holiday
23/09/2021,Thursday,September Equinox,Season
10/10/2021,Sunday,Fiji Day,Public Holiday
18/10/2021,Monday,The Prophet's Birthday,Public Holiday
04/11/2021,Thursday,Diwali,Public Holiday
22/12/2021,Wednesday,December Solstice,Season
25/12/2021,Saturday,Christmas Day,Public Holiday
26/12/2021,Sunday,Boxing Day,Public Holiday
27/12/2021,Monday,Day off for Christmas Day,Public Holiday
28/12/2021,Tuesday,Day off for Boxing Day,Public Holiday
01/01/2022,Saturday,New Year,Public Holiday
03/01/2022,Monday,Day off for New Year,Public Holiday
21/03/2022,Monday,March Equinox,Season
15/04/2022,Friday,Good Friday,Public Holiday
16/04/2022,Saturday,Holy Saturday,Public Holiday
18/04/2022,Monday,Easter Monday,Public Holiday
21/06/2022,Tuesday,June Solstice,Season
07/09/2022,Wednesday,Constitution Day,Public Holiday
