Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
06/03/2000,Monday,Carnival / Shrove Monday,Private sector holiday
07/03/2000,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
08/03/2000,Wednesday,Carnival / Ash Wednesday,Private sector holiday
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,Laetare Sunday,Observance
16/04/2000,Sunday,Palm Sunday,Observance
21/04/2000,Friday,Good Friday,Bank holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
08/05/2000,Monday,Victory Day,Public Holiday
01/06/2000,Thursday,Ascension Day,Public Holiday
10/06/2000,Saturday,Abolition Day,Public Holiday
11/06/2000,Sunday,Whit Sunday,Observance
12/06/2000,Monday,Whit Monday,Public Holiday
20/06/2000,Tuesday,June Solstice,Season
14/07/2000,Friday,French National Day,Public Holiday
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
22/09/2000,Friday,September Equinox,Season
15/10/2000,Sunday,Cayenne Festival,Common local holiday
01/11/2000,Wednesday,All Saints' Day,Public Holiday
02/11/2000,Thursday,All Souls' Day,Observance
11/11/2000,Saturday,Armistice Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
26/02/2001,Monday,Carnival / Shrove Monday,Private sector holiday
27/02/2001,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
28/02/2001,Wednesday,Carnival / Ash Wednesday,Private sector holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Laetare Sunday,Observance
08/04/2001,Sunday,Palm Sunday,Observance
13/04/2001,Friday,Good Friday,Bank holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
08/05/2001,Tuesday,Victory Day,Public Holiday
24/05/2001,Thursday,Ascension Day,Public Holiday
03/06/2001,Sunday,Whit Sunday,Observance
04/06/2001,Monday,Whit Monday,Public Holiday
10/06/2001,Sunday,Abolition Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
14/07/2001,Saturday,French National Day,Public Holiday
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
22/09/2001,Saturday,September Equinox,Season
15/10/2001,Monday,Cayenne Festival,Common local holiday
01/11/2001,Thursday,All Saints' Day,Public Holiday
02/11/2001,Friday,All Souls' Day,Observance
11/11/2001,Sunday,Armistice Day,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
11/02/2002,Monday,Carnival / Shrove Monday,Private sector holiday
12/02/2002,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
13/02/2002,Wednesday,Carnival / Ash Wednesday,Private sector holiday
10/03/2002,Sunday,Laetare Sunday,Observance
20/03/2002,Wednesday,March Equinox,Season
24/03/2002,Sunday,Palm Sunday,Observance
29/03/2002,Friday,Good Friday,Bank holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
08/05/2002,Wednesday,Victory Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Public Holiday
19/05/2002,Sunday,Whit Sunday,Observance
20/05/2002,Monday,Whit Monday,Public Holiday
10/06/2002,Monday,Abolition Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
14/07/2002,Sunday,French National Day,Public Holiday
15/08/2002,Thursday,Assumption of Mary,Public Holiday
23/09/2002,Monday,September Equinox,Season
15/10/2002,Tuesday,Cayenne Festival,Common local holiday
01/11/2002,Friday,All Saints' Day,Public Holiday
02/11/2002,Saturday,All Souls' Day,Observance
11/11/2002,Monday,Armistice Day,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,Public Holiday
03/03/2003,Monday,Carnival / Shrove Monday,Private sector holiday
04/03/2003,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Private sector holiday
05/03/2003,Wednesday,Carnival / Ash Wednesday,Private sector holiday
20/03/2003,Thursday,March Equinox,Season
30/03/2003,Sunday,Laetare Sunday,Observance
13/04/2003,Sunday,Palm Sunday,Observance
18/04/2003,Friday,Good Friday,Bank holiday
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
08/05/2003,Thursday,Victory Day,Public Holiday
29/05/2003,Thursday,Ascension Day,Public Holiday
08/06/2003,Sunday,Whit Sunday,Observance
09/06/2003,Monday,Whit Monday,Public Holiday
10/06/2003,Tuesday,Abolition Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
14/07/2003,Monday,French National Day,Public Holiday
15/08/2003,Friday,Assumption of Mary,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
15/10/2003,Wednesday,Cayenne Festival,Common local holiday
01/11/2003,Saturday,All Saints' Day,Public Holiday
02/11/2003,Sunday,All Souls' Day,Observance
11/11/2003,Tuesday,Armistice Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,Public Holiday
