Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
08/01/2000,Saturday,Eid al-Fitr,Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
17/04/2000,Monday,Women's Rights Day,Public Holiday
23/04/2000,Sunday,Easter Sunday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labour Day,Public Holiday
14/05/2000,Sunday,Mother's Day,Observance
01/06/2000,Thursday,Ascension Day,Observance
12/06/2000,Monday,Whit Monday,Public Holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
15/08/2000,Tuesday,Assumption of Mary,Public Holiday
16/08/2000,Wednesday,Independence Day,Public Holiday
17/08/2000,Thursday,Independence Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
01/11/2000,Wednesday,All Saints' Eve,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Eid al-Fitr,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
15/04/2001,Sunday,Easter Sunday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
17/04/2001,Tuesday,Women's Rights Day,Public Holiday
01/05/2001,Tuesday,Labour Day,Public Holiday
13/05/2001,Sunday,Mother's Day,Observance
24/05/2001,Thursday,Ascension Day,Observance
04/06/2001,Monday,Whit Monday,Public Holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
15/08/2001,Wednesday,Assumption of Mary,Public Holiday
16/08/2001,Thursday,Independence Day,Public Holiday
17/08/2001,Friday,Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
01/11/2001,Thursday,All Saints' Eve,Public Holiday
17/12/2001,Monday,Eid al-Fitr,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
20/03/2002,Wednesday,March Equinox,Season
31/03/2002,Sunday,Easter Sunday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
17/04/2002,Wednesday,Women's Rights Day,Public Holiday
01/05/2002,Wednesday,Labour Day,Public Holiday
09/05/2002,Thursday,Ascension Day,Observance
12/05/2002,Sunday,Mother's Day,Observance
20/05/2002,Monday,Whit Monday,Public Holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
15/08/2002,Thursday,Assumption of Mary,Public Holiday
16/08/2002,Friday,Independence Day,Public Holiday
17/08/2002,Saturday,Independence Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
01/11/2002,Friday,All Saints' Eve,Public Holiday
06/12/2002,Friday,Eid al-Fitr,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
21/03/2003,Friday,March Equinox,Season
17/04/2003,Thursday,Women's Rights Day,Public Holiday
20/04/2003,Sunday,Easter Sunday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labour Day,Public Holiday
11/05/2003,Sunday,Mother's Day,Observance
29/05/2003,Thursday,Ascension Day,Observance
09/06/2003,Monday,Whit Monday,Public Holiday
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
15/08/2003,Friday,Assumption of Mary,Public Holiday
16/08/2003,Saturday,Independence Day,Public Holiday
17/08/2003,Sunday,Independence Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
01/11/2003,Saturday,All Saints' Eve,Public Holiday
26/11/2003,Wednesday,Eid al-Fitr,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
20/03/2004,Saturday,March Equinox,Season
11/04/2004,Sunday,Easter Sunday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
17/04/2004,Saturday,Women's Rights Day,Public Holiday
01/05/2004,Saturday,Labour Day,Public Holiday
09/05/2004,Sunday,Mother's Day,Observance
20/05/2004,Thursday,Ascension Day,Observance
31/05/2004,Monday,Whit Monday,Public Holiday
20/06/2004,Sunday,Father's Day,Observance
21/06/2004,Monday,June Solstice,Season
15/08/2004,Sunday,Assumption of Mary,Public Holiday
16/08/2004,Monday,Independence Day,Public Holiday
17/08/2004,Tuesday,Independence Day,Public Holiday
22/09/2004,Wednesday,September Equinox,Season
01/11/2004,Monday,All Saints' Eve,Public Holiday
14/11/2004,Sunday,Eid al-Fitr,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
21/01/2005,Friday,Eid al-Adha,Public Holiday
20/03/2005,Sunday,March Equinox,Season
27/03/2005,Sunday,Easter Sunday,Public Holiday
28/03/2005,Monday,Easter Monday,Public Holiday
17/04/2005,Sunday,Women's Rights Day,Public Holiday
01/05/2005,Sunday,Labour Day,Public Holiday
05/05/2005,Thursday,Ascension Day,Observance
08/05/2005,Sunday,Mother's Day,Observance
16/05/2005,Monday,Whit Monday,Public Holiday
19/06/2005,Sunday,Father's Day,Observance
21/06/2005,Tuesday,June Solstice,Season
15/08/2005,Monday,Assumption of Mary,Public Holiday
16/08/2005,Tuesday,Independence Day,Public Holiday
17/08/2005,Wednesday,Independence Day,Public Holiday
22/09/2005,Thursday,September Equinox,Season
01/11/2005,Tuesday,All Saints' Eve,Public Holiday
04/11/2005,Friday,Eid al-Fitr,Public Holiday
21/12/2005,Wednesday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
01/01/2006,Sunday,New Year,Public Holiday
10/01/2006,Tuesday,Eid al-Adha,Public Holiday
20/03/2006,Monday,March Equinox,Season
16/04/2006,Sunday,Easter Sunday,Public Holiday
17/04/2006,Monday,Easter Monday,Public Holiday
17/04/2006,Monday,Women's Rights Day,Public Holiday
01/05/2006,Monday,Labour Day,Public Holiday
14/05/2006,Sunday,Mother's Day,Observance
25/05/2006,Thursday,Ascension Day,Observance
05/06/2006,Monday,Whit Monday,Public Holiday
18/06/2006,Sunday,Father's Day,Observance
