Date,Day,Name,Type
01/01/2015,Thursday,New Year,Public Holiday
18/02/2015,Wednesday,Independence Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Good Friday,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,Labour Day,Public Holiday
25/05/2015,Monday,Africa Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
13/07/2015,Monday,Lailat al-Qadr,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
22/07/2015,Wednesday,Revolution Day,Public Holiday
15/08/2015,Saturday,Assumption of Mary,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
25/09/2015,Friday,Eid al-Adha,Public Holiday
26/09/2015,Saturday,Eid al-Adha,Public Holiday
27/09/2015,Sunday,Eid al-Adha,Public Holiday
24/10/2015,Saturday,Ashura,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
18/02/2016,Thursday,Independence Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
25/03/2016,Friday,Good Friday,Public Holiday
28/03/2016,Monday,Easter Monday,Public Holiday
01/05/2016,Sunday,Labour Day,Public Holiday
25/05/2016,Wednesday,Africa Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
02/07/2016,Saturday,Lailat al-Qadr,Public Holiday
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
22/07/2016,Friday,Revolution Day,Public Holiday
15/08/2016,Monday,Assumption of Mary,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
12/10/2016,Wednesday,Ashura,Public Holiday
12/12/2016,Monday,The Prophet's Birthday,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
18/02/2017,Saturday,Independence Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
14/04/2017,Friday,Good Friday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Labour Day,Public Holiday
25/05/2017,Thursday,Africa Day,Public Holiday
21/06/2017,Wednesday,Lailat al-Qadr,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,Public Holiday
22/07/2017,Saturday,Revolution Day,Public Holiday
15/08/2017,Tuesday,Assumption of Mary,Public Holiday
02/09/2017,Saturday,Eid al-Adha,Public Holiday
22/09/2017,Friday,September Equinox,Season
01/10/2017,Sunday,Ashura,Public Holiday
01/12/2017,Friday,The Prophet's Birthday,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
18/02/2018,Sunday,Independence Day,Public Holiday
19/02/2018,Monday,Day off for Independence Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
30/03/2018,Friday,Good Friday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
01/05/2018,Tuesday,Labour Day,Public Holiday
25/05/2018,Friday,Africa Day,Public Holiday
10/06/2018,Sunday,Lailat al-Qadr,Public Holiday
15/06/2018,Friday,Eid al-Fitr,Public Holiday
21/06/2018,Thursday,June Solstice,Season
22/07/2018,Sunday,Revolution Day,Public Holiday
15/08/2018,Wednesday,Assumption of Mary,Public Holiday
22/08/2018,Wednesday,Eid al-Adha,Public Holiday
20/09/2018,Thursday,Ashura,Public Holiday
23/09/2018,Sunday,September Equinox,Season
20/11/2018,Tuesday,The Prophet's Birthday holiday,Public Holiday
21/11/2018,Wednesday,The Prophet's Birthday,Public Holiday
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year,Public Holiday
18/02/2019,Monday,Independence Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
19/04/2019,Friday,Good Friday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,Labour Day,Public Holiday
25/05/2019,Saturday,Africa Day,Public Holiday
31/05/2019,Friday,Lailat al-Qadr,Public Holiday
04/06/2019,Tuesday,Eid al-Fitr,Public Holiday
05/06/2019,Wednesday,Eid al-Fitr Holiday,Public Holiday
21/06/2019,Friday,June Solstice,Season
22/07/2019,Monday,Revolution Day,Public Holiday
11/08/2019,Sunday,Eid al-Adha,Public Holiday
12/08/2019,Monday,Day off for Eid al-Adha,Public Holiday
15/08/2019,Thursday,Assumption of Mary,Public Holiday
10/09/2019,Tuesday,Ashura,Public Holiday
23/09/2019,Monday,September Equinox,Season
09/11/2019,Saturday,The Prophet's Birthday,Public Holiday
22/12/2019,Sunday,December Solstice,Season
