Date,Day,Name,Type
01/01/2013,Tuesday,New Year's Day,Public holiday
02/01/2013,Wednesday,New Year's (Day 2),Public holiday
07/01/2013,Monday,Orthodox Christmas Day,Public holiday
19/01/2013,Saturday,Orthodox Epiphany,Public holiday
14/02/2013,Thursday,Valentine's Day,Observance
03/03/2013,Sunday,Mothers' Day,Public holiday
08/03/2013,Friday,International Women's Day,Public holiday
20/03/2013,Wednesday,March Equinox,Season
21/03/2013,Thursday,Nowruz,Observance
09/04/2013,Tuesday,Independence Restoration Day,Public holiday
03/05/2013,Friday,Orthodox Good Friday,Public holiday
04/05/2013,Saturday,Orthodox Holy Saturday,Public holiday
05/05/2013,Sunday,Orthodox Easter Sunday,Public holiday
06/05/2013,Monday,Orthodox Easter Monday,Public holiday
09/05/2013,Thursday,Victory Day,Public holiday
12/05/2013,Sunday,St Andrew's Day,Public holiday
26/05/2013,Sunday,Independence Day,Public holiday
21/06/2013,Friday,June Solstice,Season
28/08/2013,Wednesday,Day of the Assumption of Mary,Public holiday
23/09/2013,Monday,September Equinox,Season
14/10/2013,Monday,Svetitskhovloba,Public holiday
27/10/2013,Sunday,Presidential Election Day,Public holiday
23/11/2013,Saturday,St George's Day,Public holiday
21/12/2013,Saturday,December Solstice,Season
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,Public holiday
02/01/2014,Thursday,New Year's (Day 2),Public holiday
07/01/2014,Tuesday,Orthodox Christmas Day,Public holiday
19/01/2014,Sunday,Orthodox Epiphany,Public holiday
14/02/2014,Friday,Valentine's Day,Observance
03/03/2014,Monday,Mothers' Day,Public holiday
08/03/2014,Saturday,International Women's Day,Public holiday
20/03/2014,Thursday,March Equinox,Season
21/03/2014,Friday,Nowruz,Observance
09/04/2014,Wednesday,Independence Restoration Day,Public holiday
18/04/2014,Friday,Orthodox Good Friday,Public holiday
19/04/2014,Saturday,Orthodox Holy Saturday,Public holiday
20/04/2014,Sunday,Orthodox Easter Sunday,Public holiday
21/04/2014,Monday,Orthodox Easter Monday,Public holiday
09/05/2014,Friday,Victory Day,Public holiday
12/05/2014,Monday,St Andrew's Day,Public holiday
26/05/2014,Monday,Independence Day,Public holiday
21/06/2014,Saturday,June Solstice,Season
28/08/2014,Thursday,Day of the Assumption of Mary,Public holiday
23/09/2014,Tuesday,September Equinox,Season
14/10/2014,Tuesday,Svetitskhovloba,Public holiday
23/11/2014,Sunday,St George's Day,Public holiday
22/12/2014,Monday,December Solstice,Season
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,Public holiday
02/01/2015,Friday,New Year's (Day 2),Public holiday
07/01/2015,Wednesday,Orthodox Christmas Day,Public holiday
19/01/2015,Monday,Orthodox Epiphany,Public holiday
14/02/2015,Saturday,Valentine's Day,Observance
03/03/2015,Tuesday,Mothers' Day,Public holiday
08/03/2015,Sunday,International Women's Day,Public holiday
21/03/2015,Saturday,Nowruz,Observance
21/03/2015,Saturday,March Equinox,Season
09/04/2015,Thursday,Independence Restoration Day,Public holiday
10/04/2015,Friday,Orthodox Good Friday,Public holiday
11/04/2015,Saturday,Orthodox Holy Saturday,Public holiday
12/04/2015,Sunday,Orthodox Easter Sunday,Public holiday
