Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,Epiphany,"Observance, Christian"
06/01/2000,Thursday,Epiphany,Common local holiday
08/01/2000,Saturday,Eid ul Fitr,"Observance, Muslim"
22/01/2000,Saturday,Franco-German Day,Observance
27/01/2000,Thursday,Remembrance Day for the Victims of National Socialism,Observance
14/02/2000,Monday,Valentine's Day,Observance
06/03/2000,Monday,Shrove Monday,Observance
07/03/2000,Tuesday,Carnival Tuesday,Observance
08/03/2000,Wednesday,Carnival / Ash Wednesday,Silent Day
08/03/2000,Wednesday,International Women's Day,Observance
16/03/2000,Thursday,Eid al-Adha,"Observance, Muslim"
17/03/2000,Friday,St. Patrick's Day,"Observance, Christian"
20/03/2000,Monday,March Equinox,Season
26/03/2000,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
15/04/2000,Saturday,Ashura,"Observance, Muslim"
16/04/2000,Sunday,Palm Sunday,"Observance, Christian"
20/04/2000,Thursday,Maundy Thursday,Silent Day
20/04/2000,Thursday,Maundy Thursday,"Observance, Christian"
20/04/2000,Thursday,First Day of Passover,"Observance, Hebrew"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
21/04/2000,Friday,Second Day of Passover,"Observance, Hebrew"
22/04/2000,Saturday,Holy Saturday,Silent Day
23/04/2000,Sunday,Easter Sunday,"Christian, Common local holiday"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
23/04/2000,Sunday,German Beer Day,Observance
24/04/2000,Monday,Easter Monday,"National holiday, Christian"
25/04/2000,Tuesday,Sixth Day of Passover,"Observance, Hebrew"
26/04/2000,Wednesday,Seventh Day of Passover,"Observance, Hebrew"
30/04/2000,Sunday,Walpurgis Night,Observance
01/05/2000,Monday,May Day,National holiday
05/05/2000,Friday,Europe Day (Council of Europe),Observance
08/05/2000,Monday,Anniversary of the End of World War II,Observance
09/05/2000,Tuesday,Europe Day (European Union),Observance
14/05/2000,Sunday,Mother's Day,Observance
23/05/2000,Tuesday,Constitution Day,Observance
01/06/2000,Thursday,Father's Day,Observance
01/06/2000,Thursday,Ascension Day,"National holiday, Christian"
01/06/2000,Thursday,International Childrens' Day,Observance
03/06/2000,Saturday,European Bicycle Day,Observance
09/06/2000,Friday,First Day of Shavuot,"Observance, Hebrew"
10/06/2000,Saturday,Second Day of Shavuot,"Observance, Hebrew"
11/06/2000,Sunday,Whit Sunday,"Christian, Common local holiday"
11/06/2000,Sunday,Whit Sunday,"Observance, Christian"
12/06/2000,Monday,Whit Monday,"National holiday, Christian"
18/06/2000,Sunday,Car-free Sunday,Observance
21/06/2000,Wednesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,"Christian, Common local holiday"
24/06/2000,Saturday,St. John,"Observance, Christian"
29/06/2000,Thursday,St Peter and Paul,"Observance, Christian"
08/08/2000,Tuesday,Peace Festival in Augsburg,Local holiday
15/08/2000,Tuesday,Assumption of Mary,"Observance, Christian"
15/08/2000,Tuesday,Assumption of Mary,"Christian, Common local holiday"
01/09/2000,Friday,Anti War Day,Observance
10/09/2000,Sunday,European Heritage Days,Observance
20/09/2000,Wednesday,German World Children's Day,Observance
22/09/2000,Friday,September Equinox,Season
29/09/2000,Friday,German Sandwich Day,Observance
30/09/2000,Saturday,Rosh Hashana,"Observance, Hebrew"
01/10/2000,Sunday,Harvest Festival,Observance
01/10/2000,Sunday,Second Day of Rosh Hashana,"Observance, Hebrew"
03/10/2000,Tuesday,Day of German Unity,National holiday
09/10/2000,Monday,Yom Kippur,"Observance, Hebrew"
14/10/2000,Saturday,First day of Sukkot,"Observance, Hebrew"
15/10/2000,Sunday,Second Day of Sukkot,"Observance, Hebrew"
19/10/2000,Thursday,Sixth Day of Sukkot,"Observance, Hebrew"
20/10/2000,Friday,Seventh Day of Sukkot,"Observance, Hebrew"
21/10/2000,Saturday,Shemini Atzeret,"Observance, Hebrew"
22/10/2000,Sunday,Simchat Torah,"Observance, Hebrew"
29/10/2000,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
30/10/2000,Monday,World Thrift Day,Observance
31/10/2000,Tuesday,Reformation Day,Common local holiday
31/10/2000,Tuesday,Halloween,Observance
01/11/2000,Wednesday,All Saints' Day,"Observance, Christian"
01/11/2000,Wednesday,All Saints' Day,"Silent Day, public holiday"
02/11/2000,Thursday,All Souls' Day,Silent Day
09/11/2000,Thursday,Night of Broken Glass Remembrance Day,Observance
09/11/2000,Thursday,9th of November,Observance
09/11/2000,Thursday,Fall of the Berlin Wall,Observance
11/11/2000,Saturday,St. Martin's Day,"Observance, Christian"
19/11/2000,Sunday,National Day of Mourning,Silent Day
22/11/2000,Wednesday,Repentance Day,"Christian, Common local holiday"
22/11/2000,Wednesday,Repentance Day,Silent Day
22/11/2000,Wednesday,Repentance Day,"Observance, Christian"
26/11/2000,Sunday,Sunday of the Dead,Silent Day
03/12/2000,Sunday,First Advent Sunday,"Observance, Christian"
06/12/2000,Wednesday,Saint Nicholas Day,"Observance, Christian"
08/12/2000,Friday,Feast of the Immaculate Conception,"Observance, Christian"
