Date,Day,Name,Type
01/01/2014,Wednesday,New Year's Day,Public Holiday
14/02/2014,Friday,Valentine's Day,Observance
10/03/2014,Monday,Commonwealth Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
30/03/2014,Sunday,Mothers' Day,Observance
30/03/2014,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
18/04/2014,Friday,Good Friday,Public Holiday
20/04/2014,Sunday,Easter Sunday,Major Observance
21/04/2014,Monday,Easter Monday,Public Holiday
28/04/2014,Monday,Workers' Memorial Day,Public Holiday
01/05/2014,Thursday,May Day,Public Holiday
26/05/2014,Monday,Spring Bank Holiday,Public Holiday
15/06/2014,Sunday,Father's Day,Observance
16/06/2014,Monday,Queen Elizabeth II's Birthday,Public Holiday
21/06/2014,Saturday,June Solstice,Season
25/08/2014,Monday,Late Summer Bank Holiday,Public Holiday
10/09/2014,Wednesday,Gibraltar Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
26/10/2014,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
31/10/2014,Friday,Halloween,Observance
22/12/2014,Monday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Major Observance
25/12/2014,Thursday,Christmas Day,Public Holiday
26/12/2014,Friday,Boxing Day,Public Holiday
31/12/2014,Wednesday,New Year's Eve,Major Observance
01/01/2015,Thursday,New Year's Day,Public Holiday
02/01/2015,Friday,Second Day of New Year,Government holiday
14/02/2015,Saturday,Valentine's Day,Observance
09/03/2015,Monday,Commonwealth Day,Public Holiday
15/03/2015,Sunday,Mothers' Day,Observance
20/03/2015,Friday,March Equinox,Season
29/03/2015,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
03/04/2015,Friday,Good Friday,Public Holiday
05/04/2015,Sunday,Easter Sunday,Major Observance
06/04/2015,Monday,Easter Monday,Public Holiday
27/04/2015,Monday,Workers' Memorial Day,Public Holiday
01/05/2015,Friday,May Day,Public Holiday
25/05/2015,Monday,Spring Bank Holiday,Public Holiday
