Date,Day,Name,Type
01/01/2019,Tuesday,New Year's Day,Public Holiday
04/03/2019,Monday,Carnival / Shrove Monday,De facto holiday
05/03/2019,Tuesday,Carnival / Shrove Tuesday / Pancake Day,De facto holiday
06/03/2019,Wednesday,Carnival / Ash Wednesday,De facto holiday
28/03/2019,Thursday,Mid Lent Thursday,De facto holiday
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,Labor Day / May Day,Public Holiday
08/05/2019,Wednesday,WWII Victory Day,Public Holiday
27/05/2019,Monday,Abolition Day,Public Holiday
30/05/2019,Thursday,Ascension Day,Public Holiday
09/06/2019,Sunday,Whit Sunday,Observance
10/06/2019,Monday,Whit Monday,Public Holiday
14/07/2019,Sunday,Bastille Day,Public Holiday
15/08/2019,Thursday,Assumption of Mary,Public Holiday
01/11/2019,Friday,All Saints' Day,Public Holiday
11/11/2019,Monday,Armistice Day,Public Holiday
24/12/2019,Tuesday,Christmas Eve,Observance
25/12/2019,Wednesday,Christmas Day,Public Holiday
31/12/2019,Tuesday,New Year's Eve,Observance
01/01/2020,Wednesday,New Year's Day,Public Holiday
24/02/2020,Monday,Carnival / Shrove Monday,De facto holiday
25/02/2020,Tuesday,Carnival / Shrove Tuesday / Pancake Day,De facto holiday
26/02/2020,Wednesday,Carnival / Ash Wednesday,De facto holiday
19/03/2020,Thursday,Mid Lent Thursday,De facto holiday
13/04/2020,Monday,Easter Monday,Public Holiday
01/05/2020,Friday,Labor Day / May Day,Public Holiday
08/05/2020,Friday,WWII Victory Day,Public Holiday
21/05/2020,Thursday,Ascension Day,Public Holiday
27/05/2020,Wednesday,Abolition Day,Public Holiday
31/05/2020,Sunday,Whit Sunday,Observance
01/06/2020,Monday,Whit Monday,Public Holiday
14/07/2020,Tuesday,Bastille Day,Public Holiday
15/08/2020,Saturday,Assumption of Mary,Public Holiday
01/11/2020,Sunday,All Saints' Day,Public Holiday
11/11/2020,Wednesday,Armistice Day,Public Holiday
24/12/2020,Thursday,Christmas Eve,Observance
25/12/2020,Friday,Christmas Day,Public Holiday
31/12/2020,Thursday,New Year's Eve,Observance
01/01/2021,Friday,New Year's Day,Public Holiday
15/02/2021,Monday,Carnival / Shrove Monday,De facto holiday
16/02/2021,Tuesday,Carnival / Shrove Tuesday / Pancake Day,De facto holiday
17/02/2021,Wednesday,Carnival / Ash Wednesday,De facto holiday
11/03/2021,Thursday,Mid Lent Thursday,De facto holiday
05/04/2021,Monday,Easter Monday,Public Holiday
01/05/2021,Saturday,Labor Day / May Day,Public Holiday
08/05/2021,Saturday,WWII Victory Day,Public Holiday
13/05/2021,Thursday,Ascension Day,Public Holiday
23/05/2021,Sunday,Whit Sunday,Observance
24/05/2021,Monday,Whit Monday,Public Holiday
27/05/2021,Thursday,Abolition Day,Public Holiday
14/07/2021,Wednesday,Bastille Day,Public Holiday
15/08/2021,Sunday,Assumption of Mary,Public Holiday
01/11/2021,Monday,All Saints' Day,Public Holiday
11/11/2021,Thursday,Armistice Day,Public Holiday
24/12/2021,Friday,Christmas Eve,Observance
25/12/2021,Saturday,Christmas Day,Public Holiday
31/12/2021,Friday,New Year's Eve,Observance
01/01/2022,Saturday,New Year's Day,Public Holiday
28/02/2022,Monday,Carnival / Shrove Monday,De facto holiday
01/03/2022,Tuesday,Carnival / Shrove Tuesday / Pancake Day,De facto holiday
02/03/2022,Wednesday,Carnival / Ash Wednesday,De facto holiday
24/03/2022,Thursday,Mid Lent Thursday,De facto holiday
18/04/2022,Monday,Easter Monday,Public Holiday
01/05/2022,Sunday,Labor Day / May Day,Public Holiday
08/05/2022,Sunday,WWII Victory Day,Public Holiday
26/05/2022,Thursday,Ascension Day,Public Holiday
27/05/2022,Friday,Abolition Day,Public Holiday
05/06/2022,Sunday,Whit Sunday,Observance
06/06/2022,Monday,Whit Monday,Public Holiday
14/07/2022,Thursday,Bastille Day,Public Holiday
15/08/2022,Monday,Assumption of Mary,Public Holiday
01/11/2022,Tuesday,All Saints' Day,Public Holiday
11/11/2022,Friday,Armistice Day,Public Holiday
24/12/2022,Saturday,Christmas Eve,Observance
25/12/2022,Sunday,Christmas Day,Public Holiday
31/12/2022,Saturday,New Year's Eve,Observance
