Date,Day,Name,Type
01/01/2000,Saturday,New Year,Public Holiday
17/01/2000,Monday,Martin Luther King Jr. Day,Public Holiday
21/02/2000,Monday,President's Day,Public Holiday
06/03/2000,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2000,Monday,March Equinox,Season
22/05/2000,Monday,Memorial Day,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
04/07/2000,Tuesday,Independence Day,Public Holiday
21/07/2000,Friday,Liberation Day,Public Holiday
04/09/2000,Monday,Labor Day,Public Holiday
23/09/2000,Saturday,September Equinox,Season
09/10/2000,Monday,Columbus Day,Public Holiday
02/11/2000,Thursday,All Souls' Day,Public Holiday
10/11/2000,Friday,Veterans Day observed,Public Holiday
11/11/2000,Saturday,Veterans Day,Public Holiday
23/11/2000,Thursday,Thanksgiving,Public Holiday
08/12/2000,Friday,Santa Marian Kamalen Day,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
01/01/2001,Monday,New Year,Public Holiday
15/01/2001,Monday,Martin Luther King Jr. Day,Public Holiday
19/02/2001,Monday,President's Day,Public Holiday
05/03/2001,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
28/05/2001,Monday,Memorial Day,Public Holiday
21/06/2001,Thursday,June Solstice,Season
04/07/2001,Wednesday,Independence Day,Public Holiday
20/07/2001,Friday,Liberation Day observed,Public Holiday
21/07/2001,Saturday,Liberation Day,Public Holiday
03/09/2001,Monday,Labor Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
08/10/2001,Monday,Columbus Day,Public Holiday
02/11/2001,Friday,All Souls' Day,Public Holiday
11/11/2001,Sunday,Veterans Day,Public Holiday
12/11/2001,Monday,Veterans Day observed,Public Holiday
22/11/2001,Thursday,Thanksgiving,Public Holiday
07/12/2001,Friday,Santa Marian Kamalen Day observed,Public Holiday
08/12/2001,Saturday,Santa Marian Kamalen Day,Public Holiday
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
01/01/2002,Tuesday,New Year,Public Holiday
21/01/2002,Monday,Martin Luther King Jr. Day,Public Holiday
18/02/2002,Monday,President's Day,Public Holiday
04/03/2002,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2002,Thursday,March Equinox,Season
27/05/2002,Monday,Memorial Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
04/07/2002,Thursday,Independence Day,Public Holiday
21/07/2002,Sunday,Liberation Day,Public Holiday
22/07/2002,Monday,Liberation Day observed,Public Holiday
02/09/2002,Monday,Labor Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
14/10/2002,Monday,Columbus Day,Public Holiday
01/11/2002,Friday,All Souls' Day observed,Public Holiday
02/11/2002,Saturday,All Souls' Day,Public Holiday
11/11/2002,Monday,Veterans Day,Public Holiday
28/11/2002,Thursday,Thanksgiving,Public Holiday
08/12/2002,Sunday,Santa Marian Kamalen Day,Public Holiday
09/12/2002,Monday,Santa Marian Kamalen Day observed,Public Holiday
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
01/01/2003,Wednesday,New Year,Public Holiday
20/01/2003,Monday,Martin Luther King Jr. Day,Public Holiday
17/02/2003,Monday,President's Day,Public Holiday
03/03/2003,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2003,Friday,March Equinox,Season
26/05/2003,Monday,Memorial Day,Public Holiday
22/06/2003,Sunday,June Solstice,Season
04/07/2003,Friday,Independence Day,Public Holiday
21/07/2003,Monday,Liberation Day,Public Holiday
01/09/2003,Monday,Labor Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
13/10/2003,Monday,Columbus Day,Public Holiday
02/11/2003,Sunday,All Souls' Day,Public Holiday
03/11/2003,Monday,All Souls' Day observed,Public Holiday
11/11/2003,Tuesday,Veterans Day,Public Holiday
27/11/2003,Thursday,Thanksgiving,Public Holiday
08/12/2003,Monday,Santa Marian Kamalen Day,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
01/01/2004,Thursday,New Year,Public Holiday
19/01/2004,Monday,Martin Luther King Jr. Day,Public Holiday
16/02/2004,Monday,President's Day,Public Holiday
01/03/2004,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2004,Saturday,March Equinox,Season
24/05/2004,Monday,Memorial Day,Public Holiday
21/06/2004,Monday,June Solstice,Season
04/07/2004,Sunday,Independence Day,Public Holiday
05/07/2004,Monday,Independence Day observed,Public Holiday
21/07/2004,Wednesday,Liberation Day,Public Holiday
06/09/2004,Monday,Labor Day,Public Holiday
23/09/2004,Thursday,September Equinox,Season
11/10/2004,Monday,Columbus Day,Public Holiday
02/11/2004,Tuesday,All Souls' Day,Public Holiday
11/11/2004,Thursday,Veterans Day,Public Holiday
25/11/2004,Thursday,Thanksgiving,Public Holiday
08/12/2004,Wednesday,Santa Marian Kamalen Day,Public Holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Day observed,Public Holiday
25/12/2004,Saturday,Christmas Day,Public Holiday
31/12/2004,Friday,New Year observed,Public Holiday
01/01/2005,Saturday,New Year,Public Holiday
17/01/2005,Monday,Martin Luther King Jr. Day,Public Holiday
21/02/2005,Monday,President's Day,Public Holiday
07/03/2005,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2005,Sunday,March Equinox,Season
23/05/2005,Monday,Memorial Day,Public Holiday
21/06/2005,Tuesday,June Solstice,Season
04/07/2005,Monday,Independence Day,Public Holiday
21/07/2005,Thursday,Liberation Day,Public Holiday
05/09/2005,Monday,Labor Day,Public Holiday
23/09/2005,Friday,September Equinox,Season
10/10/2005,Monday,Columbus Day,Public Holiday
02/11/2005,Wednesday,All Souls' Day,Public Holiday
11/11/2005,Friday,Veterans Day,Public Holiday
24/11/2005,Thursday,Thanksgiving,Public Holiday
08/12/2005,Thursday,Santa Marian Kamalen Day,Public Holiday
22/12/2005,Thursday,December Solstice,Season
25/12/2005,Sunday,Christmas Day,Public Holiday
26/12/2005,Monday,Christmas Day observed,Public Holiday
01/01/2006,Sunday,New Year,Public Holiday
02/01/2006,Monday,New Year observed,Public Holiday
16/01/2006,Monday,Martin Luther King Jr. Day,Public Holiday
20/02/2006,Monday,President's Day,Public Holiday
06/03/2006,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2006,Tuesday,March Equinox,Season
22/05/2006,Monday,Memorial Day,Public Holiday
21/06/2006,Wednesday,June Solstice,Season
04/07/2006,Tuesday,Independence Day,Public Holiday
21/07/2006,Friday,Liberation Day,Public Holiday
04/09/2006,Monday,Labor Day,Public Holiday
23/09/2006,Saturday,September Equinox,Season
09/10/2006,Monday,Columbus Day,Public Holiday
02/11/2006,Thursday,All Souls' Day,Public Holiday
10/11/2006,Friday,Veterans Day observed,Public Holiday
11/11/2006,Saturday,Veterans Day,Public Holiday
23/11/2006,Thursday,Thanksgiving,Public Holiday
08/12/2006,Friday,Santa Marian Kamalen Day,Public Holiday
22/12/2006,Friday,December Solstice,Season
25/12/2006,Monday,Christmas Day,Public Holiday
01/01/2007,Monday,New Year,Public Holiday
15/01/2007,Monday,Martin Luther King Jr. Day,Public Holiday
19/02/2007,Monday,President's Day,Public Holiday
05/03/2007,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2007,Wednesday,March Equinox,Season
28/05/2007,Monday,Memorial Day,Public Holiday
22/06/2007,Friday,June Solstice,Season
04/07/2007,Wednesday,Independence Day,Public Holiday
20/07/2007,Friday,Liberation Day observed,Public Holiday
21/07/2007,Saturday,Liberation Day,Public Holiday
03/09/2007,Monday,Labor Day,Public Holiday
23/09/2007,Sunday,September Equinox,Season
08/10/2007,Monday,Columbus Day,Public Holiday
02/11/2007,Friday,All Souls' Day,Public Holiday
11/11/2007,Sunday,Veterans Day,Public Holiday
12/11/2007,Monday,Veterans Day observed,Public Holiday
22/11/2007,Thursday,Thanksgiving,Public Holiday
07/12/2007,Friday,Santa Marian Kamalen Day observed,Public Holiday
08/12/2007,Saturday,Santa Marian Kamalen Day,Public Holiday
22/12/2007,Saturday,December Solstice,Season
25/12/2007,Tuesday,Christmas Day,Public Holiday
01/01/2008,Tuesday,New Year,Public Holiday
21/01/2008,Monday,Martin Luther King Jr. Day,Public Holiday
18/02/2008,Monday,President's Day,Public Holiday
03/03/2008,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2008,Thursday,March Equinox,Season
26/05/2008,Monday,Memorial Day,Public Holiday
21/06/2008,Saturday,June Solstice,Season
04/07/2008,Friday,Independence Day,Public Holiday
21/07/2008,Monday,Liberation Day,Public Holiday
01/09/2008,Monday,Labor Day,Public Holiday
23/09/2008,Tuesday,September Equinox,Season
13/10/2008,Monday,Columbus Day,Public Holiday
02/11/2008,Sunday,All Souls' Day,Public Holiday
03/11/2008,Monday,All Souls' Day observed,Public Holiday
11/11/2008,Tuesday,Veterans Day,Public Holiday
27/11/2008,Thursday,Thanksgiving,Public Holiday
08/12/2008,Monday,Santa Marian Kamalen Day,Public Holiday
21/12/2008,Sunday,December Solstice,Season
25/12/2008,Thursday,Christmas Day,Public Holiday
01/01/2009,Thursday,New Year,Public Holiday
19/01/2009,Monday,Martin Luther King Jr. Day,Public Holiday
16/02/2009,Monday,President's Day,Public Holiday
02/03/2009,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2009,Friday,March Equinox,Season
25/05/2009,Monday,Memorial Day,Public Holiday
21/06/2009,Sunday,June Solstice,Season
03/07/2009,Friday,Independence Day observed,Public Holiday
04/07/2009,Saturday,Independence Day,Public Holiday
21/07/2009,Tuesday,Liberation Day,Public Holiday
07/09/2009,Monday,Labor Day,Public Holiday
23/09/2009,Wednesday,September Equinox,Season
12/10/2009,Monday,Columbus Day,Public Holiday
02/11/2009,Monday,All Souls' Day,Public Holiday
11/11/2009,Wednesday,Veterans Day,Public Holiday
26/11/2009,Thursday,Thanksgiving,Public Holiday
08/12/2009,Tuesday,Santa Marian Kamalen Day,Public Holiday
22/12/2009,Tuesday,December Solstice,Season
25/12/2009,Friday,Christmas Day,Public Holiday
01/01/2010,Friday,New Year,Public Holiday
18/01/2010,Monday,Martin Luther King Jr. Day,Public Holiday
15/02/2010,Monday,President's Day,Public Holiday
01/03/2010,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2010,Sunday,March Equinox,Season
24/05/2010,Monday,Memorial Day,Public Holiday
21/06/2010,Monday,June Solstice,Season
04/07/2010,Sunday,Independence Day,Public Holiday
05/07/2010,Monday,Independence Day observed,Public Holiday
21/07/2010,Wednesday,Liberation Day,Public Holiday
06/09/2010,Monday,Labor Day,Public Holiday
23/09/2010,Thursday,September Equinox,Season
11/10/2010,Monday,Columbus Day,Public Holiday
02/11/2010,Tuesday,All Souls' Day,Public Holiday
11/11/2010,Thursday,Veterans Day,Public Holiday
25/11/2010,Thursday,Thanksgiving,Public Holiday
08/12/2010,Wednesday,Santa Marian Kamalen Day,Public Holiday
22/12/2010,Wednesday,December Solstice,Season
24/12/2010,Friday,Christmas Day observed,Public Holiday
25/12/2010,Saturday,Christmas Day,Public Holiday
31/12/2010,Friday,New Year observed,Public Holiday
01/01/2011,Saturday,New Year,Public Holiday
17/01/2011,Monday,Martin Luther King Jr. Day,Public Holiday
21/02/2011,Monday,President's Day,Public Holiday
07/03/2011,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2011,Monday,March Equinox,Season
23/05/2011,Monday,Memorial Day,Public Holiday
22/06/2011,Wednesday,June Solstice,Season
04/07/2011,Monday,Independence Day,Public Holiday
21/07/2011,Thursday,Liberation Day,Public Holiday
05/09/2011,Monday,Labor Day,Public Holiday
23/09/2011,Friday,September Equinox,Season
10/10/2011,Monday,Columbus Day,Public Holiday
02/11/2011,Wednesday,All Souls' Day,Public Holiday
11/11/2011,Friday,Veterans Day,Public Holiday
24/11/2011,Thursday,Thanksgiving,Public Holiday
08/12/2011,Thursday,Santa Marian Kamalen Day,Public Holiday
22/12/2011,Thursday,December Solstice,Season
25/12/2011,Sunday,Christmas Day,Public Holiday
26/12/2011,Monday,Christmas Day observed,Public Holiday
01/01/2012,Sunday,New Year,Public Holiday
02/01/2012,Monday,New Year observed,Public Holiday
16/01/2012,Monday,Martin Luther King Jr. Day,Public Holiday
20/02/2012,Monday,President's Day,Public Holiday
05/03/2012,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2012,Tuesday,March Equinox,Season
28/05/2012,Monday,Memorial Day,Public Holiday
21/06/2012,Thursday,June Solstice,Season
04/07/2012,Wednesday,Independence Day,Public Holiday
20/07/2012,Friday,Liberation Day observed,Public Holiday
21/07/2012,Saturday,Liberation Day,Public Holiday
03/09/2012,Monday,Labor Day,Public Holiday
23/09/2012,Sunday,September Equinox,Season
08/10/2012,Monday,Columbus Day,Public Holiday
02/11/2012,Friday,All Souls' Day,Public Holiday
11/11/2012,Sunday,Veterans Day,Public Holiday
12/11/2012,Monday,Veterans Day observed,Public Holiday
22/11/2012,Thursday,Thanksgiving,Public Holiday
07/12/2012,Friday,Santa Marian Kamalen Day observed,Public Holiday
08/12/2012,Saturday,Santa Marian Kamalen Day,Public Holiday
21/12/2012,Friday,December Solstice,Season
25/12/2012,Tuesday,Christmas Day,Public Holiday
01/01/2013,Tuesday,New Year,Public Holiday
21/01/2013,Monday,Martin Luther King Jr. Day,Public Holiday
18/02/2013,Monday,President's Day,Public Holiday
04/03/2013,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2013,Wednesday,March Equinox,Season
27/05/2013,Monday,Memorial Day,Public Holiday
21/06/2013,Friday,June Solstice,Season
04/07/2013,Thursday,Independence Day,Public Holiday
21/07/2013,Sunday,Liberation Day,Public Holiday
22/07/2013,Monday,Liberation Day observed,Public Holiday
02/09/2013,Monday,Labor Day,Public Holiday
23/09/2013,Monday,September Equinox,Season
14/10/2013,Monday,Columbus Day,Public Holiday
01/11/2013,Friday,All Souls' Day observed,Public Holiday
02/11/2013,Saturday,All Souls' Day,Public Holiday
11/11/2013,Monday,Veterans Day,Public Holiday
28/11/2013,Thursday,Thanksgiving,Public Holiday
08/12/2013,Sunday,Santa Marian Kamalen Day,Public Holiday
09/12/2013,Monday,Santa Marian Kamalen Day observed,Public Holiday
22/12/2013,Sunday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Public Holiday
01/01/2014,Wednesday,New Year,Public Holiday
20/01/2014,Monday,Martin Luther King Jr. Day,Public Holiday
17/02/2014,Monday,President's Day,Public Holiday
03/03/2014,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2014,Friday,March Equinox,Season
26/05/2014,Monday,Memorial Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
04/07/2014,Friday,Independence Day,Public Holiday
21/07/2014,Monday,Liberation Day,Public Holiday
01/09/2014,Monday,Labor Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
13/10/2014,Monday,Columbus Day,Public Holiday
02/11/2014,Sunday,All Souls' Day,Public Holiday
03/11/2014,Monday,All Souls' Day observed,Public Holiday
11/11/2014,Tuesday,Veterans Day,Public Holiday
27/11/2014,Thursday,Thanksgiving,Public Holiday
08/12/2014,Monday,Santa Marian Kamalen Day,Public Holiday
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
19/01/2015,Monday,Martin Luther King Jr. Day,Public Holiday
16/02/2015,Monday,President's Day,Public Holiday
02/03/2015,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2015,Saturday,March Equinox,Season
25/05/2015,Monday,Memorial Day,Public Holiday
22/06/2015,Monday,June Solstice,Season
03/07/2015,Friday,Independence Day observed,Public Holiday
04/07/2015,Saturday,Independence Day,Public Holiday
21/07/2015,Tuesday,Liberation Day,Public Holiday
07/09/2015,Monday,Labor Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
12/10/2015,Monday,Columbus Day,Public Holiday
02/11/2015,Monday,All Souls' Day,Public Holiday
11/11/2015,Wednesday,Veterans Day,Public Holiday
26/11/2015,Thursday,Thanksgiving,Public Holiday
08/12/2015,Tuesday,Santa Marian Kamalen Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
18/01/2016,Monday,Martin Luther King Jr. Day,Public Holiday
15/02/2016,Monday,President's Day,Public Holiday
07/03/2016,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
23/05/2016,Monday,Memorial Day,Public Holiday
21/06/2016,Tuesday,June Solstice,Season
04/07/2016,Monday,Independence Day,Public Holiday
21/07/2016,Thursday,Liberation Day,Public Holiday
05/09/2016,Monday,Labor Day,Public Holiday
23/09/2016,Friday,September Equinox,Season
10/10/2016,Monday,Columbus Day,Public Holiday
02/11/2016,Wednesday,All Souls' Day,Public Holiday
11/11/2016,Friday,Veterans Day,Public Holiday
24/11/2016,Thursday,Thanksgiving,Public Holiday
08/12/2016,Thursday,Santa Marian Kamalen Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
26/12/2016,Monday,Christmas Day observed,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
02/01/2017,Monday,New Year observed,Public Holiday
16/01/2017,Monday,Martin Luther King Jr. Day,Public Holiday
20/02/2017,Monday,President's Day,Public Holiday
06/03/2017,Monday,Guam History and Chamorro Heritage Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
29/05/2017,Monday,Memorial Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
04/07/2017,Tuesday,Independence Day,Public Holiday
21/07/2017,Friday,Liberation Day,Public Holiday
04/09/2017,Monday,Labor Day,Public Holiday
23/09/2017,Saturday,September Equinox,Season
09/10/2017,Monday,Columbus Day,Public Holiday
02/11/2017,Thursday,All Souls' Day,Public Holiday
10/11/2017,Friday,Veterans Day observed,Public Holiday
11/11/2017,Saturday,Veterans Day,Public Holiday
23/11/2017,Thursday,Thanksgiving,Public Holiday
08/12/2017,Friday,Santa Marian Kamalen Day,Public Holiday
22/12/2017,Friday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year,Public Holiday
15/01/2018,Monday,Martin Luther King Jr. Day,Public Holiday
05/03/2018,Monday,Guam History and Chamorro Heritage Day,Public Holiday
21/03/2018,Wednesday,March Equinox,Season
28/05/2018,Monday,Memorial Day,Public Holiday
21/06/2018,Thursday,June Solstice,Season
04/07/2018,Wednesday,Independence Day,Public Holiday
20/07/2018,Friday,Liberation Day observed,Public Holiday
21/07/2018,Saturday,Liberation Day,Public Holiday
03/09/2018,Monday,Labor Day,Public Holiday
23/09/2018,Sunday,September Equinox,Season
02/11/2018,Friday,All Souls' Day,Public Holiday
11/11/2018,Sunday,Veterans Day,Public Holiday
12/11/2018,Monday,Veterans Day observed,Public Holiday
22/11/2018,Thursday,Thanksgiving,Public Holiday
