Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
20/03/2000,Monday,March Equinox,Season
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Easter Saturday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,"Observance, Christian"
24/04/2000,Monday,Easter Monday,"Observance, Christian"
01/05/2000,Monday,Labor Day,National holiday
20/06/2000,Tuesday,June Solstice,Season
30/06/2000,Friday,Army Day Holiday,National holiday
15/08/2000,Tuesday,Assumption of Mary (Guatemala City only),Municipal holiday
15/09/2000,Friday,Independence Day,National holiday
22/09/2000,Friday,September Equinox,Season
12/10/2000,Thursday,Dia de la raza,National holiday
20/10/2000,Friday,Revolution of 1944,National holiday
01/11/2000,Wednesday,All Saints' Day,"National holiday, Christian"
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Half day holiday
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Half day holiday
01/01/2001,Monday,New Year's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Easter Saturday,"National holiday, Christian"
15/04/2001,Sunday,Easter Sunday,"Observance, Christian"
16/04/2001,Monday,Easter Monday,"Observance, Christian"
01/05/2001,Tuesday,Labor Day,National holiday
21/06/2001,Thursday,June Solstice,Season
30/06/2001,Saturday,Army Day Holiday,National holiday
15/08/2001,Wednesday,Assumption of Mary (Guatemala City only),Municipal holiday
15/09/2001,Saturday,Independence Day,National holiday
22/09/2001,Saturday,September Equinox,Season
12/10/2001,Friday,Dia de la raza,National holiday
20/10/2001,Saturday,Revolution of 1944,National holiday
01/11/2001,Thursday,All Saints' Day,"National holiday, Christian"
21/12/2001,Friday,December Solstice,Season
