Date,Day,Name,Type
01/01/2014,Wednesday,New Year,Public Holiday
20/01/2014,Monday,Heroes Day,Public Holiday
08/03/2014,Saturday,International Women's Day,Public Holiday
20/03/2014,Thursday,March Equinox,Season
01/05/2014,Thursday,Labour Day,Public Holiday
21/06/2014,Saturday,June Solstice,Season
29/07/2014,Tuesday,Eid al-Fitr,Public Holiday
03/08/2014,Sunday,Martyrs' Day,Public Holiday
23/09/2014,Tuesday,September Equinox,Season
24/09/2014,Wednesday,Independence Day (National Day),Public Holiday
05/10/2014,Sunday,Eid al-Adha,Public Holiday
14/11/2014,Friday,Readjustment Movement Day,Public Holiday
21/12/2014,Sunday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Public Holiday
01/01/2015,Thursday,New Year,Public Holiday
20/01/2015,Tuesday,Heroes Day,Public Holiday
08/03/2015,Sunday,International Women's Day,Public Holiday
20/03/2015,Friday,March Equinox,Season
01/05/2015,Friday,Labour Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
03/08/2015,Monday,Martyrs' Day,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
24/09/2015,Thursday,Independence Day (National Day),Public Holiday
14/11/2015,Saturday,Readjustment Movement Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year,Public Holiday
20/01/2016,Wednesday,Heroes Day,Public Holiday
08/03/2016,Tuesday,International Women's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
01/05/2016,Sunday,Labour Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
03/08/2016,Wednesday,Martyrs' Day,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
24/09/2016,Saturday,Independence Day (National Day),Public Holiday
14/11/2016,Monday,Readjustment Movement Day,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year,Public Holiday
20/01/2017,Friday,Heroes Day,Public Holiday
08/03/2017,Wednesday,International Women's Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
01/05/2017,Monday,Labour Day,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,Public Holiday
