Date,Day,Name,Type
01/01/2015,Thursday,New Year's Day,Public Holiday
03/01/2015,Saturday,The Prophet's Birthday,Public Holiday
20/03/2015,Friday,March Equinox,Season
03/04/2015,Friday,Second Republic Day,Public Holiday
06/04/2015,Monday,Easter Monday,Public Holiday
01/05/2015,Friday,Labour Day,Public Holiday
25/05/2015,Monday,Africa Day,Public Holiday
21/06/2015,Sunday,June Solstice,Season
13/07/2015,Monday,Lailat al-Qadr,Public Holiday
18/07/2015,Saturday,Eid al-Fitr,Public Holiday
15/08/2015,Saturday,Assumption of Mary,Public Holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,Public Holiday
02/10/2015,Friday,Independence Day,Public Holiday
01/11/2015,Sunday,All Saints' Day,Public Holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,Public Holiday
25/12/2015,Friday,Christmas Day,Public Holiday
01/01/2016,Friday,New Year's Day,Public Holiday
20/03/2016,Sunday,March Equinox,Season
28/03/2016,Monday,Easter Monday,Public Holiday
03/04/2016,Sunday,Second Republic Day,Public Holiday
01/05/2016,Sunday,Labour Day,Public Holiday
25/05/2016,Wednesday,Africa Day,Public Holiday
20/06/2016,Monday,June Solstice,Season
02/07/2016,Saturday,Lailat al-Qadr,Public Holiday
07/07/2016,Thursday,Eid al-Fitr,Public Holiday
15/08/2016,Monday,Assumption of Mary,Public Holiday
13/09/2016,Tuesday,Eid al-Adha,Public Holiday
22/09/2016,Thursday,September Equinox,Season
02/10/2016,Sunday,Independence Day,Public Holiday
01/11/2016,Tuesday,All Saints' Day,Public Holiday
12/12/2016,Monday,The Prophet's Birthday,Public Holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Public Holiday
01/01/2017,Sunday,New Year's Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
03/04/2017,Monday,Second Republic Day,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Labour Day,Public Holiday
25/05/2017,Thursday,Africa Day,Public Holiday
21/06/2017,Wednesday,Lailat al-Qadr,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,Public Holiday
15/08/2017,Tuesday,Assumption of Mary,Public Holiday
02/09/2017,Saturday,Eid al-Adha,Public Holiday
22/09/2017,Friday,September Equinox,Season
02/10/2017,Monday,Independence Day,Public Holiday
01/11/2017,Wednesday,All Saints' Day,Public Holiday
01/12/2017,Friday,The Prophet's Birthday,Public Holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
01/01/2018,Monday,New Year's Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
02/04/2018,Monday,Easter Monday,Public Holiday
03/04/2018,Tuesday,Second Republic Day,Public Holiday
01/05/2018,Tuesday,Labour Day,Public Holiday
25/05/2018,Friday,Africa Day,Public Holiday
12/06/2018,Tuesday,Lailat al-Qadr,Public Holiday
15/06/2018,Friday,Eid al-Fitr,Public Holiday
21/06/2018,Thursday,June Solstice,Season
15/08/2018,Wednesday,Assumption of Mary,Public Holiday
22/08/2018,Wednesday,Eid al-Adha,Public Holiday
23/09/2018,Sunday,September Equinox,Season
02/10/2018,Tuesday,Independence Day,Public Holiday
01/11/2018,Thursday,All Saints' Day,Public Holiday
20/11/2018,Tuesday,The Prophet's Birthday,Public Holiday
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
01/01/2019,Tuesday,New Year's Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
03/04/2019,Wednesday,Second Republic Day,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
01/05/2019,Wednesday,Labour Day,Public Holiday
25/05/2019,Saturday,Africa Day,Public Holiday
31/05/2019,Friday,Lailat al-Qadr,Public Holiday
04/06/2019,Tuesday,Eid al-Fitr,Public Holiday
21/06/2019,Friday,June Solstice,Season
11/08/2019,Sunday,Eid al-Adha,Public Holiday
15/08/2019,Thursday,Assumption of Mary,Public Holiday
23/09/2019,Monday,September Equinox,Season
02/10/2019,Wednesday,Independence Day,Public Holiday
01/11/2019,Friday,All Saints' Day,Public Holiday
10/11/2019,Sunday,The Prophet's Birthday,Public Holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
01/01/2020,Wednesday,New Year's Day,Public Holiday
20/03/2020,Friday,March Equinox,Season
03/04/2020,Friday,Second Republic Day,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
01/05/2020,Friday,Labour Day,Public Holiday
19/05/2020,Tuesday,Lailat al-Qadr,Public Holiday
24/05/2020,Sunday,Eid al-Fitr,Public Holiday
25/05/2020,Monday,Africa Day,Public Holiday
20/06/2020,Saturday,June Solstice,Season
31/07/2020,Friday,Eid al-Adha,Public Holiday
15/08/2020,Saturday,Assumption of Mary,Public Holiday
22/09/2020,Tuesday,September Equinox,Season
02/10/2020,Friday,Independence Day,Public Holiday
29/10/2020,Thursday,The Prophet's Birthday,Public Holiday
01/11/2020,Sunday,All Saints' Day,Public Holiday
21/12/2020,Monday,December Solstice,Season
25/12/2020,Friday,Christmas Day,Public Holiday
01/01/2021,Friday,New Year's Day,Public Holiday
20/03/2021,Saturday,March Equinox,Season
03/04/2021,Saturday,Second Republic Day,Public Holiday
05/04/2021,Monday,Easter Monday,Public Holiday
01/05/2021,Saturday,Labour Day,Public Holiday
09/05/2021,Sunday,Lailat al-Qadr,Public Holiday
10/05/2021,Monday,Day off for Lailat al-Qadr,Public Holiday
13/05/2021,Thursday,Eid al-Fitr,Public Holiday
25/05/2021,Tuesday,Africa Day,Public Holiday
21/06/2021,Monday,June Solstice,Season
20/07/2021,Tuesday,Eid al-Adha,Public Holiday
15/08/2021,Sunday,Assumption of Mary,Public Holiday
16/08/2021,Monday,Day off for Assumption of Mary,Public Holiday
22/09/2021,Wednesday,September Equinox,Season
01/10/2021,Friday,Public Holiday,Public Holiday
