Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day Holiday,Public Holiday
23/02/2000,Wednesday,Mashramani (Republic Day),Public Holiday
16/03/2000,Thursday,Eid al-Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
21/04/2000,Friday,Good Friday,Public Holiday
24/04/2000,Monday,Easter Monday,Public Holiday
01/05/2000,Monday,Labor Day / May Day,Public Holiday
05/05/2000,Friday,Arrival Day,Public Holiday
26/05/2000,Friday,Independence Day,Public Holiday
15/06/2000,Thursday,Youman-Nabi (Mawlid),Public Holiday
20/06/2000,Tuesday,June Solstice,Season
03/07/2000,Monday,CARICOM Day,Public Holiday
01/08/2000,Tuesday,Emancipation Day,Public Holiday
22/09/2000,Friday,September Equinox,Season
30/10/2000,Monday,Deepavali,Public Holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,Public Holiday
26/12/2000,Tuesday,Boxing Day,Public Holiday
01/01/2001,Monday,New Year's Day Holiday,Public Holiday
23/02/2001,Friday,Mashramani (Republic Day),Public Holiday
06/03/2001,Tuesday,Eid al-Adha,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
13/04/2001,Friday,Good Friday,Public Holiday
16/04/2001,Monday,Easter Monday,Public Holiday
01/05/2001,Tuesday,Labor Day / May Day,Public Holiday
05/05/2001,Saturday,Arrival Day,Public Holiday
26/05/2001,Saturday,Independence Day,Public Holiday
04/06/2001,Monday,Youman-Nabi (Mawlid),Public Holiday
21/06/2001,Thursday,June Solstice,Season
02/07/2001,Monday,CARICOM Day,Public Holiday
01/08/2001,Wednesday,Emancipation Day,Public Holiday
22/09/2001,Saturday,September Equinox,Season
30/10/2001,Tuesday,Deepavali,Public Holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,Public Holiday
26/12/2001,Wednesday,Boxing Day,Public Holiday
01/01/2002,Tuesday,New Year's Day Holiday,Public Holiday
23/02/2002,Saturday,Eid al-Adha,Public Holiday
23/02/2002,Saturday,Mashramani (Republic Day),Public Holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
01/04/2002,Monday,Easter Monday,Public Holiday
01/05/2002,Wednesday,Labor Day / May Day,Public Holiday
05/05/2002,Sunday,Arrival Day,Public Holiday
06/05/2002,Monday,Day off for Arrival Day,Public Holiday
24/05/2002,Friday,Youman-Nabi (Mawlid),Public Holiday
26/05/2002,Sunday,Independence Day,Public Holiday
27/05/2002,Monday,Day off for Independence Day,Public Holiday
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,CARICOM Day,Public Holiday
01/08/2002,Thursday,Emancipation Day,Public Holiday
23/09/2002,Monday,September Equinox,Season
30/10/2002,Wednesday,Deepavali,Public Holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,Public Holiday
26/12/2002,Thursday,Boxing Day,Public Holiday
01/01/2003,Wednesday,New Year's Day Holiday,Public Holiday
12/02/2003,Wednesday,Eid al-Adha,Public Holiday
23/02/2003,Sunday,Mashramani (Republic Day),Public Holiday
24/02/2003,Monday,Day off for Mashramani (Republic Day),Public Holiday
20/03/2003,Thursday,March Equinox,Season
18/04/2003,Friday,Good Friday,Public Holiday
21/04/2003,Monday,Easter Monday,Public Holiday
01/05/2003,Thursday,Labor Day / May Day,Public Holiday
05/05/2003,Monday,Arrival Day,Public Holiday
14/05/2003,Wednesday,Youman-Nabi (Mawlid),Public Holiday
26/05/2003,Monday,Independence Day,Public Holiday
21/06/2003,Saturday,June Solstice,Season
07/07/2003,Monday,CARICOM Day,Public Holiday
01/08/2003,Friday,Emancipation Day,Public Holiday
23/09/2003,Tuesday,September Equinox,Season
30/10/2003,Thursday,Deepavali,Public Holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,Public Holiday
26/12/2003,Friday,Boxing Day,Public Holiday
01/01/2004,Thursday,New Year's Day Holiday,Public Holiday
02/02/2004,Monday,Eid al-Adha,Public Holiday
23/02/2004,Monday,Mashramani (Republic Day),Public Holiday
20/03/2004,Saturday,March Equinox,Season
09/04/2004,Friday,Good Friday,Public Holiday
12/04/2004,Monday,Easter Monday,Public Holiday
01/05/2004,Saturday,Labor Day / May Day,Public Holiday
02/05/2004,Sunday,Youman-Nabi (Mawlid),Public Holiday
