Date,Day,Name,Type
01/01/2012,Sunday,New Year's Day/Independence Day,National/Legal Holiday
02/01/2012,Monday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
14/02/2012,Tuesday,Valentine's Day,Observance
21/02/2012,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
22/02/2012,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
20/03/2012,Tuesday,March Equinox,Season
06/04/2012,Friday,Good Friday,National/Legal Holiday
08/04/2012,Sunday,Easter Sunday,Observance
01/05/2012,Tuesday,Agriculture and Labor Day,National/Legal Holiday
18/05/2012,Friday,Flag Day/University Day,National/Legal Holiday
27/05/2012,Sunday,Mother's Day,National/Legal Holiday
07/06/2012,Thursday,Corpus Christi,Local holiday
20/06/2012,Wednesday,June Solstice,Season
24/06/2012,Sunday,Father's Day,Observance
15/08/2012,Wednesday,Assumption of Mary,Local holiday
22/09/2012,Saturday,September Equinox,Season
17/10/2012,Wednesday,Dessalines Day,National/Legal Holiday
01/11/2012,Thursday,All Saints' Day,Local holiday
02/11/2012,Friday,All Souls' Day,Local holiday
18/11/2012,Sunday,Vertières Day,National/Legal Holiday
21/12/2012,Friday,December Solstice,Season
24/12/2012,Monday,Christmas Eve,Observance
25/12/2012,Tuesday,Christmas Day,National/Legal Holiday
31/12/2012,Monday,New Year's Eve,Observance
01/01/2013,Tuesday,New Year's Day/Independence Day,National/Legal Holiday
02/01/2013,Wednesday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
12/02/2013,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
13/02/2013,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
14/02/2013,Thursday,Valentine's Day,Observance
20/03/2013,Wednesday,March Equinox,Season
29/03/2013,Friday,Good Friday,National/Legal Holiday
31/03/2013,Sunday,Easter Sunday,Observance
01/05/2013,Wednesday,Agriculture and Labor Day,National/Legal Holiday
18/05/2013,Saturday,Flag Day/University Day,National/Legal Holiday
26/05/2013,Sunday,Mother's Day,National/Legal Holiday
30/05/2013,Thursday,Corpus Christi,Local holiday
21/06/2013,Friday,June Solstice,Season
30/06/2013,Sunday,Father's Day,Observance
15/08/2013,Thursday,Assumption of Mary,Local holiday
22/09/2013,Sunday,September Equinox,Season
17/10/2013,Thursday,Dessalines Day,National/Legal Holiday
01/11/2013,Friday,All Saints' Day,Local holiday
02/11/2013,Saturday,All Souls' Day,Local holiday
18/11/2013,Monday,Vertières Day,National/Legal Holiday
21/12/2013,Saturday,December Solstice,Season
24/12/2013,Tuesday,Christmas Eve,Observance
25/12/2013,Wednesday,Christmas Day,National/Legal Holiday
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day/Independence Day,National/Legal Holiday
02/01/2014,Thursday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
14/02/2014,Friday,Valentine's Day,Observance
04/03/2014,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
05/03/2014,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
20/03/2014,Thursday,March Equinox,Season
18/04/2014,Friday,Good Friday,National/Legal Holiday
20/04/2014,Sunday,Easter Sunday,Observance
01/05/2014,Thursday,Agriculture and Labor Day,National/Legal Holiday
18/05/2014,Sunday,Flag Day/University Day,National/Legal Holiday
25/05/2014,Sunday,Mother's Day,National/Legal Holiday
19/06/2014,Thursday,Corpus Christi,Local holiday
21/06/2014,Saturday,June Solstice,Season
29/06/2014,Sunday,Father's Day,Observance
15/08/2014,Friday,Assumption of Mary,Local holiday
22/09/2014,Monday,September Equinox,Season
17/10/2014,Friday,Dessalines Day,National/Legal Holiday
01/11/2014,Saturday,All Saints' Day,Local holiday
02/11/2014,Sunday,All Souls' Day,Local holiday
18/11/2014,Tuesday,Vertières Day,National/Legal Holiday
21/12/2014,Sunday,December Solstice,Season
24/12/2014,Wednesday,Christmas Eve,Observance
25/12/2014,Thursday,Christmas Day,National/Legal Holiday
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day/Independence Day,National/Legal Holiday
02/01/2015,Friday,Heroes’ Day/Ancestors’ Day,National/Legal Holiday
14/02/2015,Saturday,Valentine's Day,Observance
17/02/2015,Tuesday,Carnival/Shrove Tuesday,National/Legal Holiday
18/02/2015,Wednesday,Carnival / Ash Wednesday,National/Legal Holiday
