Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
06/01/2000,Thursday,The Three Wise Men Day,Observance
03/02/2000,Thursday,Our Lady of Suyapa,Observance
19/03/2000,Sunday,Father's Day,Observance
20/03/2000,Monday,March Equinox,Season
14/04/2000,Friday,America Day,National holiday
20/04/2000,Thursday,Maundy Thursday,"National holiday, Christian"
21/04/2000,Friday,Good Friday,"National holiday, Christian"
22/04/2000,Saturday,Holy Saturday,"National holiday, Christian"
23/04/2000,Sunday,Easter Sunday,Observance
01/05/2000,Monday,Labor Day / May Day,National holiday
14/05/2000,Sunday,Mother's Day,Observance
20/06/2000,Tuesday,June Solstice,Season
22/06/2000,Thursday,Corpus Christi,Observance
10/09/2000,Sunday,Children's Day,Observance
15/09/2000,Friday,Independence Day,National holiday
17/09/2000,Sunday,Teacher's Day,Observance
22/09/2000,Friday,September Equinox,Season
03/10/2000,Tuesday,Morazan's Day,National holiday
12/10/2000,Thursday,Columbus Day,National holiday
21/10/2000,Saturday,Army Day,National holiday
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,"National holiday, Christian"
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
06/01/2001,Saturday,The Three Wise Men Day,Observance
03/02/2001,Saturday,Our Lady of Suyapa,Observance
19/03/2001,Monday,Father's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
12/04/2001,Thursday,Maundy Thursday,"National holiday, Christian"
13/04/2001,Friday,Good Friday,"National holiday, Christian"
14/04/2001,Saturday,Holy Saturday,"National holiday, Christian"
14/04/2001,Saturday,America Day,National holiday
15/04/2001,Sunday,Easter Sunday,Observance
01/05/2001,Tuesday,Labor Day / May Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
14/06/2001,Thursday,Corpus Christi,Observance
21/06/2001,Thursday,June Solstice,Season
10/09/2001,Monday,Children's Day,Observance
15/09/2001,Saturday,Independence Day,National holiday
17/09/2001,Monday,Teacher's Day,Observance
22/09/2001,Saturday,September Equinox,Season
03/10/2001,Wednesday,Morazan's Day,National holiday
12/10/2001,Friday,Columbus Day,National holiday
21/10/2001,Sunday,Army Day,National holiday
21/12/2001,Friday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,"National holiday, Christian"
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
06/01/2002,Sunday,The Three Wise Men Day,Observance
03/02/2002,Sunday,Our Lady of Suyapa,Observance
19/03/2002,Tuesday,Father's Day,Observance
20/03/2002,Wednesday,March Equinox,Season
28/03/2002,Thursday,Maundy Thursday,"National holiday, Christian"
29/03/2002,Friday,Good Friday,"National holiday, Christian"
30/03/2002,Saturday,Holy Saturday,"National holiday, Christian"
31/03/2002,Sunday,Easter Sunday,Observance
14/04/2002,Sunday,America Day,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
30/05/2002,Thursday,Corpus Christi,Observance
21/06/2002,Friday,June Solstice,Season
10/09/2002,Tuesday,Children's Day,Observance
15/09/2002,Sunday,Independence Day,National holiday
17/09/2002,Tuesday,Teacher's Day,Observance
22/09/2002,Sunday,September Equinox,Season
03/10/2002,Thursday,Morazan's Day,National holiday
12/10/2002,Saturday,Columbus Day,National holiday
21/10/2002,Monday,Army Day,National holiday
21/12/2002,Saturday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,"National holiday, Christian"
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
06/01/2003,Monday,The Three Wise Men Day,Observance
03/02/2003,Monday,Our Lady of Suyapa,Observance
19/03/2003,Wednesday,Father's Day,Observance
20/03/2003,Thursday,March Equinox,Season
14/04/2003,Monday,America Day,National holiday
17/04/2003,Thursday,Maundy Thursday,"National holiday, Christian"
18/04/2003,Friday,Good Friday,"National holiday, Christian"
19/04/2003,Saturday,Holy Saturday,"National holiday, Christian"
20/04/2003,Sunday,Easter Sunday,Observance
01/05/2003,Thursday,Labor Day / May Day,National holiday
11/05/2003,Sunday,Mother's Day,Observance
19/06/2003,Thursday,Corpus Christi,Observance
21/06/2003,Saturday,June Solstice,Season
10/09/2003,Wednesday,Children's Day,Observance
15/09/2003,Monday,Independence Day,National holiday
17/09/2003,Wednesday,Teacher's Day,Observance
23/09/2003,Tuesday,September Equinox,Season
03/10/2003,Friday,Morazan's Day,National holiday
12/10/2003,Sunday,Columbus Day,National holiday
21/10/2003,Tuesday,Army Day,National holiday
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,"National holiday, Christian"
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
06/01/2004,Tuesday,The Three Wise Men Day,Observance
03/02/2004,Tuesday,Our Lady of Suyapa,Observance
19/03/2004,Friday,Father's Day,Observance
20/03/2004,Saturday,March Equinox,Season
08/04/2004,Thursday,Maundy Thursday,"National holiday, Christian"
09/04/2004,Friday,Good Friday,"National holiday, Christian"
10/04/2004,Saturday,Holy Saturday,"National holiday, Christian"
11/04/2004,Sunday,Easter Sunday,Observance
14/04/2004,Wednesday,America Day,National holiday
01/05/2004,Saturday,Labor Day / May Day,National holiday
09/05/2004,Sunday,Mother's Day,Observance
10/06/2004,Thursday,Corpus Christi,Observance
20/06/2004,Sunday,June Solstice,Season
10/09/2004,Friday,Children's Day,Observance
15/09/2004,Wednesday,Independence Day,National holiday
17/09/2004,Friday,Teacher's Day,Observance
22/09/2004,Wednesday,September Equinox,Season
03/10/2004,Sunday,Morazan's Day,National holiday
12/10/2004,Tuesday,Columbus Day,National holiday
21/10/2004,Thursday,Army Day,National holiday
21/12/2004,Tuesday,December Solstice,Season
25/12/2004,Saturday,Christmas Day,"National holiday, Christian"
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
06/01/2005,Thursday,The Three Wise Men Day,Observance
