Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
05/02/2000,Saturday,Lunar New Year's Day,National holiday
07/02/2000,Monday,Second Day of Lunar New Year,National holiday
14/02/2000,Monday,Valentine's Day,Observance
20/03/2000,Monday,March Equinox,Season
04/04/2000,Tuesday,Tomb Sweeping Day,National holiday
21/04/2000,Friday,Good Friday,National holiday
22/04/2000,Saturday,Holy Saturday,National holiday
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labour Day,National holiday
11/05/2000,Thursday,Buddha's Birthday,National holiday
14/05/2000,Sunday,Mother's Day,Observance
06/06/2000,Tuesday,Dragon Boat Festival,National holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
01/07/2000,Saturday,Hong Kong Special Administrative Region Establishment Day,National holiday
14/08/2000,Monday,Hungry Ghost Festival,Observance
12/09/2000,Tuesday,Mid-Autumn Festival,Observance
13/09/2000,Wednesday,Day after Mid-Autumn Festival,National holiday
17/09/2000,Sunday,Confucius' Birthday,Observance
23/09/2000,Saturday,September Equinox,Season
01/10/2000,Sunday,National Day of the People's Republic of China,National holiday
02/10/2000,Monday,National Day of the People's Republic of China observed,National holiday
06/10/2000,Friday,Chung Yeung Festival,National holiday
31/10/2000,Tuesday,Halloween,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,First Weekday After Christmas Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
24/01/2001,Wednesday,Lunar New Year's Day,National holiday
25/01/2001,Thursday,Second Day of Lunar New Year,National holiday
14/02/2001,Wednesday,Valentine's Day,Observance
20/03/2001,Tuesday,March Equinox,Season
05/04/2001,Thursday,Tomb Sweeping Day,National holiday
13/04/2001,Friday,Good Friday,National holiday
14/04/2001,Saturday,Holy Saturday,National holiday
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,National holiday
30/04/2001,Monday,Buddha's Birthday,National holiday
01/05/2001,Tuesday,Labour Day,National holiday
13/05/2001,Sunday,Mother's Day,Observance
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
25/06/2001,Monday,Dragon Boat Festival,National holiday
01/07/2001,Sunday,Hong Kong Special Administrative Region Establishment Day,National holiday
02/07/2001,Monday,Hong Kong Special Administrative Region Establishment Day observed,National holiday
01/09/2001,Saturday,Hungry Ghost Festival,Observance
16/09/2001,Sunday,Confucius' Birthday,Observance
23/09/2001,Sunday,September Equinox,Season
01/10/2001,Monday,National Day of the People's Republic of China,National holiday
01/10/2001,Monday,Mid-Autumn Festival,Observance
02/10/2001,Tuesday,Day after Mid-Autumn Festival,National holiday
25/10/2001,Thursday,Chung Yeung Festival,National holiday
31/10/2001,Wednesday,Halloween,Observance
22/12/2001,Saturday,December Solstice,Season
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,First Weekday After Christmas Day,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
12/02/2002,Tuesday,Lunar New Year's Day,National holiday
13/02/2002,Wednesday,Second Day of Lunar New Year,National holiday
14/02/2002,Thursday,Valentine's Day,Observance
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,National holiday
30/03/2002,Saturday,Holy Saturday,National holiday
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,National holiday
05/04/2002,Friday,Tomb Sweeping Day,National holiday
01/05/2002,Wednesday,Labour Day,National holiday
12/05/2002,Sunday,Mother's Day,Observance
19/05/2002,Sunday,Buddha's Birthday,National holiday
15/06/2002,Saturday,Dragon Boat Festival,National holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
01/07/2002,Monday,Hong Kong Special Administrative Region Establishment Day,National holiday
23/08/2002,Friday,Hungry Ghost Festival,Observance
15/09/2002,Sunday,Confucius' Birthday,Observance
21/09/2002,Saturday,Day after Mid-Autumn Festival,National holiday
21/09/2002,Saturday,Mid-Autumn Festival,Observance
23/09/2002,Monday,September Equinox,Season
01/10/2002,Tuesday,National Day of the People's Republic of China,National holiday
14/10/2002,Monday,Chung Yeung Festival,National holiday
31/10/2002,Thursday,Halloween,Observance
22/12/2002,Sunday,December Solstice,Season
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,First Weekday After Christmas Day,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
01/02/2003,Saturday,Lunar New Year's Day,National holiday
03/02/2003,Monday,Second Day of Lunar New Year,National holiday
14/02/2003,Friday,Valentine's Day,Observance
21/03/2003,Friday,March Equinox,Season
05/04/2003,Saturday,Tomb Sweeping Day,National holiday
18/04/2003,Friday,Good Friday,National holiday
19/04/2003,Saturday,Holy Saturday,National holiday
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labour Day,National holiday
08/05/2003,Thursday,Buddha's Birthday,National holiday
11/05/2003,Sunday,Mother's Day,Observance
04/06/2003,Wednesday,Dragon Boat Festival,National holiday
15/06/2003,Sunday,Father's Day,Observance
22/06/2003,Sunday,June Solstice,Season
01/07/2003,Tuesday,Hong Kong Special Administrative Region Establishment Day,National holiday
12/08/2003,Tuesday,Hungry Ghost Festival,Observance
11/09/2003,Thursday,Mid-Autumn Festival,Observance
12/09/2003,Friday,Day after Mid-Autumn Festival,National holiday
21/09/2003,Sunday,Confucius' Birthday,Observance
23/09/2003,Tuesday,September Equinox,Season
01/10/2003,Wednesday,National Day of the People's Republic of China,National holiday
04/10/2003,Saturday,Chung Yeung Festival,National holiday
31/10/2003,Friday,Halloween,Observance
22/12/2003,Monday,December Solstice,Season
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,First Weekday After Christmas Day,National holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
22/01/2004,Thursday,Lunar New Year's Day,National holiday
23/01/2004,Friday,Second Day of Lunar New Year,National holiday
14/02/2004,Saturday,Valentine's Day,Observance
20/03/2004,Saturday,March Equinox,Season
03/04/2004,Saturday,Tomb Sweeping Day,National holiday
09/04/2004,Friday,Good Friday,National holiday
10/04/2004,Saturday,Holy Saturday,National holiday
11/04/2004,Sunday,Easter Sunday,Observance
12/04/2004,Monday,Easter Monday,National holiday
01/05/2004,Saturday,Labour Day,National holiday
09/05/2004,Sunday,Mother's Day,Observance
26/05/2004,Wednesday,Buddha's Birthday,National holiday
20/06/2004,Sunday,Father's Day,Observance
21/06/2004,Monday,June Solstice,Season
22/06/2004,Tuesday,Dragon Boat Festival,National holiday
01/07/2004,Thursday,Hong Kong Special Administrative Region Establishment Day,National holiday
30/08/2004,Monday,Hungry Ghost Festival,Observance
19/09/2004,Sunday,Confucius' Birthday,Observance
23/09/2004,Thursday,September Equinox,Season
28/09/2004,Tuesday,Mid-Autumn Festival,Observance
29/09/2004,Wednesday,Day after Mid-Autumn Festival,National holiday
01/10/2004,Friday,National Day of the People's Republic of China,National holiday
