Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
15/03/2000,Wednesday,1848 Revolution Memorial Day,National holiday
20/03/2000,Monday,March Equinox,Season
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,Labor Day / May Day,National holiday
07/05/2000,Sunday,Mother's Day,Observance
11/06/2000,Sunday,Whit Sunday,Observance
12/06/2000,Monday,Whit Monday,National holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
20/08/2000,Sunday,Hungary National Day,National holiday
22/09/2000,Friday,September Equinox,Season
23/10/2000,Monday,1956 Revolution Memorial Day,National holiday
01/11/2000,Wednesday,All Saints' Day,National holiday
06/12/2000,Wednesday,Saint Nicholas Day,Observance
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,"Observance, Christian"
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Second Day of Christmas,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
15/03/2001,Thursday,1848 Revolution Memorial Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
15/04/2001,Sunday,Easter Sunday,Observance
16/04/2001,Monday,Easter Monday,National holiday
01/05/2001,Tuesday,Labor Day / May Day,National holiday
06/05/2001,Sunday,Mother's Day,Observance
03/06/2001,Sunday,Whit Sunday,Observance
04/06/2001,Monday,Whit Monday,National holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
20/08/2001,Monday,Hungary National Day,National holiday
23/09/2001,Sunday,September Equinox,Season
23/10/2001,Tuesday,1956 Revolution Memorial Day,National holiday
01/11/2001,Thursday,All Saints' Day,National holiday
06/12/2001,Thursday,Saint Nicholas Day,Observance
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,"Observance, Christian"
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,Second Day of Christmas,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
15/03/2002,Friday,1848 Revolution Memorial Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
31/03/2002,Sunday,Easter Sunday,Observance
01/04/2002,Monday,Easter Monday,National holiday
01/05/2002,Wednesday,Labor Day / May Day,National holiday
05/05/2002,Sunday,Mother's Day,Observance
19/05/2002,Sunday,Whit Sunday,Observance
20/05/2002,Monday,Whit Monday,National holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
20/08/2002,Tuesday,Hungary National Day,National holiday
23/09/2002,Monday,September Equinox,Season
23/10/2002,Wednesday,1956 Revolution Memorial Day,National holiday
01/11/2002,Friday,All Saints' Day,National holiday
06/12/2002,Friday,Saint Nicholas Day,Observance
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,"Observance, Christian"
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,Second Day of Christmas,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
15/03/2003,Saturday,1848 Revolution Memorial Day,National holiday
21/03/2003,Friday,March Equinox,Season
20/04/2003,Sunday,Easter Sunday,Observance
21/04/2003,Monday,Easter Monday,National holiday
01/05/2003,Thursday,Labor Day / May Day,National holiday
04/05/2003,Sunday,Mother's Day,Observance
08/06/2003,Sunday,Whit Sunday,Observance
09/06/2003,Monday,Whit Monday,National holiday
15/06/2003,Sunday,Father's Day,Observance
