Date,Day,Name,Type
01/01/2007,Monday,New Year's Day,National holiday
06/01/2007,Saturday,Twelfth Night,Observance
14/02/2007,Wednesday,Valentine's Day,Observance
21/02/2007,Wednesday,Ash Wednesday,Observance
21/03/2007,Wednesday,March Equinox,Season
05/04/2007,Thursday,Maundy Thursday,National holiday
06/04/2007,Friday,Good Friday,National holiday
07/04/2007,Saturday,Holy Saturday,Observance
08/04/2007,Sunday,Easter Sunday,National holiday
09/04/2007,Monday,Easter Monday,National holiday
19/04/2007,Thursday,First Day of Summer,National holiday
01/05/2007,Tuesday,Labour Day,National holiday
13/05/2007,Sunday,Mothers' Day,Observance
17/05/2007,Thursday,Ascension Day,National holiday
27/05/2007,Sunday,Whit Sunday,National holiday
28/05/2007,Monday,Whit Monday,National holiday
17/06/2007,Sunday,Icelandic Republic Day,National holiday
21/06/2007,Thursday,June Solstice,Season
06/08/2007,Monday,Commerce Day,National holiday
23/09/2007,Sunday,September Equinox,Season
31/10/2007,Wednesday,Halloween,Observance
11/11/2007,Sunday,Fathers' Day,Observance
01/12/2007,Saturday,Independence Day,Observance
22/12/2007,Saturday,December Solstice,Season
24/12/2007,Monday,Christmas Eve (from noon),National holiday
25/12/2007,Tuesday,Christmas Day,National holiday
26/12/2007,Wednesday,Second Day of Christmas,National holiday
31/12/2007,Monday,New Year's Eve (from noon),National holiday
01/01/2008,Tuesday,New Year's Day,National holiday
06/01/2008,Sunday,Twelfth Night,Observance
06/02/2008,Wednesday,Ash Wednesday,Observance
14/02/2008,Thursday,Valentine's Day,Observance
20/03/2008,Thursday,Maundy Thursday,National holiday
20/03/2008,Thursday,March Equinox,Season
21/03/2008,Friday,Good Friday,National holiday
22/03/2008,Saturday,Holy Saturday,Observance
23/03/2008,Sunday,Easter Sunday,National holiday
24/03/2008,Monday,Easter Monday,National holiday
24/04/2008,Thursday,First Day of Summer,National holiday
01/05/2008,Thursday,Labour Day,National holiday
01/05/2008,Thursday,Ascension Day,National holiday
11/05/2008,Sunday,Whit Sunday,National holiday
11/05/2008,Sunday,Mothers' Day,Observance
12/05/2008,Monday,Whit Monday,National holiday
17/06/2008,Tuesday,Icelandic Republic Day,National holiday
20/06/2008,Friday,June Solstice,Season
04/08/2008,Monday,Commerce Day,National holiday
22/09/2008,Monday,September Equinox,Season
31/10/2008,Friday,Halloween,Observance
09/11/2008,Sunday,Fathers' Day,Observance
01/12/2008,Monday,Independence Day,Observance
21/12/2008,Sunday,December Solstice,Season
24/12/2008,Wednesday,Christmas Eve (from noon),National holiday
25/12/2008,Thursday,Christmas Day,National holiday
26/12/2008,Friday,Second Day of Christmas,National holiday
31/12/2008,Wednesday,New Year's Eve (from noon),National holiday
01/01/2009,Thursday,New Year's Day,National holiday
06/01/2009,Tuesday,Twelfth Night,Observance
14/02/2009,Saturday,Valentine's Day,Observance
25/02/2009,Wednesday,Ash Wednesday,Observance
20/03/2009,Friday,March Equinox,Season
09/04/2009,Thursday,Maundy Thursday,National holiday
10/04/2009,Friday,Good Friday,National holiday
11/04/2009,Saturday,Holy Saturday,Observance
