Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,Public Holiday
02/01/2000,Sunday,January 2 Joint Holiday,Joint Holiday
08/01/2000,Saturday,Idul Fitri,Public Holiday
09/01/2000,Sunday,Idul Fitri Holiday,Public Holiday
05/02/2000,Saturday,Lunar New Year's Day,Public Holiday
16/03/2000,Thursday,Idul Adha,Public Holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram / Islamic New Year,Public Holiday
21/04/2000,Friday,Good Friday,Public Holiday
23/04/2000,Sunday,Easter Sunday,Observance
01/06/2000,Thursday,Ascension Day of Jesus Christ,Public Holiday
21/06/2000,Wednesday,June Solstice,Season
17/08/2000,Thursday,Indonesian Independence Day,Public Holiday
23/09/2000,Saturday,September Equinox,Season
26/10/2000,Thursday,Ascension of the Prophet Muhammad,Public Holiday
21/12/2000,Thursday,December 21 Joint Holiday,Joint Holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,Public Holiday
28/12/2000,Thursday,Idul Fitri,Public Holiday
29/12/2000,Friday,Idul Fitri Holiday,Public Holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,Public Holiday
02/01/2001,Tuesday,January 2 Joint Holiday,Joint Holiday
24/01/2001,Wednesday,Lunar New Year's Day,Public Holiday
06/03/2001,Tuesday,Idul Adha,Public Holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram / Islamic New Year,Public Holiday
13/04/2001,Friday,Good Friday,Public Holiday
15/04/2001,Sunday,Easter Sunday,Observance
24/05/2001,Thursday,Ascension Day of Jesus Christ,Public Holiday
21/06/2001,Thursday,June Solstice,Season
17/08/2001,Friday,Indonesian Independence Day,Public Holiday
23/09/2001,Sunday,September Equinox,Season
15/10/2001,Monday,Ascension of the Prophet Muhammad,Public Holiday
17/12/2001,Monday,Idul Fitri,Public Holiday
18/12/2001,Tuesday,Idul Fitri Holiday,Public Holiday
21/12/2001,Friday,December 21 Joint Holiday,Joint Holiday
22/12/2001,Saturday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,Public Holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,Public Holiday
02/01/2002,Wednesday,January 2 Joint Holiday,Joint Holiday
12/02/2002,Tuesday,Lunar New Year's Day,Public Holiday
23/02/2002,Saturday,Idul Adha,Public Holiday
15/03/2002,Friday,Muharram / Islamic New Year,Public Holiday
21/03/2002,Thursday,March Equinox,Season
29/03/2002,Friday,Good Friday,Public Holiday
