Date,Day,Name,Type
01/01/2013,Tuesday,New Year's Day,National holiday
06/01/2013,Sunday,Army Day,National holiday
24/01/2013,Thursday,The Prophet's Birthday,National holiday
05/03/2013,Tuesday,Rebellion Anniversary,Regional holiday
20/03/2013,Wednesday,March Equinox,Season
21/03/2013,Thursday,Nowruz,National holiday
22/03/2013,Friday,Nowruz Holiday,Regional holiday
23/03/2013,Saturday,Nowruz Holiday,Regional holiday
09/04/2013,Tuesday,Baghdad Liberation Day,Regional holiday
01/05/2013,Wednesday,Labor Day,National holiday
21/06/2013,Friday,June Solstice,Season
14/07/2013,Sunday,Republic Day,National holiday
08/08/2013,Thursday,Eid al-Fitr,National holiday
09/08/2013,Friday,Eid al-Fitr holiday,National holiday
10/08/2013,Saturday,Eid al-Fitr holiday,National holiday
22/09/2013,Sunday,September Equinox,Season
03/10/2013,Thursday,Iraqi Independence Day,National holiday
15/10/2013,Tuesday,Eid al-Adha,National holiday
16/10/2013,Wednesday,Eid al-Adha holiday,National holiday
17/10/2013,Thursday,Eid al-Adha holiday,National holiday
18/10/2013,Friday,Eid al-Adha holiday,National holiday
05/11/2013,Tuesday,Islamic New Year,National holiday
14/11/2013,Thursday,Ashura,National holiday
21/12/2013,Saturday,December Solstice,Season
25/12/2013,Wednesday,Christmas Day,Observance
31/12/2013,Tuesday,New Year's Eve,Observance
01/01/2014,Wednesday,New Year's Day,National holiday
06/01/2014,Monday,Army Day,National holiday
14/01/2014,Tuesday,The Prophet's Birthday,National holiday
05/03/2014,Wednesday,Rebellion Anniversary,Regional holiday
20/03/2014,Thursday,March Equinox,Season
21/03/2014,Friday,Nowruz,National holiday
22/03/2014,Saturday,Nowruz Holiday,Regional holiday
23/03/2014,Sunday,Nowruz Holiday,Regional holiday
09/04/2014,Wednesday,Baghdad Liberation Day,Regional holiday
01/05/2014,Thursday,Labor Day,National holiday
21/06/2014,Saturday,June Solstice,Season
14/07/2014,Monday,Republic Day,National holiday
28/07/2014,Monday,Eid al-Fitr,National holiday
29/07/2014,Tuesday,Eid al-Fitr holiday,National holiday
30/07/2014,Wednesday,Eid al-Fitr holiday,National holiday
23/09/2014,Tuesday,September Equinox,Season
03/10/2014,Friday,Iraqi Independence Day,National holiday
04/10/2014,Saturday,Eid al-Adha,National holiday
05/10/2014,Sunday,Eid al-Adha holiday,National holiday
06/10/2014,Monday,Eid al-Adha holiday,National holiday
07/10/2014,Tuesday,Eid al-Adha holiday,National holiday
25/10/2014,Saturday,Islamic New Year,National holiday
03/11/2014,Monday,Ashura,National holiday
22/12/2014,Monday,December Solstice,Season
25/12/2014,Thursday,Christmas Day,Observance
31/12/2014,Wednesday,New Year's Eve,Observance
01/01/2015,Thursday,New Year's Day,National holiday
03/01/2015,Saturday,The Prophet's Birthday,National holiday
06/01/2015,Tuesday,Army Day,National holiday
05/03/2015,Thursday,Rebellion Anniversary,Regional holiday
21/03/2015,Saturday,Nowruz,National holiday
21/03/2015,Saturday,March Equinox,Season
22/03/2015,Sunday,Nowruz Holiday,Regional holiday
23/03/2015,Monday,Nowruz Holiday,Regional holiday
09/04/2015,Thursday,Baghdad Liberation Day,Regional holiday
01/05/2015,Friday,Labor Day,National holiday
21/06/2015,Sunday,June Solstice,Season
14/07/2015,Tuesday,Republic Day,National holiday
16/07/2015,Thursday,Extra Holiday (heat wave),National holiday
18/07/2015,Saturday,Eid al-Fitr,National holiday
19/07/2015,Sunday,Eid al-Fitr holiday,National holiday
20/07/2015,Monday,Eid al-Fitr holiday,National holiday
23/09/2015,Wednesday,September Equinox,Season
24/09/2015,Thursday,Eid al-Adha,National holiday
25/09/2015,Friday,Eid al-Adha holiday,National holiday
26/09/2015,Saturday,Eid al-Adha holiday,National holiday
27/09/2015,Sunday,Eid al-Adha holiday,National holiday
03/10/2015,Saturday,Iraqi Independence Day,National holiday
15/10/2015,Thursday,Islamic New Year,National holiday
24/10/2015,Saturday,Ashura,National holiday
22/12/2015,Tuesday,December Solstice,Season
24/12/2015,Thursday,The Prophet's Birthday,National holiday
25/12/2015,Friday,Christmas Day,Observance
31/12/2015,Thursday,New Year's Eve,Observance
01/01/2016,Friday,New Year's Day,National holiday
06/01/2016,Wednesday,Army Day,National holiday
05/03/2016,Saturday,Rebellion Anniversary,Regional holiday
20/03/2016,Sunday,March Equinox,Season
21/03/2016,Monday,Nowruz,National holiday
22/03/2016,Tuesday,Nowruz Holiday,Regional holiday
23/03/2016,Wednesday,Nowruz Holiday,Regional holiday
09/04/2016,Saturday,Baghdad Liberation Day,Regional holiday
01/05/2016,Sunday,Labor Day,National holiday
21/06/2016,Tuesday,June Solstice,Season
07/07/2016,Thursday,Eid al-Fitr,National holiday
08/07/2016,Friday,Eid al-Fitr holiday,National holiday
09/07/2016,Saturday,Eid al-Fitr holiday,National holiday
14/07/2016,Thursday,Republic Day,National holiday
13/09/2016,Tuesday,Eid al-Adha,National holiday
14/09/2016,Wednesday,Eid al-Adha holiday,National holiday
15/09/2016,Thursday,Eid al-Adha holiday,National holiday
16/09/2016,Friday,Eid al-Adha holiday,National holiday
22/09/2016,Thursday,September Equinox,Season
03/10/2016,Monday,Iraqi Independence Day,National holiday
03/10/2016,Monday,Islamic New Year,National holiday
12/10/2016,Wednesday,Ashura,National holiday
12/12/2016,Monday,The Prophet's Birthday,National holiday
21/12/2016,Wednesday,December Solstice,Season
25/12/2016,Sunday,Christmas Day,Observance
31/12/2016,Saturday,New Year's Eve,Observance
01/01/2017,Sunday,New Year's Day,National holiday
06/01/2017,Friday,Army Day,National holiday
05/03/2017,Sunday,Rebellion Anniversary,Regional holiday
20/03/2017,Monday,March Equinox,Season
21/03/2017,Tuesday,Nowruz,National holiday
22/03/2017,Wednesday,Nowruz Holiday,Regional holiday
23/03/2017,Thursday,Nowruz Holiday,Regional holiday
09/04/2017,Sunday,Baghdad Liberation Day,Regional holiday
01/05/2017,Monday,Labor Day,National holiday
21/06/2017,Wednesday,June Solstice,Season
26/06/2017,Monday,Eid al-Fitr,National holiday
27/06/2017,Tuesday,Eid al-Fitr holiday,National holiday
28/06/2017,Wednesday,Eid al-Fitr holiday,National holiday
14/07/2017,Friday,Republic Day,National holiday
02/09/2017,Saturday,Eid al-Adha,National holiday
03/09/2017,Sunday,Eid al-Adha holiday,National holiday
04/09/2017,Monday,Eid al-Adha holiday,National holiday
05/09/2017,Tuesday,Eid al-Adha holiday,National holiday
22/09/2017,Friday,Islamic New Year,National holiday
22/09/2017,Friday,September Equinox,Season
01/10/2017,Sunday,Ashura,National holiday
03/10/2017,Tuesday,Iraqi Independence Day,National holiday
01/12/2017,Friday,The Prophet's Birthday,National holiday
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Observance
31/12/2017,Sunday,New Year's Eve,Observance
01/01/2018,Monday,New Year's Day,National holiday
06/01/2018,Saturday,Army Day,National holiday
05/03/2018,Monday,Rebellion Anniversary,Regional holiday
20/03/2018,Tuesday,March Equinox,Season
21/03/2018,Wednesday,Nowruz,National holiday
22/03/2018,Thursday,Nowruz Holiday,Regional holiday
23/03/2018,Friday,Nowruz Holiday,Regional holiday
09/04/2018,Monday,Baghdad Liberation Day,Regional holiday
01/05/2018,Tuesday,Labor Day,National holiday
15/06/2018,Friday,Eid al-Fitr,National holiday
16/06/2018,Saturday,Eid al-Fitr holiday,National holiday
17/06/2018,Sunday,Eid al-Fitr holiday,National holiday
21/06/2018,Thursday,June Solstice,Season
14/07/2018,Saturday,Republic Day,National holiday
22/08/2018,Wednesday,Eid al-Adha,National holiday
23/08/2018,Thursday,Eid al-Adha holiday,National holiday
24/08/2018,Friday,Eid al-Adha holiday,National holiday
25/08/2018,Saturday,Eid al-Adha holiday,National holiday
11/09/2018,Tuesday,Islamic New Year,National holiday
20/09/2018,Thursday,Ashura,National holiday
23/09/2018,Sunday,September Equinox,Season
03/10/2018,Wednesday,Iraqi Independence Day,National holiday
21/11/2018,Wednesday,The Prophet's Birthday,National holiday
10/12/2018,Monday,Anniversary of Victory over ISIS,National holiday
22/12/2018,Saturday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,National holiday
31/12/2018,Monday,New Year's Eve,Observance
01/01/2019,Tuesday,New Year's Day,National holiday
06/01/2019,Sunday,Army Day,National holiday
05/03/2019,Tuesday,Rebellion Anniversary,Regional holiday
21/03/2019,Thursday,Nowruz,National holiday
21/03/2019,Thursday,March Equinox,Season
22/03/2019,Friday,Nowruz Holiday,Regional holiday
23/03/2019,Saturday,Nowruz Holiday,Regional holiday
09/04/2019,Tuesday,Baghdad Liberation Day,Regional holiday
01/05/2019,Wednesday,Labor Day,National holiday
04/06/2019,Tuesday,Eid al-Fitr,National holiday
05/06/2019,Wednesday,Eid al-Fitr holiday,National holiday
06/06/2019,Thursday,Eid al-Fitr holiday,National holiday
21/06/2019,Friday,June Solstice,Season
14/07/2019,Sunday,Republic Day,National holiday
12/08/2019,Monday,Eid al-Adha,National holiday
13/08/2019,Tuesday,Eid al-Adha holiday,National holiday
14/08/2019,Wednesday,Eid al-Adha holiday,National holiday
15/08/2019,Thursday,Eid al-Adha holiday,National holiday
31/08/2019,Saturday,Islamic New Year,National holiday
10/09/2019,Tuesday,Ashura,National holiday
23/09/2019,Monday,September Equinox,Season
03/10/2019,Thursday,Iraqi Independence Day,National holiday
09/11/2019,Saturday,The Prophet's Birthday,National holiday
10/12/2019,Tuesday,Anniversary of Victory over ISIS,National holiday
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,National holiday
31/12/2019,Tuesday,New Year's Eve,Observance
01/01/2020,Wednesday,New Year's Day,National holiday
06/01/2020,Monday,Army Day,National holiday
05/03/2020,Thursday,Rebellion Anniversary,Regional holiday
11/03/2020,Wednesday,"Anniversary of Signing of the March 11, 1970 Agreement",Regional holiday
12/03/2020,Thursday,Public Holiday for COVID-19 (Kurdistan only),Regional Holiday
13/03/2020,Friday,Public Holiday for COVID-19 (Kurdistan only),Regional Holiday
14/03/2020,Saturday,Public Holiday for COVID-19 (Kurdistan only),Regional Holiday
14/03/2020,Saturday,Birth Anniversary of the Immortal Barzani,Regional holiday
15/03/2020,Sunday,Public Holiday for COVID-19 (Kurdistan only),Regional Holiday
16/03/2020,Monday,Public Holiday for COVID-19 (Kurdistan only),Regional Holiday
