Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
17/03/2000,Friday,St. Patrick's Day,National holiday
20/03/2000,Monday,March Equinox,Season
02/04/2000,Sunday,Mother's Day,Observance
21/04/2000,Friday,Good Friday,Observance
23/04/2000,Sunday,Easter,Observance
24/04/2000,Monday,Easter Monday,National holiday
01/05/2000,Monday,May Day,National holiday
05/06/2000,Monday,June Bank Holiday,National holiday
18/06/2000,Sunday,Father's Day,Observance
21/06/2000,Wednesday,June Solstice,Season
07/08/2000,Monday,August Bank Holiday,National holiday
22/09/2000,Friday,September Equinox,Season
30/10/2000,Monday,October Bank Holiday,National holiday
21/12/2000,Thursday,December Solstice,Season
24/12/2000,Sunday,Christmas Eve,Observance
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,St. Stephen's Day,National holiday
31/12/2000,Sunday,New Year's Eve,Observance
01/01/2001,Monday,New Year's Day,National holiday
17/03/2001,Saturday,St. Patrick's Day,National holiday
20/03/2001,Tuesday,March Equinox,Season
25/03/2001,Sunday,Mother's Day,Observance
13/04/2001,Friday,Good Friday,Observance
15/04/2001,Sunday,Easter,Observance
16/04/2001,Monday,Easter Monday,National holiday
07/05/2001,Monday,May Day,National holiday
04/06/2001,Monday,June Bank Holiday,National holiday
17/06/2001,Sunday,Father's Day,Observance
21/06/2001,Thursday,June Solstice,Season
06/08/2001,Monday,August Bank Holiday,National holiday
23/09/2001,Sunday,September Equinox,Season
29/10/2001,Monday,October Bank Holiday,National holiday
21/12/2001,Friday,December Solstice,Season
24/12/2001,Monday,Christmas Eve,Observance
25/12/2001,Tuesday,Christmas Day,National holiday
26/12/2001,Wednesday,St. Stephen's Day,National holiday
31/12/2001,Monday,New Year's Eve,Observance
01/01/2002,Tuesday,New Year's Day,National holiday
10/03/2002,Sunday,Mother's Day,Observance
17/03/2002,Sunday,St. Patrick's Day,National holiday
20/03/2002,Wednesday,March Equinox,Season
29/03/2002,Friday,Good Friday,Observance
31/03/2002,Sunday,Easter,Observance
01/04/2002,Monday,Easter Monday,National holiday
06/05/2002,Monday,May Day,National holiday
03/06/2002,Monday,June Bank Holiday,National holiday
16/06/2002,Sunday,Father's Day,Observance
21/06/2002,Friday,June Solstice,Season
05/08/2002,Monday,August Bank Holiday,National holiday
23/09/2002,Monday,September Equinox,Season
28/10/2002,Monday,October Bank Holiday,National holiday
22/12/2002,Sunday,December Solstice,Season
24/12/2002,Tuesday,Christmas Eve,Observance
25/12/2002,Wednesday,Christmas Day,National holiday
26/12/2002,Thursday,St. Stephen's Day,National holiday
31/12/2002,Tuesday,New Year's Eve,Observance
01/01/2003,Wednesday,New Year's Day,National holiday
17/03/2003,Monday,St. Patrick's Day,National holiday
21/03/2003,Friday,March Equinox,Season
30/03/2003,Sunday,Mother's Day,Observance
18/04/2003,Friday,Good Friday,Observance
20/04/2003,Sunday,Easter,Observance
21/04/2003,Monday,Easter Monday,National holiday
05/05/2003,Monday,May Day,National holiday
02/06/2003,Monday,June Bank Holiday,National holiday
15/06/2003,Sunday,Father's Day,Observance
21/06/2003,Saturday,June Solstice,Season
04/08/2003,Monday,August Bank Holiday,National holiday
23/09/2003,Tuesday,September Equinox,Season
27/10/2003,Monday,October Bank Holiday,National holiday
22/12/2003,Monday,December Solstice,Season
24/12/2003,Wednesday,Christmas Eve,Observance
25/12/2003,Thursday,Christmas Day,National holiday
26/12/2003,Friday,St. Stephen's Day,National holiday
31/12/2003,Wednesday,New Year's Eve,Observance
01/01/2004,Thursday,New Year's Day,National holiday
17/03/2004,Wednesday,St. Patrick's Day,National holiday
20/03/2004,Saturday,March Equinox,Season
21/03/2004,Sunday,Mother's Day,Observance
09/04/2004,Friday,Good Friday,Observance
11/04/2004,Sunday,Easter,Observance
12/04/2004,Monday,Easter Monday,National holiday
03/05/2004,Monday,May Day,National holiday
07/06/2004,Monday,June Bank Holiday,National holiday
20/06/2004,Sunday,Father's Day,Observance
21/06/2004,Monday,June Solstice,Season
02/08/2004,Monday,August Bank Holiday,National holiday
22/09/2004,Wednesday,September Equinox,Season
25/10/2004,Monday,October Bank Holiday,National holiday
21/12/2004,Tuesday,December Solstice,Season
24/12/2004,Friday,Christmas Eve,Observance
25/12/2004,Saturday,Christmas Day,National holiday
26/12/2004,Sunday,St. Stephen's Day,National holiday
31/12/2004,Friday,New Year's Eve,Observance
01/01/2005,Saturday,New Year's Day,National holiday
06/03/2005,Sunday,Mother's Day,Observance
