Date,Day,Name,Type
01/01/2017,Sunday,New Year's Day,Public Holiday
02/01/2017,Monday,Day off for New Year's Day,Public Holiday
20/03/2017,Monday,March Equinox,Season
26/03/2017,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
14/04/2017,Friday,Good Friday,Public Holiday
17/04/2017,Monday,Easter Monday,Public Holiday
01/05/2017,Monday,Early May Bank Holiday,Public Holiday
29/05/2017,Monday,Late May Bank Holiday,Public Holiday
09/06/2017,Friday,T. T. Bank Holiday,Public Holiday
21/06/2017,Wednesday,June Solstice,Season
05/07/2017,Wednesday,Tynwald Day,Public Holiday
28/08/2017,Monday,Summer Bank Holiday,Public Holiday
22/09/2017,Friday,September Equinox,Season
29/10/2017,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2017,Thursday,December Solstice,Season
25/12/2017,Monday,Christmas Day,Public Holiday
26/12/2017,Tuesday,Boxing Day,Public Holiday
01/01/2018,Monday,New Year's Day,Public Holiday
20/03/2018,Tuesday,March Equinox,Season
25/03/2018,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
30/03/2018,Friday,Good Friday,Public Holiday
02/04/2018,Monday,Easter Monday,Public Holiday
07/05/2018,Monday,Early May Bank Holiday,Public Holiday
28/05/2018,Monday,Late May Bank Holiday,Public Holiday
08/06/2018,Friday,T. T. Bank Holiday,Public Holiday
21/06/2018,Thursday,June Solstice,Season
05/07/2018,Thursday,Tynwald Day,Public Holiday
27/08/2018,Monday,Summer Bank Holiday,Public Holiday
23/09/2018,Sunday,September Equinox,Season
28/10/2018,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
21/12/2018,Friday,December Solstice,Season
25/12/2018,Tuesday,Christmas Day,Public Holiday
26/12/2018,Wednesday,Boxing Day,Public Holiday
01/01/2019,Tuesday,New Year's Day,Public Holiday
20/03/2019,Wednesday,March Equinox,Season
31/03/2019,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
19/04/2019,Friday,Good Friday,Public Holiday
22/04/2019,Monday,Easter Monday,Public Holiday
06/05/2019,Monday,Early May Bank Holiday,Public Holiday
27/05/2019,Monday,Late May Bank Holiday,Public Holiday
07/06/2019,Friday,T. T. Bank Holiday,Public Holiday
21/06/2019,Friday,June Solstice,Season
05/07/2019,Friday,Tynwald Day,Public Holiday
26/08/2019,Monday,Summer Bank Holiday,Public Holiday
23/09/2019,Monday,September Equinox,Season
27/10/2019,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
22/12/2019,Sunday,December Solstice,Season
25/12/2019,Wednesday,Christmas Day,Public Holiday
26/12/2019,Thursday,Boxing Day,Public Holiday
01/01/2020,Wednesday,New Year's Day,Public Holiday
20/03/2020,Friday,March Equinox,Season
29/03/2020,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
10/04/2020,Friday,Good Friday,Public Holiday
13/04/2020,Monday,Easter Monday,Public Holiday
08/05/2020,Friday,75th Anniversary of VE Day,Public Holiday
25/05/2020,Monday,Late May Bank Holiday,Public Holiday
20/06/2020,Saturday,June Solstice,Season
