Date,Day,Name,Type
01/01/2000,Saturday,New Year's Day,National holiday
08/01/2000,Saturday,Eid al-Fitr,National holiday
30/01/2000,Sunday,King Abdullah's Birthday,National holiday
16/03/2000,Thursday,Eid al-Adha,National holiday
20/03/2000,Monday,March Equinox,Season
06/04/2000,Thursday,Muharram/New Year,National holiday
16/04/2000,Sunday,Palm Sunday,Optional Holiday
21/04/2000,Friday,Good Friday,Observance
23/04/2000,Sunday,Easter Sunday,Observance
24/04/2000,Monday,Easter Monday,Observance
28/04/2000,Friday,Orthodox Good Friday,Observance
30/04/2000,Sunday,Orthodox Easter Day,Optional Holiday
01/05/2000,Monday,Labour Day,National holiday
01/05/2000,Monday,Orthodox Easter Monday,Optional Holiday
25/05/2000,Thursday,Independence Day,National holiday
09/06/2000,Friday,King Abdullah's accession to the throne,National holiday
15/06/2000,Thursday,Prophet's Birthday,National holiday
21/06/2000,Wednesday,June Solstice,Season
22/09/2000,Friday,September Equinox,Season
25/10/2000,Wednesday,Al Isra' wal Miraj,National holiday
14/11/2000,Tuesday,Loyalty to Hussein's day,National holiday
28/11/2000,Tuesday,Ramadan begins,Observance
21/12/2000,Thursday,December Solstice,Season
25/12/2000,Monday,Christmas Day,National holiday
26/12/2000,Tuesday,Boxing Day,Optional Holiday
28/12/2000,Thursday,Eid al-Fitr,National holiday
01/01/2001,Monday,New Year's Day,National holiday
30/01/2001,Tuesday,King Abdullah's Birthday,National holiday
06/03/2001,Tuesday,Eid al-Adha,National holiday
20/03/2001,Tuesday,March Equinox,Season
26/03/2001,Monday,Muharram/New Year,National holiday
08/04/2001,Sunday,Palm Sunday,Optional Holiday
13/04/2001,Friday,Orthodox Good Friday,Observance
13/04/2001,Friday,Good Friday,Observance
15/04/2001,Sunday,Easter Sunday,Observance
15/04/2001,Sunday,Orthodox Easter Day,Optional Holiday
16/04/2001,Monday,Easter Monday,Observance
16/04/2001,Monday,Orthodox Easter Monday,Optional Holiday
